,id,formula
0,1001,(1-#Life/#MaxLife)*120+100
1,1002,(1-#Life/#MaxLife)*140+100
2,1003,(1-#Life/#MaxLife)*160+100
3,1004,(1-#Life/#MaxLife)*180+100
4,1005,(1-#Life/#MaxLife)*200+100
5,1006,(1-#Life/#MaxLife)*220+100
6,1007,(1-#Life/#MaxLife)*240+100
7,1008,(1-#Life/#MaxLife)*260+100
8,1009,(1-#Life/#MaxLife)*280+100
9,1010,(1-#Life/#MaxLife)*300+100
10,1011,800+@buff5020*50
11,1012,@buff900=1?1:0
12,1013,@buff900=2?1:0
13,1014,@buff900=3?1:0
14,1015,@buff900=4?1:0
15,1016,@buff900=5?1:0
16,1017,350+@buff5020*50
17,1018,400+buff@5020*50
18,1019,450+buff@5020*50
19,1020,500+buff@5020*50
20,1021,550+buff@5020*50
21,1022,600+buff@5020*50
22,1023,650+buff@5020*50
23,1024,700+buff@5020*50
24,1025,750+buff@5020*50
25,1026,@Ap+@Defbreak
26,1027,@MaxLife
27,1028,@Life
28,1029,@Rate/120>1?1:0
29,1030,@def/@maxdef*100
30,1031,@maxdef
31,1032,@Ap
32,1033,@defbreak
33,1034,@shield
34,1035,@armor
35,1036,@rate
36,1037,@Critical
37,1038,@Pow
38,1039,(4+200/@Rate)*30-2
39,1040,(4+200/@Rate)*30*(1-@buff899*0.3)
40,1041,(4+200/@Rate)*30*(1-@buff899*0.3)-2
41,1042,(4+200/@Rate)*30*(1-@buff900*0.15)
42,1043,(4+200/@Rate)*30*(1-@buff900*0.15)-2
43,1044,100+100/(1+@buff301)
44,1045,@MaxLife*0.3
45,1046,@MaxLife*0.15
46,1047,@buff1366<(4+200/@Rate)*30?0:1
47,1049,@buff1366<(4+200/@Rate)*30*(1-@buff900*0.15)?0:1
48,1051,@buff1366<120/(@Rate+10)*30?0:1
49,1052,@buff1377=2?1:0
50,1053,@buff1377=1?1:0
51,1054,@buff1377=0?1:0
52,1055,90+(@buff1385-1)*6
53,1056,9+@buff1385
54,1057,93+(@buff1385-1)*6
