,id,target,offset,distance,duration,cd,is_character,easing_type
0,100,2,"2,0,0",2,2,2,1,0
1,101,2,"-1.7,0,0",0,12,12,0,0
2,102,1,"0,0,0",0,94,94,0,0
3,103,0,"0,0,0",0,9,9,0,0
4,104,2,"-1.3,0,0",0,9,9,0,0
5,105,1,"0,0,0",0,104,104,0,0
6,106,0,"0,0,0",0,9,9,0,0
7,201,1,"0,4.4,0;0,-4,0;0,0.2,0",0,13,13,0,0
8,202,1,"0,0,0",0,115,115,0,0
9,203,0,"0,0,0",0,10,10,0,0
10,204,1,"-2,0,0",0,10,10,0,0
11,205,1,"0,0,0",0,100,100,0,0
12,206,0,"0,0,0",0,8,8,0,0
13,207,3,"-4.7,0.7,0;-4.7,-3.9,0",0,8,8,0,0
14,208,1,"0,0,0",0,2,2,0,0
15,209,0,"0,0,0",0,17,17,0,0
16,210,3,"0.6,-6.8,0;0.6,1.4,0;0.6,-2.6,0",0,2,0,1,0
17,211,1,"0,0,0",0,26,0,1,0
18,212,1,"-1.9,0,0",0,2,0,1,0
19,213,1,"0,0,0",0,7,0,1,0
20,214,1,"-1.9,0,0",0,2,0,1,0
21,215,1,"0,0,0",0,14,0,1,0
22,216,1,"-1.9,0,0",0,2,0,1,0
23,217,1,"0,0,0",0,13,0,1,0
24,218,1,"5.4,0,0;5.1,0,0;5.1,0,0",0,6,0,1,0
25,219,3,"-1,0,0;-1,0,0;-1,0,0",0,7,0,1,0
26,220,1,"0,0,0",0,140,0,1,0
27,221,0,"0,0,0",0,13,0,1,0
28,222,3,"-3.4,0,0;-3.4,0,0;-3.4,0,0",0,7,0,1,0
29,223,3,"-3.4,-4.2,0;-3.4,-4.2,0;-3.4,-4.2,0",0,7,0,1,0
30,224,3,"-1,-4.2,0;-1,-4.2,0;-1,-4.2,0",0,7,0,1,0
31,225,1,"-4,0,0;-4,0,0;-4,0,0",0,4,0,1,0
32,226,1,"0,0,0",0,47,0,1,0
33,227,3,"0.6,-6.8,0;0.6,1.4,0;0.6,-2.6,0",0,15,0,1,0
34,228,1,"3,0,0",0,9,0,1,0
35,229,1,"0,0,0",0,72,0,1,0
36,230,3,"0.6,-2.6,0",0,9,0,1,0
37,231,1,"0,0,0",0,15,0,1,0
38,232,1,"1,0,0",0,20,0,1,0
39,233,1,"0,0,0",0,12,0,1,0
40,234,3,"-3.5,-1.6,0",0,8,8,0,0
41,235,1,"0,0,0",0,2,2,0,0
42,236,0,"0,0,0",0,17,17,0,0
43,301,2,"0,0,0",0,90,2,1,0
44,302,2,"0,0,0",0,30,30,1,0
45,303,1,"2,0,0",2,2,60,1,0
46,304,1,"2,0,0",2,2,60,1,0
47,305,1,"0,4.2,0",0,80,80,1,0
48,306,1,"0,-4.2,0",0,80,80,1,0
49,307,1,"-7.3,0",0,45,45,1,0
50,308,1,"-2.4,0,0",0,45,45,1,0
51,309,1,"-2.4,0,0",0,45,45,1,0
52,310,1,"-2.4,0,0",0,45,45,1,0
53,311,1,"16,0,0",0,2,0,1,0
54,312,1,"16,0,0",0,2,0,1,0
55,401,1,"0,0,0",0,25,25,1,0
56,402,2,"2.8,0,0",0,21,21,1,0
57,403,2,"0,0,0",0,20,20,0,0
58,404,1,"-0.6,0,0",0,6,0,1,0
59,405,1,"-0.6,0,0",0,6,0,1,0
60,406,1,"-0.6,0,0",0,5,0,1,0
61,407,1,"-5.5,0,0",0,12,12,1,0
62,408,1,"4.5,0,0",0,30,30,1,0
63,409,2,"2.4,0,0",0,1,18,1,0
64,410,3,"0,0,0",0,20,18,1,0
65,411,3,"6.5,1,0",0,20,18,1,0
66,412,1,"-2.5,0,0",0,40,40,1,0
67,413,1,"-2.7,0,0",0,8,60,1,0
68,414,1,"16,0,0",0,2,0,1,0
69,415,3,"-5.46,-1.8,0.01",0,8,10,1,0
70,416,3,"-4.46,-6,0.01",0,8,10,1,0
71,417,3,"-4.26,2.4,0.01",0,8,10,1,0
72,418,3,"-2.06,-1.8,0.01",0,8,10,1,0
73,419,3,"-1.06,-1.8,0.01",0,40,45,1,0
74,420,3,"-1.06,-6,0.01",0,40,45,1,0
75,421,3,"-1.06,2.4,0.01",0,40,45,1,0
76,422,3,"1.34,-1.8,0.01",0,40,45,1,0
77,423,3,"-2.06,-6,0.01",0,8,20,1,0
78,424,3,"-1.86,2.4,0.01",0,8,20,1,0
79,425,3,"0.34,-1.8,0.01",0,8,20,1,0
80,426,3,"-5.46,-6,0.01",0,8,20,1,0
81,427,3,"0.34,-6,0.01",0,8,20,1,0
82,428,3,"-5.36,2.4,0.01",0,8,20,1,0
83,429,3,"0.34,2.4,0.01",0,8,20,1,0
84,430,1,"-2,3,0",0,8,60,1,0
85,431,1,"-2,-3,0",0,8,60,1,0
86,432,1,"20,0,0",0,15,60,1,0
87,433,1,"-0.4,0,0",0,1,1,1,0
88,434,1,"1,0,0",0,5,5,1,0
89,435,1,"5,0,0",0,2,2,1,0
90,436,2,"7,0,0",0,26,26,1,0
91,437,1,"-5,0,0",0,60,60,1,0
92,438,2,"2.8,0,0",0,2,2,1,0
93,439,3,"3,-2,0",0,2,2,1,0
94,701,1,"-30,0,0",0,1,0,1,0
95,702,1,"0,4.2,0",0,6,0,1,0
96,703,1,"0,-4.2,0",0,6,0,1,0
97,704,1,"-7,0,0",0,11,11,1,0
98,705,1,"7,0,0",0,17,0,1,0
99,706,1,"2,1,0",0,20,0,1,0
100,707,1,"-2,-1,0",0,8,0,1,0
101,708,1,"-3,0,0",0,90,0,1,0
102,709,1,"2,0,0",0,60,0,1,0
103,710,1,"0.4,4.2,0",0,10,0,1,0
104,711,1,"-0.4,-4.2,0",0,10,0,1,0
105,712,1,"0.8,4.2,0",0,10,0,1,0
106,713,1,"-0.8,-4.2,0",0,10,0,1,0
107,714,1,"0,4.2,0",0,10,0,1,0
108,715,1,"0,-4.2,0",0,10,0,1,0
109,716,1,"-0.2,0,0",0,25,0,1,0
110,717,1,"0.4,0,0",0,25,0,1,0
111,718,1,"12,0,0",0,60,0,1,0
112,719,1,"3,0,0",0,60,0,1,0
113,720,1,"-0.05,0,0",0,25,0,1,0
114,721,1,"0.1,0,0",0,25,0,1,0
115,722,1,"0.1,0,0",0,10,0,1,0
116,723,1,"-0.1,0,0",0,10,0,1,0
117,724,1,"0.2,0,0",0,10,0,1,0
118,725,1,"-0.2,0,0",0,10,0,1,0
119,726,1,"0.5,0,0",0,90,0,1,0
120,727,1,"-0.5,0,0",0,60,0,1,0
121,728,1,"20,0,0",0,60,0,1,0
122,729,1,"5,0,0",0,60,0,1,0
123,730,1,"1,0,0",0,10,10,1,0
