,id,description,target_type,target_number,target_priority,select_order,is_ascend_order,is_ingore_range,is_search_all,list_ranking,target_buff_id,target_parameter,buff_trigger_type,is_buff_type
0,1,对自身释放,4,1,1,0,0,1,0,1,0,0,6,0
1,2,对我方全体释放,2,0,0,0,0,1,0,1,0,0,6,0
2,3,对敌方全体释放,1,0,0,0,0,1,0,1,0,0,6,0
3,4,对敌方当前生命最高者释放,1,1,0,1,1,0,0,1,0,0,6,0
4,5,对敌方BOSS释放,1,1,3,0,0,0,0,1,0,0,6,0
5,6,对X轴距离最近者释放,1,1,0,9,0,0,0,1,0,0,6,0
6,7,对X轴距离最远者释放,1,1,0,9,1,0,0,1,0,0,6,0
7,8,霰弹枪对距离最近的三个单位释放,1,3,0,9,0,0,0,1,0,0,6,0
8,9,随机选择目标释放,1,1,0,0,0,0,0,1,0,0,6,0
9,10,攻击一横排,1,1,4,0,0,1,0,1,0,0,6,0
10,11,攻击一纵列,1,1,5,0,0,1,0,1,0,0,6,0
11,12,霰弹枪对距离最近的五个单位释放,1,5,0,9,0,0,0,1,0,0,6,0
12,13,迫击炮接触到我方全体攻击最远,1,1,0,10,1,0,1,1,0,0,6,0
13,14,对直线距离最近者释放,1,1,0,4,0,0,0,1,0,0,6,0
14,15,对直线距离最远者释放,1,1,0,4,1,0,0,1,0,0,6,0
15,16,恶毒绽放对随机最远的两个角色释放,1,2,0,0,0,0,0,1,0,0,6,0
16,17,恶毒绽放对随机最远的四个角色释放,1,4,0,0,0,0,0,1,0,0,6,0
17,18,NER防中断索敌,1,4,0,1,0,0,0,1,0,0,6,0
18,19,ERR防中断索敌,1,1,0,9,1,0,0,1,0,0,6,0
19,20,迫击妖精对随机1个单位释放,1,1,0,0,0,0,0,1,0,0,6,0
20,21,狙击妖精对敌方生命最高者释放,1,1,0,1,1,1,0,1,0,0,6,0
21,22,破坏死光对随机的五个角色释放,1,5,0,0,0,1,0,1,12801,1,6,0
22,23,狙击&榴弹对敌方生命最高者释放,1,1,0,1,1,0,0,1,0,0,6,0
23,24,contender优先选择BOSS目标,1,1,3,0,0,1,0,1,0,0,6,0
24,25,contender优先选择最近目标,1,1,3,9,0,0,0,1,0,0,6,0
25,26,contender优先选择血量最多目标,1,1,3,1,1,0,0,1,0,0,6,0
26,27,contender优先选择最远目标,1,1,3,9,1,0,0,1,0,0,6,0
27,28,法官双重普攻,1,2,0,9,0,0,0,1,0,0,6,0
28,29,法官单体索敌,1,1,0,0,0,0,0,1,0,0,6,0
29,30,黑化闪燕傀儡索敌,1,1,3,1,0,0,0,1,0,0,6,0
30,31,姬子对最近10个单位释放,1,3,0,9,0,0,0,1,0,0,6,0
31,32,十字架无视距离释放,1,1,0,0,0,0,0,1,0,0,6,0
32,33,狙击&榴弹对敌方生命最高者释放,1,1,3,1,1,0,0,1,0,0,6,0
33,34,索敌目标为敌方输出最低角色,2,1,0,12,1,0,0,1,0,0,6,0
34,35,索敌目标为我方生命第二高角色,2,1,0,1,1,0,0,2,0,0,6,0
35,36,索敌目标为敌方被烟雾弹影响角色,1,1,0,0,0,0,0,1,999020,1,7,0
36,37,随机选择目标释放,1,1,0,0,0,0,0,1,0,0,6,0
37,38,对距离最近的五个单位释放,1,30,0,9,0,0,0,1,0,0,6,0
38,39,目标为64标记,1,0,0,0,0,0,0,1,737,1,6,0
39,40,M16索敌输出最高,1,1,0,12,1,0,0,1,0,0,6,0
40,41,索敌目标为弩炮标记,1,1,0,0,0,0,0,1,165,1,7,0
41,42,索敌目标为弩炮标记,1,1,0,9,1,0,0,1,165,1,6,0
42,43,索敌目标为前排护盾,2,1,0,0,0,0,0,1,194,1,6,0
43,44,索敌目标为随机两个队友,2,2,0,0,0,0,0,1,0,0,6,0
44,46,索敌目标为莫辛纳甘标记,1,1,0,0,0,1,0,1,716,1,6,0
45,47,对随机一个队友释放,2,1,0,12,1,0,0,1,0,1000003818,18,0
46,48,对随机三个敌人释放,1,3,0,1,1,0,0,1,448,1,7,0
