,id,type,goto_page
0,1,buy_bp_count,Mall-5
1,2,buy_bp_num,Mall-0
2,3,coin_mission,MissionSelection-2
3,4,collect_gun,MissionSelection-0
4,5,combine_gun,Factory-3
5,6,consume_bp,MissionSelection-2
6,7,consume_capsule,Factory-2
7,8,consume_coin1,Research-0
8,9,consume_coin2,Research-0
9,10,consume_coin3,Research-0
10,11,consume_exchange_coin,Dorm-0
11,12,consume_furniture_coin,Dorm-0
12,14,consume_gem,Mall-0
13,16,consume_quick_reinforce,Reinforcement-0
14,17,consume_quick_training,Research-0
15,18,consume_skin_exchange,Dorm-2
16,19,cumulative_recharge_amount,Mall-3
17,20,cumulative_recharge_days,Mall-3
18,21,develop_equip,Factory-4
19,23,develop_equip_rank4,Factory-4
20,24,develop_equip_rank5,Factory-4
21,25,develop_gun,Factory-0
22,27,develop_gun_rank4,Factory-0
23,28,develop_gun_rank5,Factory-0
24,29,eat_gun,Factory-2
25,30,fix_gun,Reinforcement-0
26,31,gasha_count,Dorm-0
27,32,gift giving,Dorm-0
28,33,gun_level_up_count,MissionSelection-0
29,34,mission_common_win,MissionSelection-0
30,35,mission_duplicate_type1,MissionSelection-2
31,36,mission_duplicate_type2,MissionSelection-2
32,37,mission_duplicate_type3,MissionSelection-2
33,38,mission_emergent_win,MissionSelection-0
34,39,mission_night_win,MissionSelection-0
35,40,open_gift,Dorm-0
36,41,operation,MissionSelection-1
37,42,operation_duration,MissionSelection-1
38,43,s_win,MissionSelection-0
39,44,upgrade,Research-0
40,46,win_armorperson,MissionSelection-0
41,47,win_armorrobot,MissionSelection-0
42,48,win_boss,MissionSelection-0
43,49,win_person,MissionSelection-0
44,50,win_robot,MissionSelection-0
45,51,fix,Reinforcement-0
46,52,special_develop_gun,Factory-0
47,53,mission_win,MissionSelection-0
48,54,adjust_equip,Research-2
49,55,trial_mission,MissionSelection-2
50,56,consume_iop_contract,Factory-0
51,57,get_build_coin,Dorm-0
52,58,consume_build_coin,Dorm-0
53,59,consume_fight_report,Dorm-0
54,60,win_destroyer,MissionSelection-0
55,61,win_jammer,MissionSelection-0
56,62,win_alchemist,MissionSelection-0
57,63,retire_gun,Factory-1
58,65,consume_equip_contract,Factory-4
59,66,develop_fight_report,Dorm-0
60,67,buy_furniture_coin,Mall-5
61,68,upvote,Dorm-0
62,69,buy_quick_training,Mall-1
63,70,buy_quick_reinforce,Mall-1
64,71,buy_iop_contract,Mall-1
65,72,buy_quick_develop,Mall-1
66,73,buy_equip_contract,Mall-1
67,79,special_develop_quickInput,Factory-0
68,80,auto_mission_1,MissionSelection-0
69,81,operation_5,MissionSelection-1
70,82,reinforce_team2,MissionSelection-0
71,83,mission_emergency_1_1_1,MissionSelection-0
72,84,mission_emergency_1_2_1,MissionSelection-0
73,85,mission_emergency_1_3_1,MissionSelection-0
74,86,mission_emergency_1_4_1,MissionSelection-0
75,87,mission_emergency_1_5_1,MissionSelection-0
76,88,mission_emergency_1_6_1,MissionSelection-0
77,89,mission_emergency_1_7_1,MissionSelection-0
78,90,mission_emergency_1_8_1,MissionSelection-0
79,91,mission_emergency_3_1_1,MissionSelection-0
80,92,mission_emergency_3_2_1,MissionSelection-0
81,93,mission_emergency_3_3_1,MissionSelection-0
82,94,mission_emergency_3_4_1,MissionSelection-0
83,95,mission_emergency_3_5_1,MissionSelection-0
84,100,gun5_into_team,Formation-0
85,101,gun_equip_type_4,Formation-0
86,102,gun_equip_type_5,Formation-0
87,103,gun5_into_team2,Formation-0
88,104,team_from_1,Formation-0
89,105,team_from_2,Formation-0
90,106,team_from_3,Formation-0
91,107,team_from_4,Formation-0
92,108,team_from_5,Formation-0
93,115,combine_gun_type_4,Factory-3
