,id,name,code,description,max_tier,type,duration_type,duration,parameter,trigger_creation_id,creation_id,available_gun_type,ui_control
0,101,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,1,1,0,8,0,0
1,102,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
2,103,冷却减少【*】,,当前冷却-1【*】,10,121,1,1,-1,0,5,0,0
3,104,行动力提升,FlightChessBuff_3,行动力+1,1,102,1,-1,1,0,8,0,0
4,105,攻击次数【*】,,攻击次数+1【*】,1,117,1,1,1,0,5,0,0
5,106,冷却缩减,FlightChessBuff_17,冷却缩减-1,1,122,1,-1,-1,0,5,0,0
6,107,行动力提升,FlightChessBuff_3,行动力+4,1,102,1,-1,4,0,8,0,0
7,108,护盾值【*】,,护盾值+1【*】,99,104,1,-1,1,0,0,0,0
8,109,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
9,110,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,1,0,8,0,0
10,111,最大生命,FlightChessBuff_8,最大生命+1,99,107,1,-1,1,0,6,0,0
11,112,射程,FlightChessBuff_5,射程+1,99,103,1,-1,1,0,9,0,0
12,113,护盾值【*】,,护盾值+1【*】,99,104,1,-1,1,0,0,0,0
13,114,成长次数【*】,,成长次数+1【*】,99,400,1,-1,0,0,0,0,0
14,115,技能伤害,FlightChessBuff_19,毁伤+1,99,124,1,-1,1,0,5,0,0
15,116,最大生命,FlightChessBuff_8,最大生命-1,99,107,1,-1,-1,0,13,0,0
16,117,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500101,0,5,0,0
17,118,冷却缩减,FlightChessBuff_17,冷却缩减-1,5,122,1,-1,-1,0,5,0,0
18,119,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,1,1,0,8,0,0
19,120,回复效率【*】,,回复效率+1【*】,99,400,1,-1,0,0,5,0,0
20,121,跳跃距离,FlightChessBuff_27,机动距离+1,99,125,1,-1,1,0,5,0,0
21,122,跳跃距离,FlightChessBuff_27,机动距离+2,99,125,1,-1,2,0,5,0,0
22,123,护盾值【*】,,护盾值+2【*】,1,104,1,-1,2,0,0,0,0
23,124,上场棋子上限,FlightChessBuff_15,可上场+1,1,118,1,-1,1,0,5,0,0
24,125,伤害调整,FlightChessBuff_1,不大于10点,1,108,1,-1,*500102,0,5,0,0
25,126,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
26,127,普攻伤害调整,FlightChessBuff_28,普攻调整,1,120,1,-1,*500103,0,5,0,0
27,128,行动力提升,FlightChessBuff_3,行动力+2,99,102,1,1,2,0,8,0,0
28,129,随机点射程,FlightChessBuff_5,射程+3,1,103,1,1,3,0,9,0,0
29,130,伤害提升,FlightChessBuff_1,伤害+5,1,101,1,-1,5,0,7,0,0
30,131,最大生命,FlightChessBuff_8,最大生命-5,1,107,1,-1,-5,0,6,0,0
31,132,标记【*】,,标记用【*】,1,400,1,-1,0,0,4,0,0
32,133,屏蔽标记【*】,,标记用【*】,1,400,1,1,0,0,0,0,0
33,134,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,-1,2,0,8,0,0
34,135,行动骰子,FlightChessBuff_22,行动骰子+1,5,130,1,1,1,0,4,0,0
35,136,骰子点数,FlightChessBuff_24,行动不大于5,1,132,2,1,5,0,4,0,0
36,137,战斗骰子,FlightChessBuff_23,战斗骰子+1,1,131,1,-1,1,0,4,0,0
37,138,骰子点数,FlightChessBuff_24,行动不小于3,1,133,1,1,3,0,4,0,0
38,139,骰子点数,FlightChessBuff_25,战斗不小于3,1,135,1,1,3,0,4,0,0
39,140,屏蔽用buff【*】,,屏蔽加buff死循环【*】,1,400,1,-1,0,0,0,0,0
40,141,技能伤害【*】,,技能伤害计数【*】,99,400,1,-1,0,0,0,0,0
41,142,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
42,143,屏蔽用buff【*】,,屏蔽加buff死循环【*】,1,400,1,-1,0,0,0,0,0
43,144,屏蔽用buff【*】,,屏蔽加buff死循环【*】,1,400,1,-1,0,0,0,0,0
44,145,骰子点数,FlightChessBuff_24,行动不小于4,1,133,1,1,4,0,4,0,0
45,146,骰子点数,FlightChessBuff_25,战斗不小于4,1,135,1,1,4,0,4,0,0
46,147,行动骰子,FlightChessBuff_22,行动骰子+1,1,130,1,-1,1,0,4,0,0
47,148,标识用buff【*】,,标识【*】,1,400,1,1,0,0,0,0,0
48,149,屏蔽用buff【*】,,屏蔽【*】,1,400,1,-1,0,0,0,0,0
49,150,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500104,0,5,0,0
50,151,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500105,0,5,0,0
51,152,标识用buff【*】,,hg技能目标标识【*】,1,400,1,-1,0,0,0,0,0
52,153,护盾值【*】,,护盾值+1【*】,99,104,1,-1,1,0,0,0,0
53,154,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,1,0,8,0,0
54,155,护盾值【*】,,护盾值+1【*】,99,104,1,-1,2,0,0,0,0
55,156,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,2,0,8,0,0
56,157,标识用buff【*】,,亡语【*】,1,400,1,-1,0,0,0,0,0
57,158,标识用buff【*】,,亡语2【*】,1,400,1,-1,0,0,0,0,0
58,159,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,1,0,4,0,0
59,160,最大生命,FlightChessBuff_8,最大生命+1,99,107,1,-1,2,0,4,0,0
60,161,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500101,0,5,0,0
61,162,射程,FlightChessBuff_5,射程+2,99,103,1,-1,2,0,9,0,0
62,163,伤害提升,FlightChessBuff_1,伤害+2,99,101,1,-1,2,0,7,0,0
63,164,标识用buff【*】,,受伤状态【*】,1,400,1,-1,0,0,0,0,0
64,165,普攻伤害调整,FlightChessBuff_28,普攻调整,1,120,1,-1,*500107,0,5,0,0
65,166,标识用buff【*】,,触发141【*】,1,400,1,-1,0,0,0,0,0
66,167,屏蔽标记【*】,,标记用【*】,2,400,1,1,0,0,0,0,0
67,168,行动力提升,FlightChessBuff_3,行动力-1,99,102,1,-1,-1,0,13,0,0
68,169,伤害提升,FlightChessBuff_1,伤害-1,99,101,1,-1,-1,0,13,0,0
69,170,射程,FlightChessBuff_5,射程-1,99,103,1,-1,-1,0,13,0,0
70,171,伤害提升,FlightChessBuff_1,伤害+2,99,101,1,-1,2,0,7,0,0
71,172,行动力提升,FlightChessBuff_3,行动力+2,99,102,1,-1,2,0,8,0,0
72,173,最大生命,FlightChessBuff_8,最大生命-1,99,107,1,-1,-1,0,13,0,0
73,174,计数buff【*】,,存活回合【*】,6,400,1,-1,0,0,0,0,0
74,175,计数buff【*】,,增幅触发【*】,1,400,1,1,0,0,0,0,0
75,176,计数buff【*】,,起飞计数【*】,8,400,1,-1,0,0,0,0,0
76,177,计数buff【*】,,触发62301【*】,10,400,1,1,0,0,0,0,0
77,178,计数buff【*】,,,5,400,1,-1,0,0,0,0,2
78,179,冷却缩减,FlightChessBuff_17,冷却缩减-1,1,122,1,-1,-1,0,5,0,0
79,180,冷却缩减,FlightChessBuff_17,冷却缩减-1,1,122,1,-1,-2,0,5,0,0
80,181,计数buff【*】,,道具使用【*】,6,400,1,-1,0,0,0,0,0
81,182,上场棋子上限,FlightChessBuff_15,可上场+2,1,118,1,-1,2,0,5,0,0
82,183,伤害调整,FlightChessBuff_28,不大于8点,1,108,1,-1,*500108,0,5,0,0
83,194,计数buff【*】,,,4,400,1,-1,0,0,0,0,3
84,195,计数buff【*】,,163计数【*】,10,400,1,-1,0,0,0,0,0
85,196,标识用buff【*】,,回合内【*】,1,400,1,1,0,0,0,0,0
86,197,计数buff【*】,,164计数【*】,99,400,1,-1,0,0,0,0,0
87,198,标识用buff【*】,,处于免疫最大血量下降【*】,1,400,1,-1,0,0,0,0,0
88,199,射程,FlightChessBuff_5,射程+1,99,103,1,-1,1,0,9,0,0
89,200,标识用buff【*】,,屏蔽17001【*】,1,400,1,-1,0,0,0,0,0
90,201,标识用buff【*】,,屏蔽17101【*】,1,400,1,-1,0,0,0,0,0
91,202,跳跃距离,FlightChessBuff_27,机动距离+1,99,125,1,-1,1,0,5,0,0
92,203,标识用buff【*】,,屏蔽12503【*】,1,400,1,-1,0,0,0,0,0
93,204,标识用buff【*】,,屏蔽12603【*】,1,400,1,-1,0,0,0,0,0
94,205,标识用buff【*】,,屏蔽12303【*】,1,400,1,-1,0,0,0,0,0
95,206,标识用buff【*】,,屏蔽15501【*】,1,400,1,-1,0,0,0,0,0
96,207,行动骰子,FlightChessBuff_22,行动骰子+1,1,130,2,1,1,0,4,0,0
97,208,伤害调整【*】,,600用【*】,1,108,2,1,*500109,0,0,0,0
98,209,被攻击标识【*】,,600用【*】,1,400,1,1,0,0,0,0,0
99,210,伤害调整【*】,,600用【*】,1,108,2,1,0,0,0,0,0
100,211,护盾值【*】,,护盾值+2【*】,1,104,1,-1,2,0,0,0,0
101,212,护盾值【*】,,护盾值+2【*】,99,104,1,-1,2,0,0,0,0
102,213,移动调整【*】,,60201用【*】,1,400,1,-1,0,0,0,0,0
103,214,移动调整【*】,,60202用【*】,1,102,2,1,*500110,0,0,0,0
104,215,最大生命,FlightChessBuff_8,最大生命-2,99,107,1,-1,-2,0,13,0,0
105,216,伤害提升,FlightChessBuff_1,伤害+2,99,101,1,1,2,0,7,0,0
106,217,行动力提升,FlightChessBuff_3,行动力+2,99,102,1,1,2,0,8,0,0
107,218,射程,FlightChessBuff_5,射程+1,99,103,1,1,1,0,9,0,0
108,219,技能伤害,FlightChessBuff_19,毁伤+1,99,124,1,1,1,0,5,0,0
109,220,移动调整【*】,,60204用【*】,1,102,2,1,*500111,0,0,0,0
110,221,标识用buff【*】,,屏蔽12801【*】,1,400,1,-1,0,0,0,0,0
111,222,眩晕,FlightChessBuff_10,眩晕,1,110,1,1,1,0,0,0,0
112,223,最大生命,FlightChessBuff_8,最大生命+2,99,107,1,-1,2,0,6,0,0
113,224,射程,FlightChessBuff_5,射程+2,99,103,1,-1,2,0,9,0,0
114,225,护盾值【*】,,护盾值+2【*】,99,104,1,-1,2,0,0,0,0
115,226,跳跃距离,FlightChessBuff_27,机动距离+2,99,125,1,-1,2,0,5,0,0
116,227,标识用buff【*】,,屏蔽12901【*】,1,400,1,-1,0,0,0,0,0
117,228,行动骰子,FlightChessBuff_22,行动骰子+1,1,130,1,1,1,0,4,0,0
118,229,标识用buff【*】,,触发献祭smg效果【*】,1,400,1,-1,0,0,0,0,0
