,id,target_type,target_number,is_select,range,select_order,select_limit,select_type
0,1,9,1,0,,1,0,1
1,2,1,0,0,,1,0,0
2,3,2,1,1,"6,2",,0,1
3,4,5,1,1,"6,2",,0,1
4,5,6,1,0,,1,0,0
5,6,1,0,0,,1,200101,0
6,7,1,1,0,,1,200101,0
7,8,"1,3",0,0,,3,200101,0
8,9,6,1,0,,1,0,0
9,10,"1,3",0,0,,1,200101,0
10,11,9,1,0,,1,0,0
11,12,"1,3",1,0,,3,200102,0
12,13,1,0,0,,1,200102,0
13,14,"1,3",0,0,,1,0,0
14,15,1,0,0,,1,200103,0
15,16,3,0,0,,1,200103,0
16,17,"1,3",0,0,,1,200103,0
17,18,"1,3",0,0,,1,200104,0
18,19,1,0,0,,1,200104,0
19,20,1,1,0,,1,0,0
20,21,"1,2,3",1,0,,1,0,0
21,22,1,1,0,,1,0,0
22,23,"1,2",0,0,,1,0,0
23,24,1,2,0,,1,200101,0
24,25,1,1,1,,,0,0
25,26,1,2,0,"6,4",1,0,0
26,27,1,1,0,,1,0,0
27,28,"6,7",0,0,,1,0,0
28,29,"1,2",1,0,,1,0,0
29,30,7,1,1,,,0,0
30,31,"1,2",1,1,,,0,0
31,32,1,1,1,,1,0,0
32,33,8,1,1,,,0,0
33,34,2,1,1,,,0,0
34,35,11,1,0,,1,0,0
35,36,"1,3",0,0,,1,200105,0
36,37,1,0,0,,1,0,0
37,38,"1,3",0,0,,1,200107,0
38,39,1,1,0,,3,200102,0
39,40,"1,3",0,0,,1,200102,0
40,41,1,1,0,,1,200109,0
41,42,1,1,1,,1,0,0
42,43,1,0,0,,3,200102,0
43,44,9,1,0,,1,200108,1
44,45,5,1,1,"6,4",,0,1
45,46,1,1,1,,,0,1
46,47,"1,2",0,0,,1,0,0
47,48,"1,3",0,0,,1,0,0
48,49,2,0,0,,,0,0
49,50,2,1,0,,1,200110,0
50,51,2,1,0,,1,200111,0
51,52,2,1,0,,1,200112,0
52,53,1,1,0,,2:200113,0,0
53,54,1,1,0,,1,200102,0
54,55,1,1,0,,1,200112,0
55,56,7,0,0,,1,0,0
