,id,icon_colors
0,1,"62,71,69;185,255,48"
1,2,"78,65,55;231,222,145"
2,3,"61,61,56;129,67,59"
3,4,"86,97,68;160,127,74"
4,5,"33,33,33;87,71,54"
5,6,"87,69,67;53,45,45"
6,7,"110,90,87;76,57,60"
7,8,"31,31,13;133,46,43"
8,9,"6,25,29;148,52,48"
9,10,"6,25,29;148,52,48"
10,11,"0,173,156;248,237,0"
11,12,"31,31,31;49,50,52"
12,13,"36,23,17;56,47,52"
13,14,"55,69,84;83,106,128"
14,15,"96,96,96;49,49,49"
15,16,"83,68,54;128,105,83"
16,17,"90,48,54;138,73,80"
17,18,"165,126,22;239,216,108"
18,19,"132,132,132;236,232,224"
19,20,"39,44,48;74,81,87"
20,21,"200,145,67;255,234,142"
21,22,"214,183,178;255,240,238"
22,23,"75,57,47;156,123,105"
23,24,"88,48,53;138,73,80"
24,25,"39,39,39;78,78,78"
25,26,"109,62,78;29,13,33"
26,27,"195,196,197;25,25,25"
27,28,"62,78,109;13,33,29"
28,29,"182,44,82;85,10,30"
29,30,"255,254,254;255,103,103"
30,31,"39,31,24;0,0,0"
31,32,"250,147,80;189,92,46"
32,33,"255,255,255;249,149,87"
33,34,"132,89,57;255,255,255"
34,35,"255,55,128;127,97,70"
35,36,"235,254,72;127,97,70"
36,37,"233,170,5;127,97,70"
37,38,"255,210,195;255,245,230"
38,39,"225,167,145;188,120,104"
39,40,"187,146,44;188,120,104"
40,41,"255,203,187;255,245,230"
41,42,"26,194,242;255,245,230"
42,43,"242,188,164;188,120,104"
43,44,"29,144,209;244,241,253"
44,45,"187,53,58;51,104,186"
45,46,"50,50,50;235,74,151"
46,47,"255,255,255;255,147,153"
47,48,"143,214,252;251,2511,254"
48,49,"94,148,192;252,252,255"
49,50,"68,156,213;22,25,34"
50,51,"25,25,25;127,19,4"
51,52,"51,51,51;103,180,229"
52,53,"28,28,28;237,237,237"
53,54,"252,165,107;98,250,246"
54,55,"99,144,213;25,25,25"
55,56,"255,245,230;255,230,187"
56,57,"188,120,104;187,53,58"
57,58,"255,203,187;50,50,50"
58,59,"255,203,187;255,147,153"
59,60,"188,120,104;143,214,252"
60,61,"188,120,104;252,252,255"
61,62,"175,187,187;144,157,42"
62,63,"102,95,79;102,233,234"
63,64,"127,111,83;109,180,245"
64,65,"143,159,185;150,68,56"
65,66,"159,183,157;237,121,248"
66,67,"250,107,86;239,237,101"
67,68,"112,249,224;116,113,111"
68,69,"175,187,187;83,78,74"
69,70,"149,139,115;250,207,81"
70,71,"132,117,96;45,41,49"
71,72,"143,159,185;122,128,133"
72,73,"87,83,98;104,125,112"
73,74,"250,107,86;88,83,97"
74,75,"87,84,81;184,171,148"
75,76,"175,187,187;231,85,38"
76,77,"149,139,115;250,207,81"
77,78,"132,117,96;237,113,46"
78,79,"1487,193,224;240,202,112"
79,80,"59,57,65;105,129,112"
80,81,"250,107,86;86,82,96"
81,82,"83,83,83;255,247,232"
82,83,"236,232,224;242,188,164"
83,84,"240,219,119;255,247,232"
