,id,code,type_id,basic_scores,k_slopes,x_counts
0,1,sr_gun_level,201,0.7,0.5;4.5;2;13;5,0;90;100;110;115
1,2,ssr_gun_level,201,1.0,0.5;4.5;2;13;5,0;90;100;110;115
2,3,normal_gun_mod,202,0.7,1;2;3;0,0;1;2;3
3,4,rare_gun_mod,202,1.0,1;2;3;0,0;1;2;3
4,5,sr_gun_mod,202,1.5,1;2;3;0,0;1;2;3
5,6,ssr_gun_mod,202,3.0,1;2;3;0,0;1;2;3
6,7,upgrade,203,1.0,,
7,8,eat_gun,204,1.0,,
8,9,ssr_combine_gun,205,1.0,1;1;2;3,1;2;3;4
9,10,sr_combine_gun,205,0.8,1;1;2;3,1;2;3;4
10,11,ssr_equip_counts,301,1.0,,
11,12,ssr_typcial_equip_counts,302,1.5,,
12,13,ssr_equip_adjust,303,2.0,,
13,14,ssr_equip_upgrade,304,1.0,1;1.5;2;,1;4;7
14,15,ssr_typcial_equip_upgrade,304,3.0,1;1.5;2;,1;4;7
15,16,fairy_level,401,1.0,0.05;0.45;2.5;5.5,0;20;40;70
16,17,fairy_rank,402,1.0,1;4;10;15,1;2;3;4
17,18,fairy_talent_sr,403,1.0,,
18,19,fairy_talent_ssr,403,2.0,,
19,20,fairy_talent_sp,403,3.0,,
20,21,upgrade_fairy,404,1.0,,
21,22,squad_level,501,1.0,0.5;4.5;2;13;5,0;40;60;75;90
22,23,squad_rank,502,1.0,1;2;3;4,1;2;3;4
23,24,squad_advanced,503,0.5,,
24,25,squad_up_skill_times,504,1.0,,
25,26,ssr_sangvis_level,601,1.2,1;2;4;6,0;30;70;90
26,27,sr_sangvis_level,601,1.0,1;2;4;6,0;30;70;90
27,28,r_sangvis_level,601,0.8,1;2;4;6,0;30;70;90
28,29,ssr_sangvis_rank,602,1.0,3;4.5,3;4
29,30,sr_sangvis_rank,602,1.0,1;1.5;3,2;3;4
30,31,r_sangvis_rank,602,1.0,0.5;0.7;1;2,1;2;3;4
31,32,ssr_sangvis_combine,603,2.0,1;2;3;4,1;2;3;4
32,33,sr_sangvis_combine,603,1.2,1;2;3;4,1;2;3;4
33,34,r_sangvis_combine,603,0.5,1;2;3;4,1;2;3;4
34,35,sangvis_skillpractic,604,1.0,,
35,36,sangvis_chips,605,1.0,,
36,37,squad_chips,505,50.0,,
37,38,normal_mission_medal1,801,1.0,1;1.2;1.5;2,0;30;50;90
38,39,normal_mission_medal4,801,2.0,1;1.2;1.5;2,0;30;50;90
39,40,normal_mission_bestrank,801,3.0,1;1.2;1.5;2,0;30;50;90
40,41,emergency_mission_medal1,801,2.0,1;1.2;1.5;2,0;30;50;90
41,42,emergency_mission_medal4,801,4.0,1;1.2;1.5;2,0;30;50;90
42,43,emergency_mission_bestrank,801,6.0,1;1.2;1.5;2,0;30;50;90
43,44,midnight_mission_complete,801,3.0,1;1.2;1.5;2,0;30;50;90
44,45,activity_lite_counts,802,0.8,1;1.2;1.5;2,0;30;50;90
45,46,activity_normal_counts,802,0.8,1;1.2;1.5;2,0;30;50;90
46,47,activity_difficult_counts,802,1.2,1;1.2;1.5;2,0;30;50;90
47,48,highlevel_mission_attend,803,2.0,,
48,49,theatre_attend,803,1.0,,
49,50,different_gun,804,1.0,1;0.8;0.6;0.5,0;120;250;350
50,51,different_sp_gun,804,1.0,1;0.8;0.6;0.5,0;20;40;70
51,52,different_fairy,804,2.0,1;0.8;0.6;0.5,0;10;25;40
52,53,different_sp_fairy,804,1.0,1;0.8;0.6;0.5,0;10;20;50
53,54,different_equipments,804,2.0,1;0.8;0.6;0.5,0;50;100;150
54,55,different_sp_equipments,804,1.5,1;0.8;0.6;0.5,0;10;20;50
55,56,operation,901,1.0,,
56,57,explore_has_time,902,1.0,,
57,58,auto_mission,903,1.0,,
58,59,maxteam,904,1.0,6;12;22,0;4;5
59,60,max_gun_preset,904,1.0,5;9.5,0;2
60,61,max_build_slot,904,0.5,5;9.5;17,0;4;6
61,62,max_equip_build_slot,904,0.5,2.5;4.5;9.5,0;4;6
62,63,maxgun,904,1.0,0.4;0.7,0;100
63,64,maxequip,904,1.0,0.08;0.15,0;200
64,65,max_fairy,904,1.0,0.4;0.7,0;30
65,66,max_sangvis,904,1.0,0.4;0.7,0;100
66,67,max_fix_slot,904,1.0,5;9.5;17,0;4;5
67,68,max_upgrade_slot,904,1.0,5;9.5;17,0;2;3
68,69,maxdorm,904,1.0,5;9.5;17,0;2;3
69,70,friend_count,1001,1.0,,
70,71,cheers_counts,1002,1.0,,
71,72,from_friend_build_coin,1003,1.0,,
72,73,borrow_friend_team,1004,1.0,,
73,74,chessGame_rank_counts,1005,1.0,,
74,75,chessGame_free_counts,1005,1.0,,
75,76,rank5_furniture_count,1101,1.0,,
76,77,rank4_furniture_count,1101,1.0,,
77,78,different_rank5_furniture_classes,1102,1.0,,
78,79,different_rank4_furniture_classes,1102,1.0,,
79,80,different_skin,1103,1.5,,
80,81,different_rare_skin,1103,3.0,,
81,82,different_ssr_skin,1103,6.0,,
82,83,coffeeshop_comic,1104,1.0,,
83,84,upgrade_story_counts,1105,1.0,,
84,85,fetter_clear,1106,1.0,,
85,86,soul_bond_gun,1107,3.0,,
86,87,favor100_gun,1108,1.0,,
87,88,favor150_gun,1108,2.0,,
88,89,sp_gun_level,201,1.2,0.5;4.5;2;13;5,0;90;100;110;115
89,90,sp_combine_gun,205,1.2,1;1;2;3,1;2;3;4
90,91,different_sangvis,804,1.0,1;0.8;0.6;0.5,0;20;40;80
