,id,spine_name,interact_type,interact_point_type,emoji,min_decorate,max_decorate,min_favor,max_favor,action_voice,action_sound,action_bgm,shadow_exist,move_speed,next_action,no_vertical_motion,is_married,furiniture_action_interact,default_action
0,1,wait,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
1,2,wait,1,0,,0,0,0,0,,,,1,0.0,,0,0,,
2,3,wait,-1,wait,,0,0,0,0,,,,1,0.0,,0,0,,
3,4,sit,-1,sit,,0,0,0,0,,,,1,0.0,,0,0,,
4,5,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
5,6,move,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
6,7,idle1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
7,8,idle2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
8,9,dance1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
9,10,dance2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
10,11,dance3,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
11,12,action,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
12,13,action1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
13,14,action2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
14,15,action3,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
15,16,work1,-1,kalina_write,,0,0,0,0,,,,1,0.0,,0,0,,
16,17,work2,-1,kalina_type,,0,0,0,0,,,,1,0.0,,0,0,,
17,18,pick,-1,pick,,0,0,0,0,,,,1,0.0,,0,0,,
18,19,sit,0,sit,,0,0,0,0,,,,1,0.0,,0,0,,
19,20,lying,0,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
20,21,wait,1,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405",0,0,0,0,,,,1,0.0,,0,0,,
21,22,wait,2,0,"Emoji_0102,Emoji__1209,Emoji__1101,Emoji__1207,Emoji__1005,,",0,0,0,0,,,,1,0.0,,0,0,,
22,23,active,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
23,24,pick,-1,pick,,0,0,0,0,,,,1,0.0,,0,0,,
24,25,action4,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
25,26,action5,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
26,27,active1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
27,28,active2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
28,29,sit,-1,bird_sit,,0,0,0,0,,,,1,0.0,,0,0,,
29,30,action2,-1,anna_sit,,0,0,0,0,,,,1,0.0,,0,0,,
30,31,action1,-1,bird_sit,,0,0,0,0,,,,1,0.0,,0,0,,
31,32,attack,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
32,33,action,-1,fishman_dog,,0,0,0,0,,,,1,0.0,,0,0,,
33,34,action,-1,eat_dog,,0,0,0,0,,,,1,0.0,,0,0,,
34,5012,dance,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
35,21001,wait,0,0,"Emoji__1101,",0,0,0,0,,,,1,0.0,,0,0,,
36,21002,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
37,21003,action1,0,0,"Emoji__1101,",0,0,0,0,,,,1,0.0,,0,0,,
38,21004,action2,0,0,"Emoji__1101,",0,0,0,0,,,,1,0.0,,0,0,,
39,21011,wait,0,0,"Emoji__1101,Emoji_1721,,,",0,0,0,0,,,,1,0.0,,0,0,,
40,21012,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
41,21013,action1,0,0,"Emoji__1101,Emoji_1714,Emoji_1752,,,,",0,0,0,0,,,,1,0.0,,0,0,,
42,21014,action2,0,0,"Emoji__1101,Emoji_1730,,,",0,0,0,0,,,,1,0.0,,0,0,,
43,21015,action3,0,0,"Emoji__1101,Emoji_1730,,,",0,0,0,0,,,,1,0.0,,0,0,,
44,22001,wait,0,0,"Emoji_9003,",0,0,0,0,,,,1,0.0,,0,0,,
45,22002,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
46,22003,action1,0,0,"Emoji_9003,",0,0,0,0,,,,1,0.0,,0,0,,
47,22004,action2,0,0,"Emoji_9003,",0,0,0,0,,,,1,0.0,,0,0,,
48,22011,wait,0,0,"Emoji_9003,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
49,22012,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
50,22013,action1,0,0,"Emoji_9008,Emoji_9004,Emoji_9003",0,0,0,0,,,,1,0.0,,0,0,,
51,22014,action2,0,0,"Emoji_9005,Emoji_9009",0,0,0,0,,,,1,0.0,,0,0,,
52,22051,wait,0,0,"Emoji_9003,Emoji_9007,Emoji_9006",0,0,0,0,,,,1,0.0,,0,0,,
53,22052,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
54,22053,action1,0,0,"Emoji_9006,Emoji_9003,Emoji_9006,Emoji_9004",0,0,0,0,,,,1,0.0,,0,0,,
55,22054,action2,0,0,"Emoji_9006,Emoji_9005",0,0,0,0,,,,1,0.0,,0,0,,
56,22061,wait,0,0,"Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
57,22062,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
58,22063,action1,0,0,"Emoji_9001,Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
59,22064,action2,0,0,"Emoji_9001,Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
60,22065,swim,-1,3306_swim,"Emoji_9001,Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
61,22071,wait,0,0,"Emoji__1304,Emoji__1303",0,0,0,0,,,,1,0.0,,0,0,,
62,22072,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
63,22073,action1,0,0,"Emoji__1502,Emoji_0302",0,0,0,0,,,,1,0.0,,0,0,,
64,22074,action2,0,0,"Emoji__1206,",0,0,0,0,,,,1,0.0,,0,0,,
65,22075,action3,0,0,"Emoji_0302,",0,0,0,0,,,,1,0.0,,0,0,,
66,22076,action4,0,0,"Emoji__1204,Emoji__1602",0,0,0,0,,,,1,0.0,,0,0,,
67,22081,wait,0,0,"Emoji_9003,Emoji_9007,Emoji_9003,Emoji_9007,,",0,0,0,0,,,,1,0.0,,0,0,,
68,22082,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
69,22083,action1,0,0,"Emoji_9008,Emoji_9004,Emoji_9003,Emoji_9002,Emoji_9003,Emoji_9002,",0,0,0,0,,,,1,0.0,,0,0,,
70,22084,action2,0,0,"Emoji_9005,Emoji_9009,Emoji_9009,Emoji_9009,,,",0,0,0,0,,,,1,0.0,,0,0,,
71,22091,wait,0,0,"Emoji_9003,Emoji_9007,Emoji_1740,,,",0,0,0,0,,,,1,0.0,,0,0,,
72,22092,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
73,22093,action1,0,0,"Emoji_9008,Emoji_9003,,Emoji_02ID,,,",0,0,0,0,,,,1,0.0,,0,0,,
74,22094,action2,0,0,"Emoji_9005,Emoji_9003,Emoji_0301,,,",0,0,0,0,,,,1,0.0,,0,0,,
75,41919,sit,-1,chess,"Emoji_9010,Emoji_9001,Emoji_9010,Emoji_0203,Emoji_0204,Emoji__1002,Emoji_0302,Emoji_9011,Emoji_9012,Emoji_9013,Emoji_9014,Emoji_9015,,,Emoji_9011,Emoji_9012,Emoji_9013,Emoji_9014,Emoji_9015,Emoji_9010,Emoji_9011,Emoji_9012,Emoji_9013,Emoji_9014",0,0,0,0,,,,1,0.0,,0,0,,
76,42002,lying,-1,neet_sleep,,0,0,0,0,,,,1,0.0,,0,0,,
77,42023,wait,-1,green_beverage,"Emoji__1505,Emoji__1506,Emoji__1207,Emoji_0000,Emoji_0001",0,0,0,0,,,,1,0.0,,0,0,,
78,42032,sit,-1,wv_sit,"Emoji_1760,Emoji_1761,Emoji_1762,Emoji_1763,Emoji_1760,Emoji__1005,Emoji__1209,Emoji_0302,Emoji__1203,Emoji__5003,,",0,0,0,0,,,,1,0.0,,0,0,,
