,id,text
0,102101,♪Сакварлис саплавс ведзебди
1,102102,♪Вер внахе дакаргулико
2,102103,♪Гуламосквнили втироди
3,102104,♪Сада хар чемо Сулико?
4,102105,♪Гуламосквнили втироди
5,102106,♪Сада хар чемо Сулико? 
6,106501,♪Wir schlucken Staub beim Wandern
7,106502,♪Er hängt des Säckel hohl
8,106503,♪Der Kaiser schluckt ganz Flandern
9,106504,♪Bekommt ihm ewig wohl
10,106505,♪Er denkt beim Länderschmanse
11,106506,♪Wie er die Welt erwürb
12,106507,♪Mir wohnt ein Lieb zu Hause
13,106508,♪Das weinte wenn ich stürb
14,110101,♪If you miss 
15,110102,♪the train I'm on
16,110103,♪You will know 
17,110104,♪that I am gone
18,110105,♪You can hear 
19,110106,♪the whistle blow 
20,110107,♪a hundred miles
21,110108,♪a hundred miles
22,110109,♪a hundred miles
23,110110,♪a hundred miles
24,110111,♪a hundred miles
25,110112,…???
26,111401,♪You turn to me in all your wordly 
27,111402,♪greed and pride
28,111403,♪But will you turn to me 
29,111404,♪when it's your turn to die 
30,111405,♪Lord of shadow
31,111406,♪Evil Possessor
32,111407,♪Lord of shadow
33,111408,♪he's your confessor now！ 
34,111501,♪Nuapurista kuulu se polokan tahti
35,111502,♪Jalakani pohjii kutkutti
36,111503,♪Ievan äiti se tyttöösä vahti
37,111504,♪Vaan kyllähän ieva sen jutkutti
38,111505,♪Sillä ei meitä silloin kiellot haittaa
39,111506,♪Kun myö tanssimme laiasta laitaan
40,111507,♪Salivili hipput tupput täppyt
41,111508,♪Äppyt tipput hilijalleen
42,111509,♪Ievan suu oli vehnäsellä
43,111510,♪Ko immeiset onnee toevotti
44,111511,♪Peä oli märkänä jokaisella
45,111512,♪Ja viulu se vinku ja voevotti
46,111513,♪Ei tätä poikoo märkyys haittaa
47,111514,♪Sillon ko laskoo laiasta laitaan
48,111515,♪Salivili hipput tupput täppyt
49,111516,♪Äppyt tipput hilijalleen
50,112201,♪Schlafe//c holder
51,112202,♪süßer Knabe
52,112203,♪Leise wiegt dich deiner…
53,112204,…
54,112901,♪蒹葭苍苍，白露为霜
55,112902,♪所谓伊人，在水一方
56,112903,♪溯洄从之，道阻且长
57,112904,♪溯游从之，宛在水中央
58,117101,♪Pourquoi 
59,117102,♪le loup mange l'agneau? 
60,117103,♪le lièvre et la tortue ?
61,117104,♪les anges ont-ils des ailes ?
62,117105,♪le diable et le bon Dieu ?
63,118801,♪Bruschetta
64,118802,♪Pizzette Margherita
65,118803,♪Pomodorini Ripieni
66,118804,♪Lasagne al Pomodoro
67,118805,♪Penne all' Arrabbiata
68,118806,♪Involtini di Asparagi 
69,118807,♪Che buono！
