,level,maxlife,pow,dodge,hit,armor_piercing,armor,shield,def,def_break
0,1,226.8,6.94,2.14,3.33,3.0,30.72,1.0,336.0,1.0
1,2,246.33,7.14,2.57,4.0,4.0,32.64,1.0,343.0,1.0
2,3,246.33,7.34,2.57,4.0,4.0,32.64,1.0,349.0,1.0
3,4,246.33,7.41,2.57,4.0,5.0,32.64,1.0,356.0,1.0
4,5,246.33,7.61,3.0,4.67,5.0,32.64,1.0,363.0,1.0
5,6,260.82,7.68,3.0,4.67,5.0,34.56,1.0,370.0,1.0
6,7,266.49,7.89,3.0,4.67,6.0,34.56,1.0,376.0,1.0
7,8,266.49,7.97,3.43,5.33,6.0,34.56,1.0,383.0,1.0
8,9,266.49,8.18,3.43,5.33,7.0,34.56,1.0,390.0,1.0
9,10,281.29,8.25,3.43,5.33,7.0,36.48,1.0,396.0,1.0
10,11,281.29,8.46,3.86,6.0,7.0,36.48,1.0,403.0,1.0
11,12,281.29,8.68,3.86,6.0,8.0,36.48,1.0,410.0,1.0
12,13,287.28,8.76,3.86,6.0,8.0,36.48,1.0,417.0,1.0
13,14,302.4,8.98,3.86,6.0,8.0,38.4,1.0,423.0,1.0
14,15,302.4,9.06,4.29,6.67,9.0,38.4,1.0,430.0,1.0
15,16,302.4,9.28,4.29,6.67,9.0,38.4,1.0,437.0,1.0
16,17,302.4,9.36,4.29,6.67,10.0,38.4,1.0,443.0,1.0
17,18,324.14,9.59,4.71,7.33,10.0,40.32,1.0,450.0,1.0
18,19,324.14,9.67,4.71,7.33,10.0,40.32,1.0,457.0,1.0
19,20,324.14,9.9,4.71,7.33,11.0,40.32,1.0,464.0,1.0
20,21,324.14,10.13,5.14,8.0,11.0,40.32,1.0,470.0,1.0
21,22,339.57,10.22,5.14,8.0,12.0,42.24,1.0,477.0,1.0
22,23,339.57,10.46,5.14,8.0,12.0,42.24,1.0,484.0,1.0
23,24,346.5,10.54,5.14,8.0,12.0,42.24,1.0,490.0,1.0
24,25,346.5,10.78,5.57,8.67,13.0,42.24,1.0,497.0,1.0
25,26,362.25,10.87,5.57,8.67,13.0,44.16,1.0,504.0,1.0
26,27,362.25,11.11,5.57,8.67,13.0,44.16,1.0,511.0,1.0
27,28,362.25,11.2,6.0,9.33,14.0,44.16,1.0,517.0,1.0
28,29,369.5,11.45,6.0,9.33,14.0,44.16,1.0,524.0,1.0
29,30,385.56,11.7,6.0,9.33,15.0,46.08,1.0,531.0,1.0
30,31,385.56,11.79,6.43,10.0,15.0,46.08,1.0,537.0,1.0
31,32,385.56,12.05,6.43,10.0,15.0,46.08,1.0,544.0,1.0
32,33,385.56,12.14,6.43,10.0,16.0,46.08,1.0,551.0,1.0
33,34,385.56,12.39,6.43,10.0,16.0,46.08,1.0,558.0,1.0
34,35,409.5,12.49,6.86,10.67,17.0,48.0,1.0,564.0,1.0
35,36,409.5,12.75,6.86,10.67,17.0,48.0,1.0,571.0,1.0
36,37,409.5,12.84,6.86,10.67,17.0,48.0,1.0,578.0,1.0
37,38,409.5,13.11,7.29,11.33,18.0,48.0,1.0,584.0,1.0
38,39,425.88,13.38,7.29,11.33,18.0,49.92,1.0,591.0,1.0
39,40,434.07,13.47,7.29,11.33,18.0,49.92,1.0,598.0,1.0
40,41,434.07,13.75,7.71,12.0,19.0,49.92,1.0,605.0,1.0
41,42,434.07,13.84,7.71,12.0,19.0,49.92,1.0,611.0,1.0
42,43,450.77,14.12,7.71,12.0,20.0,51.84,1.0,618.0,1.0
