,id,reward_gun_pool,equip_s_probability,draw_event_s_id,enemy_leader,if_stay,correction_belong,correction_turn,limit_guns,limit_equips,ai,ai_content,enemy_type_display,use_building,use_building_skill,team_confrontfun_pic,team_confrontfun_des,effect_ext,targettrain_cancollect,fight_type,type_coef
0,-2,,,0,900013,0,,,,,0,,,,,,,0,1,0,
1,-1,,,0,20005,0,,,,,0,,,,,,,0,1,0,
2,1,,,0,90001,0,,,,,0,,,,,,,0,0,0,
3,2,,,0,90001,0,,,45,,0,,,,,,,0,1,0,
4,3,"9,2,5,10,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
5,4,"9,2,5,10,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
6,5,"9,2,5,10",,0,20001,0,,,,,0,,,,,,,0,1,0,
7,6,"9,2,5,10,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
8,7,"9,2,5,10,92,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
9,8,"9,2,5,10,92,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
10,9,"9,2,5,10,92,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
11,10,"9,2,5,10,92,11",,0,20002,0,,,,,0,,,,,,,0,1,0,
12,11,"9,2,5,10,90,92,17,25,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
13,12,"9,2,5,10,90,92,17,25,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
14,13,"9,2,5,10,90,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
15,14,"9,2,5,10,90,92,17,25,11,14",,0,20004,0,,,,,0,,,,,,,0,1,0,
16,15,"9,2,5,10,90,91,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
17,16,"9,2,5,10,90,91,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
18,17,"9,2,5,10,90,91,92,17,25,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
19,18,"9,2,5,10,90,91,92,17,25,3,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
20,19,"9,2,5,10,90,91,92,17,25,3,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
21,20,"9,2,5,10,90,91,92,17,25,3,14",,0,20004,0,,,,,0,,,,,,,0,1,0,
22,21,"9,2,5,10,90,91,92,17,25,93,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
23,22,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
24,23,"9,2,5,10,90,91,92,17,25,93,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
25,24,"9,2,5,10,90,91,92,17,25,93,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
26,25,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
27,26,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
28,27,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,29,27,15",,557,90002,0,,,15,,0,,,,,,,0,1,0,
29,28,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
30,29,"9,2,5,10,90,91,92,17,25,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
31,30,"9,2,5,10,90,91,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
32,31,"9,2,5,10,90,91,92,17,25,3,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
33,32,"9,2,5,10,90,91,92,17,25,3,14",,0,20004,0,,,,,0,,,,,,,0,1,0,
34,33,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
35,34,"9,2,5,10,90,91,92,17,25,93,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
36,35,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
37,36,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,29,27",,0,20004,0,,,,,0,,,,,,,0,1,0,
38,37,"9,2,5,10,90,91,92,17,25,93,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
39,38,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
40,39,"9,2,5,10,90,91,92,17,25,93,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
41,40,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
42,41,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
43,42,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27",,0,20005,0,,,,,0,,,,,,,0,1,0,
44,43,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
45,44,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
46,45,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
47,46,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
48,47,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
49,48,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
50,49,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,1,15",,557,90003,0,,,15,,0,,,,,,,0,1,0,
51,50,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
52,51,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
53,52,"9,2,5,10,90,91,92,17,25,93,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
54,53,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27",,0,20003,0,,,,,0,,,,,,,0,1,0,
55,54,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
56,55,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
57,56,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
58,57,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
59,58,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18",,0,20004,0,,,,,0,,,,,,,0,1,0,
60,59,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
