,id,exp
0,1,0
1,2,300
2,3,900
3,4,1800
4,5,3000
5,6,4500
6,7,6300
7,8,8400
8,9,10800
9,10,13500
10,11,16500
11,12,19800
12,13,23400
13,14,27300
14,15,31500
15,16,36000
16,17,40800
17,18,45900
18,19,51400
19,20,57400
20,21,63900
21,22,71000
22,23,79000
23,24,88000
24,25,98000
25,26,109000
26,27,121200
27,28,134600
28,29,149300
29,30,165300
30,31,182800
31,32,201700
32,33,222200
33,34,244400
34,35,268300
35,36,294000
36,37,321600
37,38,351100
38,39,382700
39,40,416400
40,41,452300
41,42,490500
42,43,531000
43,44,574000
44,45,619500
45,46,667700
46,47,718600
47,48,772300
48,49,828900
49,50,888500
50,51,951200
51,52,1017100
52,53,1086300
53,54,1158900
54,55,1234900
55,56,1314500
56,57,1397800
57,58,1484800
58,59,1575700
59,60,1670600
60,61,1769600
61,62,1872700
62,63,1980100
63,64,2091900
64,65,2208200
65,66,2329100
66,67,2454700
67,68,2585100
68,69,2720400
69,70,2860800
70,71,3006300
71,72,3157100
72,73,3313200
73,74,3474800
74,75,3642000
75,76,3814900
76,77,3993600
77,78,4178300
78,79,4369000
79,80,4565900
80,81,4769100
81,82,4978700
82,83,5194800
83,84,5417600
84,85,5647200
85,86,5883700
86,87,6127200
87,88,6377800
88,89,6635700
89,90,6901000
90,91,7173800
91,92,7454200
92,93,7742400
93,94,8038500
94,95,8342600
95,96,8654900
96,97,8975500
97,98,9304500
98,99,9642000
99,100,9999000
