,id,fairy_id,fairy_lv,quality_lv,skill_lv,passive_skill,equip_id
0,1,2,1,1,1,910101,0
1,2,2,10,1,1,910101,0
2,3,2,20,1,2,910101,0
3,4,2,20,2,2,910101,0
4,5,1,1,1,1,910101,0
5,6,1,10,1,1,910101,0
6,7,3,20,1,2,910107,0
7,8,3,20,2,2,910107,0
8,9,15,10,1,1,910101,0
9,10,14,10,1,1,910101,0
10,11,15,15,1,2,910101,0
11,12,14,20,2,2,910101,0
12,13,9,5,1,1,910101,0
13,14,9,5,1,1,910101,0
14,15,9,10,1,2,910101,0
15,16,9,15,1,2,910101,0
16,17,9,20,2,2,910101,0
17,18,9,25,2,3,910101,0
18,19,16,30,2,3,910101,0
19,20,16,35,2,4,910101,0
20,21,16,40,3,4,910101,0
21,22,16,45,3,5,910101,0
22,23,1,20,2,2,910101,0
23,24,1,40,3,4,910101,0
24,25,9,40,3,4,910101,0
25,26,6,30,2,3,910101,0
26,27,17,30,2,3,910101,0
27,28,1,30,2,3,910101,0
28,29,2,30,2,3,910101,0
29,9001,9,45,3,5,910101,0
30,6000001,9,100,5,10,910101,0
31,6000002,90003,100,5,4,910101,0
32,6000003,11,100,5,10,910101,0
33,6000004,12,100,5,10,910101,0
