,id,type,motion_name,touch_area,hold_time,probability,voice,text,expression,face_motion,name,camera
0,101,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
1,102,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
2,103,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
3,104,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
4,105,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
5,106,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
6,107,1,motions/daiji_idle_01.mtn,0,0,1.00,,,,,,0
7,108,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
8,109,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
9,110,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
10,111,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
11,112,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
12,113,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
13,114,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
14,115,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
15,116,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
16,117,1,motions/daiji_idle_01.mtn,0,0,1.00,,,,,,0
17,118,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
18,119,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
19,120,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
20,121,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
21,122,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
22,123,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
23,124,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
24,125,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
25,126,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
26,127,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
27,128,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
28,129,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
29,130,2,motions/motou_01.mtn,0,"5,12",0.50,,,,,,0
30,131,2,motions/motou_03.mtn,0,"15,22",0.50,,,,,,0
31,132,3,motions/wait_01.mtn,head,0,1.00,,,,,,0
32,133,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
33,134,3,motions/wait_02.mtn,body,0,1.00,,,,,,0
34,135,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
35,136,2,motions/motou_02.mtn,0,"5,12",0.50,,,,,,0
36,137,2,motions/motou_01.mtn,0,"15,22",0.50,,,,,,0
37,138,3,motions/motou_03.mtn,head,0,1.00,,,,,,0
38,139,3,motions/wait_02.mtn,head,0,1.00,,,,,,0
39,140,3,motions/wait_01.mtn,body,0,1.00,,,,,,0
40,141,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
41,142,2,motions/motou_02.mtn,0,"5,12",0.50,,,,,,0
42,143,2,motions/motou_01.mtn,0,"15,22",0.50,,,,,,0
43,144,3,motions/motou_03.mtn,head,0,1.00,,,,,,0
44,145,3,motions/wait_02.mtn,head,0,1.00,,,,,,0
45,146,3,motions/wait_01.mtn,body,0,1.00,,,,,,0
46,147,1,motions/daiji_idle_01.mtn,0,0,1.00,,,,,,0
47,148,2,motions/motou_02.mtn,0,"5,12",0.50,,,,,,0
48,149,2,motions/motou_01.mtn,0,"15,22",0.50,,,,,,0
49,150,3,motions/motou_03.mtn,head,0,1.00,,,,,,0
50,151,3,motions/wait_02.mtn,head,0,1.00,,,,,,0
51,152,3,motions/wait_01.mtn,body,0,1.00,,,,,,0
