,id,fetter_id,type,value,point,name,description
0,101,1,collect,g:9,10,人形收集,收集{0}。
1,102,1,collect,g:167,10,人形收集,收集{0}。
2,103,1,collect,g:92,10,人形收集,收集{0}。
3,104,1,collect,g:7,10,人形收集,收集{0}。
4,105,1,collect,g:272,10,人形收集,收集{0}。
5,106,1,upgrade_lv,g:9;10,10,人形提升,将{0}提升至Lv.{1}。
6,107,1,upgrade_lv,g:167;10,10,人形提升,将{0}提升至Lv.{1}。
7,108,1,upgrade_lv,g:92;10,10,人形提升,将{0}提升至Lv.{1}。
8,109,1,upgrade_lv,g:7;10,10,人形提升,将{0}提升至Lv.{1}。
9,110,1,upgrade_lv,g:272;10,10,人形提升,将{0}提升至Lv.{1}。
10,111,1,upgrade_lv,g:9;30,15,人形提升,将{0}提升至Lv.{1}。
11,112,1,upgrade_lv,g:167;30,15,人形提升,将{0}提升至Lv.{1}。
12,113,1,upgrade_lv,g:92;30,15,人形提升,将{0}提升至Lv.{1}。
13,114,1,upgrade_lv,g:7;30,15,人形提升,将{0}提升至Lv.{1}。
14,115,1,upgrade_lv,g:272;30,15,人形提升,将{0}提升至Lv.{1}。
15,116,1,upgrade_lv,g:9;70,15,人形提升,将{0}提升至Lv.{1}。
16,117,1,upgrade_lv,g:167;70,15,人形提升,将{0}提升至Lv.{1}。
17,118,1,upgrade_lv,g:92;70,15,人形提升,将{0}提升至Lv.{1}。
18,119,1,upgrade_lv,g:7;70,15,人形提升,将{0}提升至Lv.{1}。
19,120,1,upgrade_lv,g:272;70,15,人形提升,将{0}提升至Lv.{1}。
20,121,1,upgrade_lv,g:9;90,20,人形提升,将{0}提升至Lv.{1}。
21,122,1,upgrade_lv,g:167;90,20,人形提升,将{0}提升至Lv.{1}。
22,123,1,upgrade_lv,g:92;90,20,人形提升,将{0}提升至Lv.{1}。
23,124,1,upgrade_lv,g:7;90,20,人形提升,将{0}提升至Lv.{1}。
24,125,1,upgrade_lv,g:272;90,20,人形提升,将{0}提升至Lv.{1}。
25,126,1,upgrade_lv,g:9;100,15,人形提升,将{0}提升至Lv.{1}。
26,127,1,upgrade_lv,g:167;100,15,人形提升,将{0}提升至Lv.{1}。
27,128,1,upgrade_lv,g:92;100,15,人形提升,将{0}提升至Lv.{1}。
28,129,1,upgrade_lv,g:7;100,15,人形提升,将{0}提升至Lv.{1}。
29,130,1,upgrade_lv,g:272;100,15,人形提升,将{0}提升至Lv.{1}。
30,131,1,upgrade_love,g:9;100,15,人形好感度提升,将{0}好感度提升至{1}。
31,132,1,upgrade_love,g:167;100,15,人形好感度提升,将{0}好感度提升至{1}。
32,133,1,upgrade_love,g:92;100,15,人形好感度提升,将{0}好感度提升至{1}。
33,134,1,upgrade_love,g:7;100,15,人形好感度提升,将{0}好感度提升至{1}。
34,135,1,upgrade_love,g:272;100,15,人形好感度提升,将{0}好感度提升至{1}。
35,136,1,upgrade_love,g:9;150,10,人形好感度提升,将{0}好感度提升至{1}。
36,137,1,upgrade_love,g:167;150,10,人形好感度提升,将{0}好感度提升至{1}。
37,138,1,upgrade_love,g:92;150,10,人形好感度提升,将{0}好感度提升至{1}。
38,139,1,upgrade_love,g:7;150,10,人形好感度提升,将{0}好感度提升至{1}。
39,140,1,upgrade_love,g:272;150,10,人形好感度提升,将{0}好感度提升至{1}。
40,141,1,marry,g:9,15,人形誓约,誓约{0}。
41,142,1,marry,g:167,15,人形誓约,誓约{0}。
42,143,1,marry,g:92,15,人形誓约,誓约{0}。
43,144,1,marry,g:7,15,人形誓约,誓约{0}。
44,145,1,marry,g:272,15,人形誓约,誓约{0}。
45,146,1,collect_skin,g:2410,30,皮肤收集,获得皮肤{0}
46,147,1,collect_skin,g:2705,30,皮肤收集,获得皮肤{0}
47,148,1,collect_skin,g:4306,30,皮肤收集,获得皮肤{0}
48,149,1,win,"g:9,167;1",5,人形实战,使用{0}参与{1}场战斗。
49,150,1,win,"g:167,92;1",5,人形实战,使用{0}参与{1}场战斗。
50,151,1,win,"g:92,7;1",5,人形实战,使用{0}参与{1}场战斗。
51,152,1,win,"g:7,272;1",5,人形实战,使用{0}参与{1}场战斗。
52,153,1,win,"g:9,272;1",5,人形实战,使用{0}参与{1}场战斗。
53,154,1,win,"g:9,92;1",5,人形实战,使用{0}参与{1}场战斗。
54,155,1,win,"g:167,7;1",5,人形实战,使用{0}参与{1}场战斗。
55,156,1,win,"g:92,272;1",5,人形实战,使用{0}参与{1}场战斗。
56,157,1,win,"g:9,7;1",5,人形实战,使用{0}参与{1}场战斗。
57,158,1,win,"g:167,272;1",5,人形实战,使用{0}参与{1}场战斗。
58,159,1,win,"g:9,167;5",5,人形实战,使用{0}参与{1}场战斗。
59,160,1,win,"g:167,92;5",5,人形实战,使用{0}参与{1}场战斗。
60,161,1,win,"g:92,7;5",5,人形实战,使用{0}参与{1}场战斗。
61,162,1,win,"g:7,272;5",5,人形实战,使用{0}参与{1}场战斗。
62,163,1,win,"g:9,272;5",5,人形实战,使用{0}参与{1}场战斗。
63,164,1,win,"g:9,92;5",5,人形实战,使用{0}参与{1}场战斗。
64,165,1,win,"g:167,7;5",5,人形实战,使用{0}参与{1}场战斗。
65,166,1,win,"g:92,272;5",5,人形实战,使用{0}参与{1}场战斗。
66,167,1,win,"g:9,7;5",5,人形实战,使用{0}参与{1}场战斗。
67,168,1,win,"g:167,272;5",5,人形实战,使用{0}参与{1}场战斗。
68,169,1,win,"g:9,167;10",10,人形实战,使用{0}参与{1}场战斗。
69,170,1,win,"g:167,92;10",10,人形实战,使用{0}参与{1}场战斗。
70,171,1,win,"g:92,7;10",10,人形实战,使用{0}参与{1}场战斗。
71,172,1,win,"g:7,272;10",10,人形实战,使用{0}参与{1}场战斗。
72,173,1,win,"g:9,272;10",10,人形实战,使用{0}参与{1}场战斗。
73,174,1,win,"g:9,92;10",10,人形实战,使用{0}参与{1}场战斗。
74,175,1,win,"g:167,7;10",10,人形实战,使用{0}参与{1}场战斗。
75,176,1,win,"g:92,272;10",10,人形实战,使用{0}参与{1}场战斗。
76,177,1,win,"g:9,7;10",10,人形实战,使用{0}参与{1}场战斗。
77,178,1,win,"g:167,272;10",10,人形实战,使用{0}参与{1}场战斗。
78,201,2,collect,g:36,10,人形收集,收集{0}。
79,202,2,collect,g:50,10,人形收集,收集{0}。
80,203,2,collect,g:48,10,人形收集,收集{0}。
81,204,2,collect,g:46,10,人形收集,收集{0}。
82,205,2,collect,g:39,10,人形收集,收集{0}。
83,206,2,upgrade_lv,g:36;10,10,人形提升,将{0}提升至Lv.{1}。
84,207,2,upgrade_lv,g:50;10,10,人形提升,将{0}提升至Lv.{1}。
85,208,2,upgrade_lv,g:48;10,10,人形提升,将{0}提升至Lv.{1}。
86,209,2,upgrade_lv,g:46;10,10,人形提升,将{0}提升至Lv.{1}。
87,210,2,upgrade_lv,g:39;10,10,人形提升,将{0}提升至Lv.{1}。
88,211,2,upgrade_lv,g:36;30,15,人形提升,将{0}提升至Lv.{1}。
89,212,2,upgrade_lv,g:50;30,15,人形提升,将{0}提升至Lv.{1}。
90,213,2,upgrade_lv,g:48;30,15,人形提升,将{0}提升至Lv.{1}。
91,214,2,upgrade_lv,g:46;30,15,人形提升,将{0}提升至Lv.{1}。
92,215,2,upgrade_lv,g:39;30,15,人形提升,将{0}提升至Lv.{1}。
93,216,2,upgrade_lv,g:36;70,15,人形提升,将{0}提升至Lv.{1}。
94,217,2,upgrade_lv,g:50;70,15,人形提升,将{0}提升至Lv.{1}。
95,218,2,upgrade_lv,g:48;70,15,人形提升,将{0}提升至Lv.{1}。
96,219,2,upgrade_lv,g:46;70,15,人形提升,将{0}提升至Lv.{1}。
