,id,transform_type,transform_number,transform_result_add,transform_result_delete
0,1,1,2,701,1
1,2,1,2,702,
2,3,2,1-94686,8,
3,4,2,2-94687,704,
4,5,2,0-94693,705,3
5,6,201,0-4040403-94703,715,
6,7,201,2-4040402-94697,704,
7,8,201,1-4040401-94700,705,
8,9,3,1-94706,704,
9,10,3,2-94707,705,
10,11,3,0-94714,706,
11,12,4,4040601,706,
12,13,5,5,,1
13,14,6,4040801,703,
14,15,7,4040901,703,
15,16,8,4041002,713,
16,1101801,4,510801,740,
17,1101901,2,1-76419,703,
18,1102201,4,6511104||6511108,737,
19,1102301,1,2,704,
20,1102401,9,6511301,711,
21,1102501,6,6510127,,705
22,1102601,4,6511502,,719
23,1102602,4,6511503,,716
24,1102603,1,5,719,
25,1102604,1,6,716,
26,1102605,1,7,712,
27,1102606,1,8,706,
28,1102901,4,511901,704,709
29,1103001,2,1-75963,703;719,
30,1103301,4,6512106||6512111,737,
31,1103401,1,3,704,
32,1103501,9,6512301,711,
33,1103601,4,6512502,,719
34,1103602,4,6512503,,716
35,1103603,4,6512504,,712
36,1103604,4,6512505,,706
37,1103605,1,5,719,
38,1103606,1,6,716,
39,1103607,1,7,712,
40,1103608,1,8,706,
41,1103901,4,512901,704,709
42,1104001,2,1-76191,703;719,
43,1104301,4,6513106||6513111,737,
44,1104401,1,3,704,
45,1104501,9,6513301,711,
46,1104601,4,6513502,,719
47,1104602,4,6513503,,716
48,1104603,4,6513504,,712
49,1104604,4,6513505,,706
50,1104605,1,5,719,
51,1104606,1,6,716,
52,1104607,1,7,712,
53,1104608,1,8,706,
