,id,function_name,turn_on,need_level,pre_mission,need_copper_medal,mall_id,max_cost_id,description
0,1,fairy,1,0,0,60,99007,9,妖精系统
1,2,equipDevelop,1,0,20,0,"18,19,20,99001","2,6",装备制造
2,3,spDevelop,1,0,0,30,,,人形重建
3,4,skillTraining,1,12,0,0,"16,17",10,技能训练
4,5,enhance,1,0,90004,0,,,装备强化
5,6,equipCalibration,1,0,90008,0,99002,,装备校准
6,10,mindupdateSwitch,1,60,0,0,99003,,心智升级
7,11,memoir,1,60,0,0,,,人形回忆录
8,12,cloudChartCorridor,1,60,0,0,,,云图回廊
9,13,SpecialEquipBuild,1,0,0,60,0,0,装备重型建造
10,14,CoffeeshopOpen,1,0,0,0,0,0,咖啡厅开启
11,15,Squad,1,0,80,0,"26,27,99004",,支援小队系统
12,16,Theater,1,30,0,0,,,战区系统
13,17,explore,1,20,0,0,,,探索
14,18,guild,0,20,0,0,,,公会
15,19,tutorial,1,0,0,0,,,格里芬手册
16,20,commander_uniform,1,0,0,0,,,指挥官换装系统
17,21,sangvis,1,0,70,0,"99005,99006",11,协议同归玩法
18,22,fetter,1,0,0,0,0,0,关系故事
19,23,targetTrain,1,12,0,0,0,0,靶机系统
20,24,org_map,1,0,0,0,0,0,组织架构地图
21,25,minigame_flight,0,0,6,0,0,0,小游戏飞行棋-70包开关
22,26,minigame_flight_ver1,1,0,6,0,0,0,小游戏飞行棋-71包开关
23,27,friend,1,0,6,0,0,0,好友系统
