,id,gun_action,is_cover,sorting,furiniture_action_interact,direction,bone_name,initial_angle,end_action,need_action,group
0,1,sit,0,0,,-1,,0,sit,,
1,2,sit,0,0,,0,,0,sit,,
2,3,sit,0,0,,1,,0,sit,,
3,4,sleep,0,0,,-1,,0,lying,,
4,5,sleep,0,0,,0,,0,lying,,
5,6,sleep,0,0,,1,,0,lying,,
6,7,sleep,-1,2,,1,,0,lying,,
7,8,sleep,-1,11,,1,,0,lying,,
8,11,"sleep,sit",-1,2,",lying",-1,,0,sit,,
9,12,sit,-1,9,,1,,0,sit,,
10,13,sleep,-1,9,,0,,0,lying,,
11,14,sit,-1,9,,0,,0,sit,,
12,15,sit,-1,20,,1,,0,sit,,
13,16,sit,-1,20,,0,,0,sit,,
14,17,wait,-1,9,,-1,,0,wait,,
15,18,sit,-1,11,,0,,0,sit,,
16,19,sit,-1,11,,1,,0,sit,,
17,20,sit,-1,9,,-1,,0,sit,,
18,21,hotspring,-1,11,",,,,action,action",0,,0,wait,,
19,22,hotspring,-1,11,,1,,0,wait,,
20,23,pick,-1,20,,-1,,0,wait,,
21,24,sleep,-1,2,,0,,0,lying,,
22,25,sleep,-1,19,,1,,0,lying,,
23,26,sit,-1,20,,-1,,0,sit,,
24,27,wait,-1,9,,0,,0,wait,,
25,28,wait,-1,10,,0,,0,wait,,
26,29,wait,-1,11,,0,,0,wait,,
27,30,wait,-1,12,,0,,0,wait,,
28,31,sit,0,20,",action",0,sitpoint,0,sit,,
29,32,wait,-1,10,action,-1,sitpoint,0,wait,,
30,33,wait,-1,21,,-1,,0,wait,,
31,34,sit,-1,18,move,1,sitpoint,0,sit,,
32,35,pick,-1,10,,0,,0,wait,,
33,36,wait,-1,9,,1,,0,wait,,
34,37,pick,-1,10,,1,,0,wait,,
35,38,wait,-1,21,,1,,0,wait,,
36,39,wait,-1,21,,0,,0,wait,,
37,40,wait,-1,31,,-1,,0,wait,,
38,41,sleep,-1,13,,1,,0,lying,,
39,42,sleep,-1,2,,0,,20,lying,,
40,43,sleep,-1,18,,-1,,0,lying,,
41,44,wait,-1,10,",action",0,,0,wait,,
42,45,sit,0,10,",action",1,,0,sit,,
43,46,sit,-1,10,,1,honeyF,0,sit,,
44,47,wait,-1,10,"action,action",0,point,0,wait,,
45,48,wait,-1,10,action,1,,0,wait,,
46,49,sleep,-1,15,,1,point,0,lying,,
47,50,sit,-1,10,"action,action",0,point,0,sit,,
48,51,sit,-1,50,,1,pointA,0,sit,,
49,52,sit,-1,30,,0,pointB,0,sit,,
50,53,hotspring,-1,11,",,,,action",0,,0,wait,,
51,54,wait,-1,0,action,0,point,0,wait,,
52,55,wait,-1,0,action,1,point,0,wait,,
53,56,wait,0,0,action,1,point,0,wait,,
54,57,wait,0,0,action,0,point,0,wait,,
55,58,wait,-1,20,",action",1,,0,wait,,
56,59,sit,-1,15,",action,",1,point,0,sit,,
57,60,wait,-1,20,",,action",0,,0,wait,,
58,61,wait,-1,10,",,,,action",-1,,0,wait,,
59,62,sit,-1,10,"action,",1,,0,sit,,
60,104,bird_sit,-1,21,,-1,,0,sit,,
61,105,bird_sit,-1,21,action,-1,,0,sit,,
62,401,kalina_write,-1,1,,1,,0,sit,,
63,402,kalina_type,-1,1,,1,,0,sit,,
64,403,isc_work,-1,20,,1,,0,sit,,
65,404,isc_work,-1,20,,0,,0,sit,,
66,1001,sp1,-1,9,,1,,0,wait,,
67,1002,sp1,-1,9,,0,,0,wait,,
68,82002,neet_sleep,-1,9,,-1,,0,lying,,
69,82009,sing,0,0,,1,,0,wait,,
70,82016,paly_drum,-1,5,,1,,0,wait,,
71,82019,ar15_wait,-1,9,,1,,0,wait,,
72,82020,hk416_wait,-1,9,,1,,0,wait,,
73,82021,sop_wait,-1,9,,1,,0,wait,,
74,82022,ump45_wait,-1,9,,1,,0,wait,,
75,82023,green_beverage,-1,5,,1,,0,wait,,
76,82037,concert_harp,-1,9,action,1,,0,wait,,
77,82043,ar15_2019wait,-1,9,,1,,0,wait,,
78,82047,sp_2019wait,-1,9,,1,,0,wait,,
79,82067,gunslinger_book,-1,10,action,0,,0,sit,,
80,82068,gunslinger_violin,-1,10,action,1,,0,wait,,
81,82069,volleyball_wait,-1,10,action,1,point,0,wait,,
82,82087,agent_wait,-1,0,",action",0,,0,wait,,
83,83104,taptap,0,0,,-1,,0,wait,,
84,83105,play,-1,11,",,,action",1,,0,sit,,
85,83108,wa2000_wait,-1,9,,1,,0,wait,,
86,83109,M1903_wait,-1,9,,1,,0,wait,,
87,83111,HK416_wait,-1,9,,1,,0,wait,,
88,83115,arteam_wait,-1,9,,1,,0,wait,,
89,83306,3306_swim,-1,9,",,,,,,,,,active",1,point,0,sit,,
90,83911,neet_sit,0,0,,0,,0,sit,,
91,85813,3306_swim,-1,9,",,,,,active",1,point,0,sit,,
92,85904,rock_roll,-1,9,,1,,0,wait,,
93,86204,idol_dance,-1,9,,1,,0,wait,,
94,86413,witch_dance,-1,9,,-1,,0,wait,,
95,86603,eat_lover,-1,5,,-1,,0,wait,,
96,86811,concert_d,-1,9,,-1,,0,wait,,
97,86814,concert_l,-1,9,,-1,,0,wait,,
98,86906,anna_sit,-1,11,,1,,0,action2,,
99,87109,children_sit,-1,9,,1,,0,sit,,
100,87111,kalina_saler,-1,9,,-1,,0,wait,,
101,87202,Boxer_sp,-1,9,action1,1,,0,wait,,
102,87211,hotspring,-1,11,,0,,0,wait,,
103,87215,9A91_wait_jp,-1,9,action1,1,,0,wait,,
104,87225,plane_sit,-1,10,"action,action",0,point,0,wait,,
105,87303,3306_swim,-1,9,",,,,,,,,active",1,point,0,sit,,
106,87311,3306_swim,-1,9,",,,active",1,point,0,sit,,
107,87405,sleep,-1,0,wait,0,point,0,lying,,
108,87413,sp_architecter,-1,9,action1,0,,0,wait,,
109,87507,naughtykid,-1,9,,1,,0,wait,,
110,87509,zhiba_wait,-1,21,",,,,,action1,action1,,,,,,,",-1,,0,wait,,
111,87603,sleep,-1,9,",action",0,,0,lying,,
112,87605,hallo19_wait,-1,9,"action,",1,,0,wait,,
113,87610,wait,-1,9,action,-1,,0,wait,,
114,87612,sit,-1,16,",,action,action",1,,0,sit,,
115,87613,sit,-1,21,",action,",-1,,0,sit,,
116,88208,nieWV_wait,-1,9,,-1,,0,wait,,
117,88604,3306_swim,-1,0,",,,,,,active",1,point,0,wait,,
118,88609,fishman_dog,-1,10,,1,,0,wait,,
119,89913,eat_dog,-1,10,,0,,0,wait,,
120,819191,chess,-1,9,,1,,0,sit,,
121,819192,chess,-1,9,,0,,0,sit,,
122,820321,wv_sit,-1,9,,1,,0,sit,,
123,820322,wv_sit,-1,9,,0,,0,sit,,
124,840064,squad_stand,-1,5,,1,,0,wait,,
125,850102,russian_sit,0,0,,-1,,0,sit,,
126,850503,wedding_talk,-1,0,,-1,,0,wait,,
127,850901,2018_summer,-1,9,,0,,0,wait,,
128,858131,sleep,-1,23,",,,,,,wait",1,lyingpoint,0,lying,,
129,859041,rock_roll,-1,9,,0,,0,wait,,
130,859042,rock_roll,-1,9,,-1,,0,wait,,
131,859043,pet_rock,-1,9,,-1,,0,59_rock_roll,,
132,859044,rock_roll_aud,-1,11,,1,,0,wait,,
133,859045,rock_roll_aud,-1,11,,0,,0,wait,,
134,859091,drink_eat,-1,5,,1,,0,wait,,
135,859092,drink_eat,-1,5,,0,,0,wait,,
136,867051,bonfire_sit,-1,9,,1,,0,sit2,,
137,867052,bonfire_sit,-1,9,,0,,0,sit2,,
138,868121,concert_v,-1,9,",action1",1,,0,sit,,
139,868122,concert_v,-1,9,,1,,0,sit,,
140,868131,concert_c,-1,9,",action1",0,,0,sit,,
141,868132,concert_h,-1,9,action1,0,,0,sit,,
142,872011,Stepmania_sps,-1,21,action1,1,point1,0,wait,,
143,872012,Stepmania_spq,-1,9,action2,1,point2,0,wait,,
144,872101,ar15_20sit,-1,1,,1,,0,sit,,
145,872102,M4_20sit,-1,1,,1,,0,sit,,
146,872103,SOP_20sit,-1,1,,0,,0,sit,,
147,872104,M16_20sit,-1,1,,0,,0,sit,,
148,872181,aa12_wait,-1,10,"action1,action1",-1,point,0,wait,,
149,872182,other_wait,-1,10,"action2,action2",-1,point,0,wait,,
150,872191,sangvis_die,-1,10,action,1,point,0,wait,,
151,876091,wait,-1,21,",,action,action2",-1,,0,wait,,
152,876092,wait,-1,9,",,,action",-1,,0,wait,,
153,876141,wait,-1,9,",,action",-1,,0,wait,,
154,876142,sleep,-1,9,",,action",0,,0,lying,,
155,891121,wall_zombie1,-1,0,,1,,0,wait,,
156,891122,wall_zombie2,-1,0,,1,,0,wait,,
157,897051,wait,-1,25,",,action,action,",1,point,0,wait,,
158,897052,wait,-1,15,",,,,action,action,",0,point2,0,wait,,
