,parameter_name,parameter_type,parameter_value,client_require
0,accelerate_build,float,0.333,1
1,accelerate_write,string,505:300;506:7500,1
2,achievement_type_sort,string,"1:35023,2:35024,3:1420,4:35025,5:35026,6:35027,7:35028,8:35029,9:1421,10:35030,11:35031,12:35032,13:35049,14:35050,15:35080,16:35107,100:35041,17:35122",1
3,activity_rank_begin_showtime,int,0,1
4,activity_rank_end_showtime,int,1602727200,1
5,activity_rank_id,int,8,1
6,activity_rank_mission_id,int,10520,1
7,additional_range,float,2,1
8,aeo_coef,float,1,1
9,ally_team_hp_remain,string,"5,0.05,1,0.2,0.8",1
10,america_reset_first_pay_time,int,-1,1
11,anniversary_guns_avg_switch,int,0,1
12,anti_indulgence_heart_beat_rate,int,300,1
13,anti_indulgence_heart_beat_reset_time,int,420,1
14,anti_indulgence_legal_holidays,string,"0101,0102,0103,0211,0212,0213,0214,0215,0216,0217,0403,0404,0405,0501,0502,0503,0504,0505,0612,0613,0614,0919,0920,0921,1001,1002,1003,1004,1005,1006,1007",1
15,armor_basic,string,"2,0.161,100",1
16,armor_basic_after100,string,"13.979,0.04,100",1
17,armor_piercing_harm,int,2,1
18,assist_armor_piercing_coef,int,100,1
19,assist_damage_efficien,int,48,1
20,atk_divide_def_range,string,"0.5,2",1
21,attack_effect_mg,string,"7,1.5,4,200,23,8,3",1
22,attack_effect_normal,string,"5,1.5,23,8,50,3",1
23,attack_effect_sg,string,"6,1.5,23,8,50,3,3,1.5,0.5",1
24,auto_formation_sangvis_effect_M,string,"2300,61,1661,253,126,7,4,2,2",1
25,auto_mission_exp,int,50,1
26,auto_mission_times,string,"3,5",1
27,avg_auto_play_speed,string,"6,1",1
28,avg_type_speed,string,"1,4",1
29,basic_equip_exp,string,"2:50,3:100,4:175,5:300",1
30,battle_member_zoom_switch,int,2,1
31,battle_spine_mainframe_work,int,1,1
32,battle_subtitle_switch,int,1,1
33,blacklist_limit,int,50,1
34,black_card _available,int,1,1
35,bp_buy_limit,int,10,1
36,break_overflow,int,10,1
37,build_coin_max,int,9999,1
38,capsule_overflow_threthod,int,10,1
39,cd_reduction_limit,int,30,1
40,chat_censorship_switch,int,1,1
41,chat_refresh_rate,int,5,1
42,chs_reset_first_pay_time,int,1531368000,1
43,clickCount,int,300,1
44,clickLimit,int,5,1
45,Coin_Convert_propotion,int,1,1
46,collect_target_num,int,35,1
47,collect_target_switch,int,1,1
48,commander_emoji_default,int,1,1
49,commander_mall_limit,int,10,1
50,commander_uniform_default,string,"1010:,1020:,1030:,1040:,1050:",1
51,damage_efficien,int,12,1
52,damag_ereduce_coef,float,1,1
53,datacell_change_unit_time,int,28800,1
54,data_dungeon_enemy_1,int,111111,1
55,data_dungeon_enemy_2,int,111111,1
56,data_dungeon_enemy_3,int,111111,1
57,DefenseDrill_JumpPoint,int,90,1
58,deffence_effect,string,"1,35,4.2,100,3.2,1",1
59,def_break_efficien,int,14,1
60,def_break_value,int,187,1
61,dodge_basic,string,"5,100",1
62,dodge_grow,string,"0.303,100,100,0",1
63,dodge_grow_after100,string,"0.075,100,100,22.572",1
64,dormitory_score_basic,int,2500,1
65,dorm_build_coin_range_time,string,"11,12,13|17,18,19|22,23,24",1
66,dorm_carpet_size,string,"35,14",1
67,dorm_floor_size,string,"35,14",1
68,dorm_furniture_position_init,string,"201:18|4,202:3|6,203:10|6,204:0|0,205:10|0,206:6|6,207:0|0",1
69,dorm_material_coefficients,string,"80,10,0.1,60000,0.2,1.7,0.08,4.58,0.05,0,235001,7.4,0.05",1
70,dorm_score_init,int,3200,1
71,dorm_visitor_limit,int,10,1
72,dorm_visit_prize,int,71,1
73,dorm_visit_prize_limit,int,10,1
74,dorm_wall_size,string,"35,23",1
75,download_on,int,10,1
76,draw_event_show,string,"19,20",1
77,duplicate1_giftitem200001,string,1101:8;1102:32;1103:96,1
78,duplicate1_item46,string,1104:8;1105:32;1106:96,1
79,duplicate2_win_item9,string,1-2-3,1
80,duplicate5_win_item45,string,8-20-30,1
81,duplicate_open_time,string,"1:1,2,3,4,5,6,0|2:1,2,3,4,5,6,0|3:1,2,3,4,5,6,0|101:1,2,3,4,5,6,0|5:1,2,3,4,5,6,0",1
82,enemy_color,string,"0.5,0.75,1",1
83,enemy_effect_attack,string,"22,50,35,2,0.85",1
84,enemy_effect_defence,string,"0.25,35,600,100,1200",1
85,enemy_quickmove_maplimit,int,3600,1
86,equipgroup_isshow,int,1,1
87,equip_attr,string,"pow,hit,dodge,speed,rate,critical_harm_rate,critical_percent,armor_piercing,armor,shield,damage_amplify,damage_reduction,night_view_percent,bullet_number_up",1
88,equip_enhance_switch,int,1,1
89,equip_exp_rate,string,"2:0.8,3:1,4:2,5:4",1
90,equip_intensive_exp,int,100,1
91,equip_level_limit,string,"20-1,50-2,80-3",1
92,equip_lv_limit,int,10,1
93,equip_rank_level_limit,string,"20-2,30-3,45-4,60-5",1
94,equip_recover_supplies,string,"200,200,200,200;100,100,100,100;120,120,120,120;140,140,140,140;160,160,160,160",1
95,equip_rectify_switch,int,1,1
96,equip_strengthen_unlock_mission,int,90004,1
97,equip_type_count,string,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",1
98,equip_type_produce_cost_item,int,517,1
99,equip_type_produce_limit,int,20,1
100,establish_switch,int,1,1
101,event_boss_kill_time,int,8,1
102,event_story_campaign,string,"-1;-2,-3,-4,-5;",1
103,exchange_rate,float,1,1
104,exclude_skins,string,0,1
105,explore_daynight_time,string,"6,18",1
106,explore_items,string,"1:4001,4002,4003,4004|2:4001,4002,4003,4004|3:6001,6004,6007|4:6002,6003,6005,6006,6008,6009,6010,6011,6012,6013",1
107,explore_mall_limit,int,50,1
108,explore_time_span,int,10800,1
109,fairy_armor_grow,string,"5,0.05,100,100",1
110,fairy_buff_ratio,float,0.1,1
111,fairy_critical_harm_rate_grow,string,"10,0.101,100,100",1
112,fairy_dodge_grow,string,"20,0.202,100,100",1
113,fairy_exp_simulation,Int,1,1
114,fairy_hit_grow,string,"25,0.252,100,100",1
115,fairy_image_type,string,"1:1,2;2:3,4;3:5",1
116,fairy_pow_grow,string,"7,0.076,100,100",1
117,fairy_quality_exp_M,string,"1,0.1",1
118,fairy_quality_exp_N,string,"1.5,1",1
119,fairy_quality_need_level,string,"1:1,2:20,3:40,4:70,5:100",1
120,fairy_rectify_cost,string,"600,600,600,200,60",1
121,fairy_switch,int,1,1
122,favor_attribute_0_9,float,-0.05,1
123,favor_attribute_10_89,float,0,1
124,favor_attribute_140,float,0.1,1
125,favor_attribute_190,float,0.15,1
126,favor_attribute_90_139,float,0.05,1
127,favor_click,int,2500,1
128,favor_enemy_boss,int,2,1
129,favor_enemy_common,int,1,1
130,favor_fight_active_m,int,2,1
131,favor_fight_byboss_die,int,0,1
132,favor_fight_byboss_notdie,int,0,1
133,favor_fight_bynotboss_die,int,100000,1
134,favor_fight_bynotboss_notdie,int,50000,1
135,favor_fight_mvp,float,0.7,1
136,favor_fight_no_mvp,float,0,1
137,favor_furniture_basic,int,8,1
138,favor_init,int,500000,1
139,favor_mindupdate_toplimit,int,2000000,1
140,favor_soulbind_toplimit,int,1500000,1
141,favor_team_leader,int,1,1
142,favor_team_member_less50,int,1,1
143,favor_team_member_more50,float,0.3,1
144,favor_toplimit,int,1000000,1
145,fix_cost_damage,string,"0.5,1,10,0.7,40",1
146,fix_cost_normal,string,"0.5,1,10",1
147,fix_cost_sangvis,int,10,1
148,fix_cost_sangvis2,string,"10,0.7,20",1
149,fix_cost_squad1,string,20;1200,1
150,fix_cost_squad2,string,900;900;0.7;3600,1
151,fix_time_damage,string,"20,5,400,35000,0.7,150",1
152,fix_time_normal,string,"20,40",1
153,fix_time_sangvis,string,"10800,0",1
154,fix_time_sangvis2,string,"30000,0.7,36000,0,30",1
155,fix_time_squad_HP,string,960;960;0.7;1440;5400,1
156,fix_time_squad_noHP,string,20;1440;3600,1
157,force_open_mission,string,10160,1
158,foreign_switch,string,"0,0,0",1
159,friends_coefficients,string,"10,10",1
160,friend_cosmetic_filter_type,string,"1:1554,Activity;2:1555,Griffin;3:1556,Sangvis;4:1558,Skin;5:1559,Original;6:1560,Live2D;7:1561,Hot;8:1562,Rare;9:1563,New",1
161,friend_itemstore_switch,int,0,1
162,friend_limit,int,100,1
163,friend_supported_prize,int,72,1
164,friend_support_prize,int,70,1
165,furniture_coin_toplimit,int,300000,1
166,gasha_commonPool,int,1,1
167,gasha_rates_provision,string,"1:170002,2:170003,3:170004,4:170005",1
168,giftbag_limit,int,10,1
169,gizp_output,int,1,1
170,guild_application_check_limit,int,100,1
171,guild_application_limit,int,10,1
172,guild_change_name_cost,int,300,1
173,guild_create_cost,string,"1000,1000,1000,1000",1
174,guild_furniture_donate_rate,string,"5:42-10,4:43-8,3:44-6,2:45-4",1
175,guild_furniture_score_rate,string,"5:10,4:8,3:6,2:4",1
176,guild_impeach_last_time,int,72,1
177,guild_impeach_limit,int,15,1
178,guild_invite_check_limit,int,10,1
179,guild_invite_last_time,int,86400,1
180,guild_invite_limit,int,100,1
181,guild_max_contribution_week,int,1000,1
182,guild_name_change_gem,int,500,1
183,guild_quit_cd,int,86400,1
184,gun_disassembly,string,"1-0,2-0,3-1,4-3,5-5,6-10",1
185,gun_grow_M,string,"100,300,50,50",1
186,gun_grow_N,float,1.2,1
187,gun_max_level,string,"100,110,115,120",1
188,gun_mindupdate_indexs,int,20000,1
189,gun_preset_max,int,6,1
190,gun_recover_core,string,"1:15,2:1,3:3,4:9,5:15",1
191,gun_tag_like_color,int,2,1
192,gun_tag_like_limit,int,10,1
193,hg_effect_grow,string,"0.75,0.25",1
194,hit_basic,string,"5,100",1
195,hit_grow,string,"0.303,100,100,0",1
196,hit_grow_after100,string,"0.075,100,100,22.572",1
197,hostage_power_rate,float,0.15,1
198,illustration_skin_switch,int,0,1
199,item_recover_info_603,string,603:6:2:1,1
200,jp_reset_first_pay_time,int,-1,1
201,kalina_favor_click,int,5,1
202,kalina_favor_n,int,5,1
203,kr_reset_first_pay_time,int,1531463400,1
204,life_basic,string,"55,0.555,100",1
205,life_basic_after100,string,"96.283,0.138,100",1
206,limited_pool,string,"6:1,5:4,4:18,3:27",1
207,live_efficien,float,0.5,1
208,mall_special_daily_quota_switch,int,1,1
209,mapcamera_enemyhub_viewsize,float,0,1
210,mapcamera_hub_scale_range,string,"5,20",1
211,max_attack_rate,int,120,1
212,max_fairy,int,300,1
213,max_gun_exp,string,"3263300,5263300,10083300,30283300",1
214,max_research_slot,int,4,1
215,max_sangvis,int,500,1
216,max_sangvis_exp,int,3255500,1
217,medal_on_card,int,3,1
218,medal_switch,int,1,1
219,Memory_pieces_max,int,9999,1
220,messagelist_refresh_rate,int,10,1
221,message_content_limit,int,200,1
222,message_frequency,int,3,1
223,message_limit,int,50,1
224,message_storage_time,int,60,1
225,message_times,int,1,1
226,mica_bind_date,string,2013-11-02 00:00:00;2013-10-30 10:00:00,1
227,mindupdate_condition,string,"1-100-1000000,2-110-1000000,3-115-1000000",1
228,mindupdate_exp_double,float,2,1
229,min_attack_rate,int,15,1
230,min_attribute,string,"pow:0,hit:1,dodge:0,speed:0,rate:1,critical_harm_rate:0,critical_percent:0,armor_piercing:0,armor:0,def:0,defBreak:0",1
231,min_hit,int,1,1
232,mission_event_opentime_white_list,string,,1
233,mission_group_reset_draw_max,string,"1,100000;2,100000;3,100000;4,100000;5,100000;6,100000;7,100000;8,100000;9,100000;10,100000;11,100000;12,100000;13,100000",1
234,mission_group_reset_draw_max_client,string,"1,0;2,0;3,0;4,100000;5,100000;6,100000;7,0;8,100000;9,100000;10,100000;11,100000;12,100000;13,100000",1
235,mission_key_enough_open,string,"11003,11004,11005,11006,11007,11008,11009,11010",1
236,motherbase_bombing_switch,int,10890,1
237,naive_build_gun_formula,string,,1
238,naive_damage_switch,string,0;1,1
239,night_ai_weight,string,"1:40,2:30,3:8,4:8,5:1",1
240,night_friend_team_condition,string,"0,0",1
241,night_hand_gun_range,int,1,1
242,night_hit_debuff,float,-0.9,1
243,night_radar_range,int,2,1
244,normal_combat_campaign_isopen,int,1,1
245,normal_develop_gun_balance_para,int,100,1
246,normal_develop_type_T,string,"1,1,1,1,1.5",1
247,not_certified_user,int,10800,1
248,offset_fairy_id,int,1000,1
249,offset_gun_id,int,1000,1
250,pay_value,float,1,1
251,permanent_pool,string,"6:1,5:4,4:18,3:27",1
252,pet_decorate_limit,int,3000,1
253,plan_mode_limit,int,40,1
254,plan_mode_off,int,0,1
255,plan_mode_permit_array,string,"1:2,2:2,0:0,1:0,1:1,1:3,2:0,2:1,2:3,3:0,3:1,3:3,4:0,4:1,4:3,5:0,5:1,5:3,6:0,6:1,6:3,7:0,7:1,8:0,8:1,9:0,9:1,10:0,10:1",1
256,potential_energy_recover_max,int,12,1
257,power_basic,string,"16,100",1
258,power_grow,string,"0.242,100,100,0",1
259,power_grow_after100,string,"0.06,100,100,18.018",1
260,precise_coef,float,8,1
261,precise_min,float,0.4,1
262,property_rate,string,"0.01,1,1,0.01,1,1",1
263,quick_auto_mission_item,int,525,1
264,quick_auto_mission_num,string,60:1;120:2;9999:3,1
265,random_get_a,float,0.4,1
266,random_get_b,float,0.045,1
267,random_get_c,int,32,1
268,ranking_onlist_number,int,20000,1
269,rank_hunting_switch,int,1,1
270,rank_switch,int,1,1
271,rate_basic,string,"45,100",1
272,rate_grow,string,"0.181,100,100,0",1
273,rate_grow_after100,string,"0.022,100,100,15.741",1
274,rate_limit,string,"120,120,120,120,1000,60",1
275,recharge_img,string,"recharge_20180330.png,934d99ca5ea269c0_draw_210630001.png",1
276,rectify_cost,string,"100,100,100,30,15",1
277,rectify_pre_mission,int,90008,1
278,rectify_voucher_cost,string,"1-5,2-10",1
279,reload_coef1,int,1500,1
280,reload_coef2,int,300,1
281,rename_control,int,1,1
282,ricochet_coef,float,1,1
283,room_decorate_limit,int,10000,1
284,same_equip_exp_rate,int,3,1
285,same_furniture_limit,string,299:3,1
286,sangvis_accelerate_chip_dev,int,333,1
287,sangvis_advance_skill_effect,string,"15,2",1
288,sangvis_ap,string,1,1
289,sangvis_assist_attack_cost,string,"2,1",1
290,sangvis_assist_exp_M,int,10,1
291,sangvis_assist_grade,string,"1,0.8",1
292,sangvis_attack_cost,string,"2,1",1
293,sangvis_attack_effect,string,"5,0.01,23,8,50,3",1
294,sangvis_base_lv,int,40,1
295,sangvis_battle_exp_damping,string,"10,5",1
296,sangvis_battle_exp_M,int,100,1
297,sangvis_boss_memberlocation_chip_type,string,"1,2,3",1
298,sangvis_boss_memberlocation_switch_ap_add,int,1,1
299,sangvis_boss_memberlocation_switch_formation_effect,int,0,1
300,sangvis_boss_memberlocation_switch_skill1 ,int,1,1
301,sangvis_boss_memberlocation_switch_skill2,string,"1,2,3",1
302,sangvis_boss_memberlocation_switch_skill3,int,1,1
303,sangvis_boss_memberlocation_switch_skill_advance,int,1,1
304,sangvis_buildingatk_exp_M,string,"10,3",1
305,sangvis_commander_location_type,string,"1,2,3",1
306,sangvis_cost_mp,int,2,1
307,sangvis_cost_res,string,"10,10,1,1",1
308,sangvis_deffence_effect,string,"1,35,2.6,200,1.6,1",1
309,sangvis_display_emoji,string,"Emoji_1711,Emoji_1603,Emoji_1727,Emoji_1705,Emoji_1715,Emoji_1764,Emoji_1750,Emoji__1601,Emoji_1765;Emoji__0502,Emoji__1203,Emoji__1304,Emoji_0403,Emoji_1740,Emoji_1720,Emoji_1752,Emoji_1744;Emoji_1738,Emoji_1737,Emoji_1735,Emoji_1746,Emoji_1723,Emoji_1707,Emoji_1708,Emoji_1709,Emoji__1503;Emoji_9002,Emoji_0201,Emoji__1506,Emoji__1504,Emoji__0511,Emoji_1702,Emoji_1733;Emoji_1715,Emoji_1713,Emoji__1302,Emoji_1720,Emoji__1602,Emoji_1752,Emoji__0502;Emoji_9001,Emoji_1710,Emoji_0201,Emoji_1721,Emoji_0203,Emoji_0405;Emoji_9001,Emoji_1710,Emoji_0202,Emoji_1751",1
310,sangvis_display_teams,string,"9701,9702,9703;9101,9102,9201,9202,9301,9302,9401,9402,9501,9502,9601,9602;9001;3",1
311,sangvis_effect_coef,string,"1,1,1",1
312,sangvis_first_content,string,"1001:1,2003:1,3001:1,3005:1",1
313,sangvis_forces,string,"0:Others,1:Sangvis,2:KCCO,3:Paradeus",1
314,sangvis_hiringteam_battle_defeat_awardradio,int,-10,1
315,sangvis_hiringteam_battle_lesstime_awardradio_1,int,10,1
316,sangvis_hiringteam_battle_lesstime_awardradio_2,int,20,1
317,sangvis_hiringteam_battle_moretime_awardradio,int,0,1
318,sangvis_hiringteam_extra_ratio,int,300,1
319,sangvis_hiringteam_extra_time,string,"1:1,4,0|2:2,5,0|3:3,6,0",1
320,sangvis_is_nonboss_adjutant,int,1,1
321,sangvis_lv_max,int,100,1
322,sangvis_mall_limit,int,10,1
323,sangvis_max_teamlot,string,9,1
324,sangvis_mission_attack_cost,string,"2,1",1
325,sangvis_mission_standby_cost,string,"0,1",1
326,sangvis_rate_limit,int,150,1
327,sangvis_shape_val,string,"1:100,2:102,3:105,4:108,5:110,0:100",1
328,sangvis_skill1_effect,string,"35,5",1
329,sangvis_skill2_effect,string,"15,2",1
330,sangvis_strategy_unlocklv,string,"3,4",1
331,sangvis_talent_skill_effect,string,"15,2",1
332,sangvis_teammember_location_type,string,"2,3",1
333,sangvis_team_cost,int,36,1
334,server_time_switch,int,0,1
335,seven_attendance_duration,int,14,1
336,seven_spendpoint_duration,int,14,1
337,sg_reload_time,string,"0.5,1.5",1
338,sg_target_num,int,3,1
339,share_global_switch,int,1,1
340,share_qrcode_switch ,int,1,1
341,show_additional_index,int,1,1
342,show_fairy_additional_index,int,1,1
343,simple_battle_switch,string,1,1
344,sim_energy_recover_max,int,12,1
345,skill2_effect,string,"15,2",1
346,skill_cd_reduction_limit,int,30,1
347,skill_effect,string,"35,5",1
348,skill_efficien1,int,120,1
349,skill_efficien2,int,120,1
350,skill_lv_efficien1,int,30,1
351,skill_lv_efficien2,int,30,1
352,skin_type_txt,string,"1:31899,LUNAR NEW YEAR;2:31900,NEW YEAR;3:31901,WHITEDAY;4:31902,ANNVERSARY;5:31903,CHILDREN'S DAY;6:31904,SWIMSUIT;7:31905,HALLOWEEN;8:31906,CHRISTMAS;9:31907,OTHERS;10:31915,NPC;11:31916,Collaboration",1
353,soulbind_global_switch,int,1,1
354,soul_bond_time_range,string,"2016-09-23 00:00:00,2018-05-03 23:59:59",1
355,spare_dorm_decoration,string,"207:0|0,204:0|0",1
356,special_develop_guarantee,string,"10000,3",1
357,special_develop_gun,string,"100,1",1
358,special_develop_input,string,"1:3,20:5,50:10",1
