,id,group,emoji_code,is_locked,prize,is_hide
0,1,1,WeChatEmoji_hi,0,,0
1,2,1,WeChatEmoji_yes,0,,0
2,3,1,WeChatEmoji_no,0,,0
3,4,1,WeChatEmoji_yiwen,0,,0
4,5,1,WeChatEmoji_fue,0,,0
5,6,1,WeChatEmoji_happy,0,,0
6,7,1,WeChatEmoji_Cry,0,,0
7,8,1,WeChatEmoji_drinktea,0,,0
8,9,1,WeChatEmoji_black,0,,0
9,10,1,WeChatEmoji_Kun,0,,0
10,11,1,WeChatEmoji_linshi,0,,0
11,12,1,WeChatEmoji_shengqi,0,,0
12,13,1,WeChatEmoji_weiguan,0,,0
13,14,1,WeChatEmoji_xiaoqian,0,,0
14,15,1,WeChatEmoji_yaozuanshi,0,,0
15,16,1,WeChatEmoji_zaijian,0,,0
