,lv,exp
0,1,100
1,2,200
2,3,300
3,4,400
4,5,500
5,6,600
6,7,700
7,8,800
8,9,900
9,10,1000
10,11,1100
11,12,1200
12,13,1300
13,14,1400
14,15,1500
15,16,1600
16,17,1700
17,18,1800
18,19,1900
19,20,2000
20,21,2100
21,22,2200
22,23,2300
23,24,2400
24,25,2500
25,26,2600
26,27,2800
27,28,3100
28,29,3400
29,30,4200
30,31,4600
31,32,5000
32,33,5400
33,34,5800
34,35,6300
35,36,6700
36,37,7200
37,38,7700
38,39,8200
39,40,8800
40,41,9300
41,42,9900
42,43,10500
43,44,11100
44,45,11800
45,46,12500
46,47,13100
47,48,13900
48,49,14600
49,50,15400
50,51,16100
51,52,16900
52,53,17800
53,54,18600
54,55,19500
55,56,20400
56,57,21300
57,58,22300
58,59,23300
59,60,24300
60,61,25300
61,62,26300
62,63,27400
63,64,28500
64,65,29600
65,66,30800
66,67,32000
67,68,33200
68,69,34400
69,70,45100
70,71,46800
71,72,48600
72,73,50400
73,74,52200
74,75,54000
75,76,55900
76,77,57900
77,78,59800
78,79,61800
79,80,63900
80,81,66000
81,82,68100
82,83,70300
83,84,72600
84,85,74800
85,86,77100
86,87,79500
87,88,81900
88,89,84300
89,90,112600
90,91,116100
91,92,119500
92,93,123100
93,94,126700
94,95,130400
95,96,134100
96,97,137900
97,98,141800
98,99,145700
99,100,100000
100,101,120000
101,102,140000
102,103,160000
103,104,180000
104,105,200000
105,106,220000
106,107,240000
107,108,280000
108,109,360000
109,110,480000
110,111,640000
111,112,900000
112,113,1200000
113,114,1600000
114,115,2200000
115,116,3000000
116,117,4000000
117,118,5000000
118,119,6000000
119,120,0
