,id,gun_id,gun_level,location,position,life,pow,hit,dodge,rate,skill1,skill2,number,equip1,equip2,equip3,skin,eat_lv,if_modification
0,1,26,90,1,14,795,16,10,53,24,9,0,5,56,57,58,0,90,0
1,2,72,90,2,9,500,28,38,35,23,9,0,5,59,60,61,0,90,0
2,3,50,90,3,7,380,81,62,31,11,9,0,5,62,63,64,0,90,0
3,4,16,90,4,13,1130,18,9,43,23,9,0,5,65,66,67,0,90,0
4,5,13,90,5,8,300,17,36,62,17,9,0,5,68,69,70,0,90,0
5,6,152,93,1,18,1220,19,9,8,7,9,0,5,101,102,103,0,93,0
6,7,16,93,2,19,1150,18,10,45,24,9,0,5,104,105,106,0,93,0
7,8,75,93,3,8,760,58,26,27,35,9,0,5,107,108,109,0,93,0
8,9,85,93,4,7,915,56,17,19,24,9,0,5,110,111,112,0,93,0
9,10,99,93,5,13,385,17,43,53,18,9,0,5,113,114,115,0,93,0
10,11,161,97,1,18,1300,19,10,11,8,9,0,5,161,162,163,0,97,0
11,12,99,97,2,13,390,17,45,55,19,9,0,5,164,165,166,0,97,0
12,13,89,97,3,8,855,56,27,24,32,9,0,5,167,168,169,0,97,0
13,14,85,97,4,7,935,58,18,20,25,9,0,5,170,171,172,0,97,0
14,15,109,97,5,9,975,51,23,23,36,9,0,5,173,174,175,0,97,0
15,16,156,100,1,17,1210,18,12,16,10,10,0,5,176,177,178,0,100,0
16,17,151,100,2,19,1375,25,10,10,7,10,0,5,179,180,181,0,100,0
17,18,77,100,3,7,1075,60,15,13,28,10,0,5,182,183,184,0,100,0
18,19,112,100,4,9,870,56,31,32,49,10,0,5,185,186,187,0,100,0
19,20,109,100,5,8,990,53,23,23,37,10,0,5,188,189,190,0,100,0
20,21,27,3,1,13,81,1,1,2,1,1,0,1,0,0,0,0,3,0
21,22,29,3,2,14,95,1,1,2,1,1,0,1,0,0,0,0,3,0
22,23,71,3,3,8,54,1,1,1,1,1,0,1,0,0,0,0,3,0
23,24,2,3,4,9,38,1,1,2,1,1,0,1,0,0,0,0,3,0
24,25,9,3,5,7,34,1,1,2,1,1,0,1,0,0,0,0,3,0
25,26,27,5,1,13,83,1,1,3,2,1,0,1,0,0,0,0,5,0
26,27,29,5,2,14,97,1,1,3,2,1,0,1,0,0,0,0,5,0
27,28,71,5,3,8,55,2,2,2,1,1,0,1,0,0,0,0,5,0
28,29,2,5,4,9,38,1,2,3,1,1,0,1,0,0,0,0,5,0
29,30,9,5,5,7,35,1,2,3,1,1,0,1,0,0,0,0,5,0
30,31,27,7,1,13,84,1,1,5,2,1,0,1,0,0,0,0,7,0
31,32,29,7,2,14,98,1,1,4,2,1,0,1,0,0,0,0,7,0
32,33,71,7,3,8,56,2,3,3,2,1,0,1,0,0,0,0,7,0
33,34,2,7,4,9,39,1,3,4,2,1,0,1,0,0,0,0,7,0
34,35,9,7,5,7,35,2,3,5,2,1,0,1,0,0,0,0,7,0
35,36,27,8,1,13,85,1,1,6,3,1,0,1,0,0,0,0,8,0
36,37,29,8,2,14,99,2,1,5,2,1,0,1,0,0,0,0,8,0
37,38,71,8,3,8,56,3,3,3,2,1,0,1,0,0,0,0,8,0
38,39,2,8,4,9,39,2,4,5,2,1,0,1,0,0,0,0,8,0
39,40,9,8,5,7,36,2,4,6,2,1,0,1,0,0,0,0,8,0
40,41,27,8,1,13,85,1,1,6,3,1,0,1,0,0,0,0,8,0
41,42,29,8,2,14,99,2,1,5,2,1,0,1,0,0,0,0,8,0
42,43,71,8,3,8,56,3,3,3,2,1,0,1,0,0,0,0,8,0
43,44,2,8,4,9,39,2,4,5,2,1,0,1,0,0,0,0,8,0
44,45,9,8,5,7,36,2,4,6,2,1,0,1,0,0,0,0,8,0
45,46,27,10,1,13,174,2,1,7,3,1,0,2,0,0,0,0,10,0
46,47,29,10,2,14,202,2,2,6,3,1,0,2,0,0,0,0,10,0
47,48,71,10,3,8,114,3,4,4,3,1,0,2,0,0,0,0,10,0
48,49,2,10,4,9,80,2,4,6,2,1,0,2,0,0,0,0,10,0
49,50,9,10,5,7,72,2,4,7,2,1,0,2,0,0,0,0,10,0
50,51,27,12,1,13,176,2,2,8,4,1,0,2,0,0,0,0,12,0
51,52,29,12,2,14,206,2,2,8,3,1,0,2,0,0,0,0,12,0
52,53,71,12,3,8,118,4,5,5,3,1,0,2,0,0,0,0,12,0
53,54,2,12,4,9,82,2,5,8,3,1,0,2,0,0,0,0,12,0
54,55,9,12,5,7,74,2,5,8,3,1,0,2,0,0,0,0,12,0
