,id,type,motion_name,touch_area,hold_time,probability,voice,text,expression,face_motion,name,camera,is_hurt,level,is_interrupt,delay,next_motions,voice_code
0,306,101,motions/idle.mtn,0,0,1.0,,,,,,0,0,0,0,0,,
1,307,101,motions/daiji.mtn,0,0,1.0,,,,,,0,0,0,0,0,,
2,308,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,,0,0,0,0,0,,
3,501,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,0,0,0,0,,
4,502,102,motions/wait_1.mtn,0,"8,12",0.5,,,,,特殊待机1,1,0,0,0,0,,
5,503,102,motions/wait_2.mtn,0,"10,13",0.5,GUN|M1903|DIALOGUE3,GUN|M1903|DIALOGUE3,,,特殊待机2,1,0,0,0,0,,DIALOGUE3
6,504,200,motions/touch_1.mtn,head,0,1.0,GUN|M1903|ALLHALLOWS,GUN|M1903|ALLHALLOWS,,,交互1,1,0,0,0,0,,ALLHALLOWS
7,505,200,motions/touch_2.mtn,body,0,1.0,GUN|M1903|MOOD2,GUN|M1903|MOOD2,,,交互2,1,0,0,0,0,,MOOD2
8,506,200,motions/touch_3.mtn,body,0,1.0,GUN|M1903|DIALOGUE1,GUN|M1903|DIALOGUE1,,,交互3,1,0,0,0,0,,DIALOGUE1
9,507,200,motions/touch_4.mtn,leg,0,1.0,GUN|M1903|PHRASE,GUN|M1903|PHRASE,,,交互4,1,0,0,0,0,,PHRASE
10,508,200,motions/touch_5.mtn,leg,0,1.0,GUN|M1903|DIALOGUE2,GUN|M1903|DIALOGUE2,,,交互5,1,0,0,0,0,,DIALOGUE2
11,509,500,motions/wedding.mtn,0,0,1.0,GUN|M1903|SOULCONTRACT,GUN|M1903|SOULCONTRACT,,,结契动作,1,0,0,0,0,,SOULCONTRACT
12,510,300,motions/shake.mtn,0,0,1.0,,,,,晃动响应,1,0,0,0,0,,
13,511,1000,motions/login.mtn,0,0,1.0,GUN|M1903|HELLO,GUN|M1903|HELLO,,,上线响应,1,0,0,0,0,,HELLO
14,512,401,motions/daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,1,0,0,0,,
15,513,402,motions/broken_1.mtn,body,0,1.0,GUN|M1903|ALLHALLOWS,GUN|M1903|ALLHALLOWS,,,交互1,1,1,0,0,0,,ALLHALLOWS
16,514,402,motions/broken_2.mtn,body,0,1.0,GUN|M1903|MOOD2,GUN|M1903|MOOD2,,,交互2,1,1,0,0,0,,MOOD2
17,515,402,motions/broken_3.mtn,body,0,1.0,GUN|M1903|DIALOGUE1,GUN|M1903|DIALOGUE1,,,交互3,1,1,0,0,0,,DIALOGUE1
18,516,402,motions/broken_4.mtn,body,0,1.0,GUN|M1903|PHRASE,GUN|M1903|PHRASE,,,交互4,1,1,0,0,0,,PHRASE
19,517,402,motions/broken_5.mtn,body,0,1.0,GUN|M1903|DIALOGUE2,GUN|M1903|DIALOGUE2,,,交互5,1,1,0,0,0,,DIALOGUE2
20,518,403,motions/wait_1.mtn,0,"10,12",0.5,,,,,特殊待机,1,1,0,0,0,,
21,519,1001,motions/login.mtn,0,0,1.0,GUN|M1903|HELLO,GUN|M1903|HELLO,,,上线响应,1,1,0,0,0,,HELLO
22,601,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,0,0,0,0,,
23,602,102,motions/wait_1.mtn,0,"8,12",0.5,,,,,特殊待机1,1,0,0,0,0,,
24,603,102,motions/wait_2.mtn,0,"10,13",0.5,,,,,特殊待机2,1,0,0,0,0,,
25,604,200,motions/touch_1.mtn,body,0,1.0,GUN|WA2000|DIALOGUE1,GUN|WA2000|DIALOGUE1,,,交互1,1,0,0,0,0,,DIALOGUE1
26,605,200,motions/touch_2.mtn,body,0,1.0,GUN|WA2000|DIALOGUE2,GUN|WA2000|DIALOGUE2,,,交互2,1,0,0,0,0,,DIALOGUE2
27,606,200,motions/touch_3.mtn,head,0,1.0,GUN|WA2000|DIALOGUE3,GUN|WA2000|DIALOGUE3,,,交互3,1,0,0,0,0,,DIALOGUE3
28,607,200,motions/touch_4.mtn,head,0,1.0,GUN|WA2000|ACCEPT,,,,交互4,1,0,0,0,0,,ACCEPT
29,608,200,motions/touch_5.mtn,ghost,0,1.0,GUN|WA2000|ALLHALLOWS,GUN|WA2000|ALLHALLOWS,,,交互5,1,0,0,0,0,,ALLHALLOWS
30,609,200,motions/wedding_touch.mtn,body,0,1.0,GUN|WA2000|DIALOGUEWEDDING,GUN|WA2000|DIALOGUEWEDDING,,,结契后交互,1,0,0,0,0,,DIALOGUEWEDDING
31,610,500,motions/wedding.mtn,0,0,1.0,GUN|WA2000|SOULCONTRACT,GUN|WA2000|SOULCONTRACT,,,结契动作,1,0,0,0,0,,SOULCONTRACT
32,611,300,motions/shake.mtn,0,0,1.0,GUN|WA2000|MOOD2,,,,晃动响应,1,0,0,0,0,,MOOD2
33,612,1000,motions/login.mtn,0,0,1.0,GUN|WA2000|HELLO,GUN|WA2000|HELLO,,,上线响应,1,0,0,0,0,,HELLO
34,613,402,motions/broken_1.mtn,body,0,1.0,GUN|WA2000|LOWMOOD,GUN|WA2000|LOWMOOD,,,交互1,1,1,0,0,0,,LOWMOOD
35,614,402,motions/broken_2.mtn,body,0,1.0,GUN|WA2000|ATTACK,GUN|WA2000|ATTACK,,,交互2,1,1,0,0,0,,ATTACK
36,615,402,motions/broken_3.mtn,body,0,1.0,,,,,交互3,1,1,0,0,0,,
37,616,402,motions/broken_4.mtn,head,0,1.0,GUN|WA2000|MOOD2,,,,交互4,1,1,0,0,0,,MOOD2
38,617,402,motions/broken_5.mtn,ghost,0,1.0,GUN|WA2000|ALLHALLOWS,GUN|WA2000|ALLHALLOWS,,,节日交互,1,1,0,0,0,,ALLHALLOWS
39,618,401,motions/daiji_idle_02.mtn,0,0,1.0,,,,,待机,0,1,0,0,0,,
40,619,301,motions/shake.mtn,0,0,1.0,,,,,晃动响应,1,1,0,0,0,,
41,801,101,daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,0,0,0,0,,
42,802,200,,body,0,1.0,GUN|Mk23|DIALOGUE1,GUN|Mk23|DIALOGUE1,,,待机,0,0,0,0,0,,DIALOGUE1
43,803,200,,body,0,1.0,GUN|Mk23|DIALOGUE2,GUN|Mk23|DIALOGUE2,,,待机,0,0,0,0,0,,DIALOGUE2
44,804,200,,body,0,1.0,GUN|Mk23|DIALOGUE3,GUN|Mk23|DIALOGUE3,,,待机,0,0,0,0,0,,DIALOGUE3
45,805,200,,body,0,1.0,GUN|Mk23|DIALOGUEWEDDING,GUN|Mk23|DIALOGUEWEDDING,,,待机,0,0,0,0,0,,DIALOGUEWEDDING
46,806,401,daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,1,0,0,0,,
47,807,402,,body,0,1.0,GUN|Mk23|DIALOGUE1,GUN|Mk23|DIALOGUE1,,,待机,0,0,0,0,0,,DIALOGUE1
