,id,type,sort,item_ids,gem,mp,ammo,mre,part,bp_pay,skin,gift,gemprice,original_price,pointprice,if_cheap,quota,giftbag_name,event_code,icon,daily_quota,tips,discount,sale_starttime,sale_endtime,label,prize_id,pay_type,itemprice,on_sale_days,price_up,classification_id,description,special_daily_quota
0,1,2,0,0,0,1500,0,0,0,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
1,2,2,1,0,0,4500,0,0,0,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
2,3,2,2,0,0,0,0,1500,0,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
3,4,2,3,0,0,0,0,4500,0,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
4,5,2,4,0,0,0,1500,0,0,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
5,6,2,5,0,0,0,4500,0,0,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
6,7,2,6,0,0,0,0,0,500,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
7,8,2,7,0,0,0,0,0,1500,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
8,9,1,1,1-1,0,0,0,0,0,0,0,,30,0,0,0,1,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
9,10,1,3,1-1,0,0,0,0,0,0,0,,48,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,30
10,12,1,5,3-1,0,0,0,0,0,0,0,,50,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
11,13,1,6,3-10,0,0,0,0,0,0,0,,380,0,0,1,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
12,14,1,7,4-1,0,0,0,0,0,0,0,,50,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
13,15,1,8,4-10,0,0,0,0,0,0,0,,380,0,0,1,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
14,16,1,9,8-1,0,0,0,0,0,0,0,,250,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
15,17,1,10,8-5,0,0,0,0,0,0,0,,980,0,0,1,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
16,18,1,2,2-1,0,0,0,0,0,0,0,,15,0,0,0,1,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
17,19,1,11,2-1,0,0,0,0,0,0,0,,24,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,30
18,22,1,0,7-1,0,0,0,0,0,0,0,,580,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5004,,0
19,23,1,0,,0,0,0,0,0,3,0,,20,0,0,0,2001,,dailyGiftbag,,10,,1.00,0,0,1,0,0,0,0,10000,5004,,0
20,24,1,1,41-10,0,0,0,0,0,0,0,,80,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
21,25,1,1,41-100,0,0,0,0,0,0,0,,600,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
22,26,1,13,16-1,0,0,0,0,0,0,0,,38,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,30
23,28,1,3,601-1,0,0,0,0,0,0,0,,98,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
24,29,1,3,601-10,0,0,0,0,0,0,0,,980,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
25,30,1,3,10603-3,0,0,0,0,0,0,0,,20,0,0,0,2001,特殊材料副本代币,dailyGiftbag,,10,,1.00,0,0,1,0,0,0,0,10000,5004,,0
26,31,1,3,605-1,0,0,0,0,0,0,0,,160,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
27,32,1,3,605-10,0,0,0,0,0,0,0,,1600,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
28,113,8,0,3-1,0,1000,1000,1000,1000,0,0,,288,790,0,0,2001,盛夏特惠礼包,dailyGiftbag,Bumdle_blue,1,,1.00,0,0,0,0,0,0,0,0,3002,,0
29,114,8,0,,0,4000,4000,4000,1000,0,0,,980,1800,0,0,2001,盛夏资源礼包,dailyGiftbag,Bumdle_blue,1,,1.00,0,0,0,0,0,0,0,0,3002,,0
30,115,8,0,"1-5,3-5,4-5,8-5",0,0,0,0,0,0,0,,888,1550,0,0,2001,盛夏契约礼包,dailyGiftbag,Bumdle_blue,1,,1.00,0,0,0,0,0,0,0,0,3002,,0
31,116,8,0,"2-10,3-10",0,0,0,0,500,0,0,,488,980,0,0,2001,装备制造礼包,dailyGiftbag,Bumdle_black,1,,1.00,0,0,0,0,0,0,0,0,3002,,0
32,117,8,0,"1-1,3-1",0,600,600,100,400,0,0,,198,410,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_red,10,,1.00,0,0,0,0,0,0,0,0,3002,,0
33,119,8,0,"3-2,1-2,8-1,2-2",0,1500,1500,1500,1500,0,0,,988,1610,0,0,2001,中秋团圆礼包,dailyGiftbag,Bumdle_yellow,1,,1.00,0,0,0,0,0,0,0,0,3002,,0
34,120,8,0,0,0,4000,4000,4000,4000,0,0,,1988,2888,0,0,2001,圣建资源礼包,dailyGiftbag,Bumdle_red,1,,1.00,0,0,0,0,0,0,0,0,3002,,0
