,id,pic_code,effect_code,background_code
0,1,Icon_Medal_QuarterEvent,,Bg_IllustratedBook_MedalDetail_NEW
1,2,Icon_Medal_Battle_01,,Bg_IllustratedBook_MedalDetail_NEW
2,3,Icon_Medal_Battle_02,,Bg_IllustratedBook_MedalDetail_NEW
3,4,Icon_Medal_Battle_03,,Bg_IllustratedBook_MedalDetail_NEW
4,5,Icon_Medal_Battle_04,,Bg_IllustratedBook_MedalDetail_NEW
5,6,Icon_Medal_Battle_05,,Bg_IllustratedBook_MedalDetail_NEW
6,7,Icon_Medal_Collection_01,,Bg_IllustratedBook_MedalDetail_NEW
7,8,Icon_Medal_Collection_02,,Bg_IllustratedBook_MedalDetail_NEW
8,9,Icon_Medal_Collection_03,,Bg_IllustratedBook_MedalDetail_NEW
9,10,Icon_Medal_Collection_04,,Bg_IllustratedBook_MedalDetail_NEW
10,11,Icon_Medal_Collection_05,,Bg_IllustratedBook_MedalDetail_NEW
11,12,Icon_Medal_Challenger_01,,Bg_IllustratedBook_MedalDetail_NEW
12,13,Icon_Medal_Challenger_02,,Bg_IllustratedBook_MedalDetail_NEW
13,14,Icon_Medal_Challenger_03,,Bg_IllustratedBook_MedalDetail_NEW
14,15,Icon_Medal_Challenger_04,,Bg_IllustratedBook_MedalDetail_NEW
15,16,Icon_Medal_Challenger_05,,Bg_IllustratedBook_MedalDetail_NEW
16,17,Icon_Medal_Collaboration,,Bg_IllustratedBook_MedalDetail_NEW
17,18,Icon_Medal_SangvisBattle_01,,Bg_IllustratedBook_MedalDetail_NEW
18,19,Icon_Medal_SangvisBattle_02,,Bg_IllustratedBook_MedalDetail_NEW
19,20,Icon_Medal_SangvisBattle_03,,Bg_IllustratedBook_MedalDetail_NEW
20,21,Icon_Medal_SangvisBattle_04,,Bg_IllustratedBook_MedalDetail_NEW
21,22,Icon_Medal_SangvisBattle_05,,Bg_IllustratedBook_MedalDetail_NEW
22,23,Icon_Medal_Chess_01,,Bg_IllustratedBook_MedalDetail_NEW
23,24,Icon_Medal_Chess_02,,Bg_IllustratedBook_MedalDetail_NEW
24,25,Icon_Medal_Chess_03,,Bg_IllustratedBook_MedalDetail_NEW
25,26,Icon_Medal_Chess_04,,Bg_IllustratedBook_MedalDetail_NEW
26,27,Icon_Medal_Chess_05,,Bg_IllustratedBook_MedalDetail_NEW
