,id,turn_code,turn_color,spot_color,team_code,team_color,team_ai_color,blood_color
0,1,GKLOGO,#76980047,#96C8FAFF,Friend,#96C8FA96,#96C8FAFF,#6FDDCBFF
1,2,SFLOGO,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
2,3,ArmyLOGO,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
3,4,WhatLOGO,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
4,5,ArmyLogoEnemy,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
5,6,WhatLogoEnemy,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
6,7,WhatLOGO,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
7,8,SFLOGO,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
8,9,cleaners512,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
9,10,cleaners704,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
10,11,lmb512,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
11,12,lmb704,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
12,13,rikers512,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
13,14,rikers704,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
14,15,ArmyGKLOGO,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
15,16,Yurine,#76980047,#96C8FAFF,Friend,#96C8FA96,#96C8FAFF,#6FDDCBFF
16,17,Makai,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
17,18,Security_Agency816,#76980047,#96C8FAFF,Friend,#96C8FA96,#96C8FAFF,#6FDDCBFF
18,19,Security_Agency1031,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
