,id,win_step,lose_step,next_id,lock_id,related_missionkey
0,419919,3,,win0,,
1,419920,419920,,419921|419922,419919,
2,419921,419921,,win0,,
3,419922,1,,win1,,
4,490401,490401,,490402,490401,
5,490402,490402,,win0,,
6,490403,490403,,win0,,
7,490404,490404,,win0,,
8,1051290,1051290,,1051291,1051290,
9,1051291,1051291,,win0,,
10,1051430,1051430,,1051431,1051430,
11,1051431,1051431,,win0,,
12,1058101,420201,,1058102,1058101,
13,1058102,1,,win0,,
14,1058401,420501,,1058402,1058401,
15,1058402,1,,win0,,
16,1060801,1060800,,1060803|1060805,1060801,
17,1060802,1060810,,win0,,
18,1060803,"1060801,1060804",,1060804,"1060803,1060805",
19,1060804,"1060802,1060805",,win0,1060805,
20,1060805,1060803,,win0,,
21,1060901,1060900,,1060902,1060901,
22,1060902,"1060901,1060902",,1060903,1060902,
23,1060903,"1060904,1060905,1060903",,win0,,
24,1060904,"1060906,1060910",,win0,,
25,1060905,1060908,,1060906,1060905,
26,1060906,"1060901,1060909",,1060907,1060906,
27,1060907,"1060905,1060903",,win0,,
28,1060908,1060907,,win0,,
29,1061001,1061000,,1061002,1061001,
30,1061002,"1061001,1061002",,win0,,
31,1061101,1061100,,1061102|1061103,1061101,
32,1061102,"1061101,1061102",,win0,,
33,1061103,"1061104,1061103",,win0,,
34,1061201,"1061200,1061201,1061202",,win0,,
35,1063401,1063401,,1063402,1063401,
36,1063402,1063402,,win0,,
37,1063701,1063701,,1063704,"1063701,1063702",
38,1063702,1063702,,1063705,"1063701,1063702",
39,1063703,1063703,,win0,,
40,1063704,1063702,,1063703,"1063704,1063706",
41,1063705,1063701,,1063703,"1063705,1063706",
42,1063706,1063704,,win0,,
43,1064401,1064401,,1064402,1064401,
44,1064402,"1064402,1064403",,win0,,
45,1064501,1064501,,1064502,1064501,
46,1064502,1064502,,win0,,
47,1064601,1064601,,1064602,1064601,
48,1064602,1064602,,win0,,
49,1064801,1064801,,1064802,1064801,
50,1064802,"1064802,1064803",,win0,,
51,1065701,"1065701,449999",,1065702,1065701,
52,1065702,"1065702,449999",,win0,,
53,1065703,"1065703,449999",,win1,,
54,1066001,"1066001,449999",,1066002,1066001,
55,1066002,"1066002,1066003,449999",,win0,,
56,1066101,"1066101,449999",,1066102,1066101,
57,1066102,"1066102,449999",,win0,,
58,1066201,1066201,,1066202,1066201,
59,1066202,1066202,,win0,,
60,1066401,1066401,,1066402,1066401,
61,1066402,"1066402,1066403,1066404",,win0,,
62,1067001,1067000,,1067002,1067001,
63,1067002,1067001,,win0,,
64,1067101,1067100,,1067102|1067103,1067101,
65,1067102,1067101,,win0,,
66,1067103,1067102,,win0,,
67,1076901,1076901,,1076902,1076901,
68,1076902,1076902,,win0,,
69,1077201,1077201,,1077202,1077201,
70,1077202,1077202,,win0,,
71,1077401,1077401,,1077402,1077401,
72,1077402,1077402,,win0,,
73,1077701,1077201,,1077702,1077701,
74,1077702,1077702,,win0,,
75,1080601,1080601,,1080602,1080601,
76,1080602,1080602,1080691,win0,,
77,1081901,1081901,1081905,1081902,1081901,
78,1081902,"1081902,1081903,1081904",,win0,,
79,1082101,"1082101,1082102",,1082102,1082101,
80,1082102,1082103,,win0,,
81,1082401,1082401,1082404,1082402,1082401,
82,1082402,1082402,,1082403,1082402,
83,1082403,1082403,,win0,,
84,1082801,1082801,,1082802,1082801,
85,1082802,1082802,1082891,win0,,
86,1083801,1081901,1081905,1083802,1083801,
87,1083802,"1081902,1081906,1083803,1083804,1083807",,win0,,
88,1084001,"1084001,1082102",,1082102,1084001,
89,1098701,1098701,,1098702,1098701,
90,1098702,1098702,,win0,,
91,1102301,1102301,,1102302,1102301,
92,1102302,"1102302,1102303",1102391,win0,,
93,1102401,1102401,1102491,1102402,1102401,
94,1102402,"1102402,1102403",1102491,win0,,
95,1102501,1102501,1102591,1102502,1102501,
96,1102502,1102502,1102591,win0,,
97,1102601,1102601,1102691,1102602,1102601,
98,1102602,1102602,1102691,win0,,
99,1103401,1103401,,1103402,1103401,
100,1103402,"1103402,1103403",1103491,win0,,
101,1103501,1103501,1103591,1103502,1103501,
102,1103502,"1103502,1103503",1103591,win0,,
103,1103601,1103601,1103691,1103602,1103601,
104,1103602,1103602,1103691,win0,,
105,1104401,1104401,,1104402,1104401,
106,1104402,"1104402,1104403",1104491,win0,,
107,1104501,1104501,1104591,1104502,1104501,
108,1104502,"1104502,1104503",1104591,win0,,
109,1104601,1104601,1104691,1104602,1104601,
110,1104602,1104602,1104691,win0,,
111,1108401,1108401,,1108402,1108401,
112,1108402,1108402,,1108403,1108402,
113,1108403,1108403,,1108404,1108403,
114,1108404,1108404,,1108405,1108404,
115,1108405,1108405,,1108406,1108405,
116,1108406,1108406,,1108407,1108406,
117,1108407,1108407,,win0,,
118,1108501,"1108501,1108502,1108503,1108504",1108302,1108502,1108501,
119,1108502,3,1108302,win0,,
120,6000003,6000003,,6000004,6000003,
121,6000004,6000004,,win0,,
122,6430101,6430101,,6430102,6430101,
123,6430102,6430102,,win0,,
124,6430201,6430201,,6430202,6430201,
125,6430202,"6430202,6430203,6430204",,win0,,
126,6430401,"6430401,6430402",,6430402,6430401,
127,6430402,6430403|6430404,,win0,,
128,64102031,64102031,,win0,,
129,64102051,64102051,,win0,,
130,64102061,64102061,,64102062,64102061,
131,64102062,64102062,,win0,,
132,64102081,64102081,,win0,,
133,64102091,64102091,,win0,,
134,64102101,64102101,,win0,,
135,91051500,1051500,,win0,,
136,91051501,1051501,,win0,,
137,91051502,1051503,,91051503,91051502,
138,91051503,1051504,,win0,,
139,91051504,1051501,,win0,,
140,91051600,1051600,,win0,,
141,91051601,1051601,,win0,,
142,91051602,1051609,,win0,,
143,91051603,1051602,,91051604,91051603,
144,91051604,1051603,,win0,,
145,91051605,1051604,,91051606,91051605,
146,91051606,1051605,,91051607|91051609,91051606,
147,91051607,1051608,,91051608,91051607,
148,91051608,1051606,,win0,,
149,91051609,1051607,,win0,,
150,91051610,1051610,,win0,,
151,91051611,1051611,,win1,,
152,91051612,1051612,,win2,,
153,91051613,1051613,,win3,,
154,91051614,1051614,,win0,,
155,91051700,1051700,,91051701,91051700,
156,91051701,1051701,,win0,,
157,91051702,1051702,,91051704,"91051702,9151703",
158,91051703,1051703,,91051702,91051703,
159,91051704,1051704,,win0,,
160,91051705,1051705,,win0,,
161,91051706,1051706,,win0,,
162,91051707,1051707,,win0,,
163,91051708,1051708,,win0,,
164,91051709,1051709,,91051712,91051709,
165,91051710,1051710,,91051713,91051710,
166,91051711,1051711,,win3,,
167,91051712,1051712,,win1,,
168,91051713,1051713,,win2,,
169,91051800,1051800,,91051801,91051800,
170,91051801,1051801,,91051802,91051801,
171,91051802,1051802,,win0,,
172,91051803,1051803,,91051804,91051803,
173,91051804,1051804,,win0,,
174,91051805,1051805,,win0,,
175,91051806,1051806,,91051807,91051806,
176,91051807,1051807,,91051808,91051807,
177,91051808,1051808,,91051809,91051808,
178,91051809,1051809,,win0,,
179,91051810,1051810,,win0,,
180,91051811,1051811,,win1,,
181,91051812,1051812,,win2,,
182,91051813,1051813,,win3,,
