,id,type,arguments,extra_language,is_hidden,is_show_count
0,1,1102,1,,0,1
1,2,1106,9999,,0,1
2,3,1305,0,,0,1
3,4,1102,3,,0,1
4,5,1310,0,,0,1
5,6,1404,1,,0,1
6,7,2302,0,不发生战斗,0,1
7,8,2403,0,不撤退梯队,0,1
8,9,1405,1,,0,1
9,1030,1303,7:1,,0,1
10,1040,1101,111,,0,1
11,1060,1303,27:1,,0,1
12,1110,1303,30:1,,0,1
13,1140,1303,49:1,,0,1
14,2010,1101,"204,347",,0,1
15,2030,1106,10,,0,1
16,2040,1303,71:1,,0,1
17,2060,1303,82:1,,0,1
18,2110,1404,2,,0,1
19,2120,1404,2,,0,1
20,2140,1404,3,,0,1
21,2141,1303,115:1,,0,1
22,3030,1303,124:1,,0,1
23,3040,1402,4,,0,1
24,3050,1101,"406,413",,0,1
25,3060,1303,139:1,,0,1
26,3061,1303,144:1,,0,1
27,3120,1405,2,,0,1
28,3130,1405,2,,0,1
29,3131,1303,154:1,,0,1
30,4010,1309,"9040101,505",引导友方梯队移动至指定机场（回合结束时结算）,0,1
31,4040,1303,175:1,,0,1
32,4060,1303,192:1,,0,1
33,4110,1303,194:3,,0,1
34,4120,1309,"9040801,639",引导M4A1移动至敌方指挥部（回合结束时结算）,0,1
35,4140,1303,218:1,,0,1
36,5010,1103,3:4,,0,1
37,5020,1402,4,,0,1
38,5021,1103,3:3,,0,1
39,5030,1103,3:3,,0,1
40,5040,1404,3,,0,1
41,5060,1303,377:1,,0,1
42,5110,1404,2,,0,1
43,5111,1401,6,,0,1
44,6020,1309,"9060201,1537",引导AR小队移动至敌方指挥部（回合结束时结算）,0,1
45,6060,1303,641:1,,0,1
46,6061,1303,640:2,,0,1
47,6120,1309,"9060801,1682",引导MODSOPII移动至指定机场（回合结束时结算）,0,1
48,6140,1101,1739,,0,1
49,6141,1303,664:5,,0,1
50,7010,1303,754:1,,0,1
51,7030,1303,765:1,,0,1
52,7040,1401,2,,0,1
53,7050,1401,4,,0,1
54,7051,1303,777:1,,0,1
55,7060,1303,784:1,,0,1
56,7061,1301,6,,0,1
57,7062,1402,7,,0,1
58,7110,1309,"9070701,2153",引导M16A1移动至敌方指挥部（回合结束时结算）,0,1
59,7120,1309,"9070801,1996",引导M16A1移动至敌方指挥部（回合结束时结算）,0,1
60,7140,1309,"9071001,2016",引导调色板小队移动至我方指挥部,0,1
61,10220,1101,80546,,0,1
62,10221,1301,3,,0,1
63,10230,1101,80575,,0,1
64,10240,1303,2863:1,,0,1
65,10241,1301,12,,0,1
66,260900,1404,2,,0,1
67,260901,1405,1,,0,1
68,330800,1303,330804:3,,0,1
69,331000,1101,"80053,80054,80058,80059",,0,1
70,331010,1401,4,,0,1
71,331200,2302,2,,0,1
72,331210,1303,"331201:1,331202:1",,0,1
73,331400,1106,6,,0,1
74,331401,1207,"331402:2,331403:2",,0,1
75,331410,1402,5,,0,1
76,331411,1303,331401:1|331402:1,,0,1
77,331600,1404,1,,0,1
78,331601,1401,4,,0,1
79,331900,1301,5,,0,1
80,331901,1207,"331905:2,331906:2",,0,1
81,332100,1209,1:1:14,,0,1
82,332101,1101,80144,,0,1
83,332400,1303,332401:1,与M4A1接触（特殊战斗），在不击杀M4A1的情况下帮助她恢复心智,0,1
84,332410,1404,1,,0,1
85,332800,1303,332805:5,,0,1
86,333200,1404,1,,0,1
87,333210,1303,333201:4,,0,1
88,333211,1208,"333203:2,333204:2,333205:2",开启所有防御门,0,1
89,333400,1303,333401:1,,0,1
90,333600,2302,0,不发生战斗,0,1
91,333800,1404,1,,0,1
92,334100,1405,3,,0,1
93,334600,1306,"334601:1,334602:1,334603:1",,0,1
94,334700,1309,"334710,80455",协助M4A1移动至我方指挥部（回合结束时结算）,0,1
95,334701,1404,2,,0,1
96,335000,1101,13107,,0,1
97,335010,1303,"335003:1,335004:1",,0,1
98,335100,1101,13117,,0,1
99,335110,1305,999,,0,1
100,335200,1301,5,,0,1
101,335210,1101,13144,,0,1
102,335300,1309,"335301,13174",,0,1
103,335301,2406,1,,0,1
104,335310,1401,5,,0,1
105,335311,1101,"13172,13162,13173,13169,13174",,0,1
106,335400,1101,13175,,0,1
107,335401,1205,335403:0,,0,1
108,335410,1206,335403:0,,0,1
109,335500,1402,5,,0,1
110,335501,1205,"335501:0,335502:0",,0,1
111,335510,1207,335503:4,本场战役未对控制台进行操作,0,1
112,335600,1404,1,,0,1
113,335610,1207,335603:4,本场战役未对控制台进行操作,0,1
114,335611,1401,5,,0,1
115,335700,1101,13257,,0,1
116,335710,1303,335705:1,,0,1
117,335800,1209,1:1:14,,0,1
118,335801,1310,0,,0,1
119,335900,1303,335901:1,与M4A1接触（特殊战斗），在不击杀M4A1的情况下帮助她恢复心智,0,1
120,335910,1404,1,,0,1
121,336000,1306,"336003:1,336004:1,336005:1",,0,1
122,336001,1303,"336001:1,336012:1,336013:1",,0,1
123,336200,1209,4:3:6,开启所有防御门I型（回合结束时结算）,0,1
124,336210,1404,1,,0,1
125,336300,1303,336301:1,,0,1
126,336400,2302,0,不发生战斗,0,1
127,336401,2403,0,不撤退梯队,0,1
128,336410,1301,6,击杀除装甲列车以外的所有反叛军,0,1
129,336411,1306,336408:1,,0,1
130,336412,1101,13523,,0,1
131,336600,1101,13579,,0,1
132,336601,1301,6,,0,1
133,336610,1306,"336601:1,336602:1,336603:1",,0,1
134,337000,1306,"336801:1,336802:1,336803:1",,0,1
135,337100,1309,"336914,13655",协助M4A1移动至重型机场（回合结束时结算）,0,1
136,337101,1404,3,,0,1
137,350100,1401,1,,0,1
138,350101,1305,0,,0,1
139,350200,1405,2,,0,1
140,350300,1401,3,,0,1
141,350301,1103,201:3,,0,1
142,360101,1305,0,,0,1
143,360111,1401,2,,0,1
144,360201,1404,2,,0,1
145,360211,1101,83824,,0,1
146,360301,1101,83798,,0,1
147,360302,1101,83800,,0,1
148,360311,1301,8,,0,1
149,360401,1301,8,,0,1
150,360601,1402,3,,0,1
151,360611,1103,3:3,,0,1
152,360801,2302,3,最多歼灭3个敌军，随机点会触发特殊事件,0,1
153,360811,1303,368016,,0,1
154,360901,1101,84003,占领指定点位（建议等刽子手离开）,0,1
155,361001,1305,0,,0,1
156,361011,1306,3610020:1,击败涅托（可选择涅托与铁血争斗后的时机）,0,1
157,361200,1402,7,坚持6回合,0,1
158,361201,1303,361211:1,,0,1
159,361202,1101,90459,,0,1
160,361203,1301,3,,0,1
161,361204,1101,90442,,0,1
162,361300,1301,4,至少击杀4个敌人（红色方）,0,1
163,361400,1207,361404:2,炸毁要道Ⅱ（回合结束时结算）,0,1
164,361401,1301,5,,0,1
