,id,type,gem_pay,gem,double_gem_pay,double_gem,mp,ammo,mre,part,icon,month_card_type,quota_num,prize_id,classification_id,description,clear_type,clear_parameter
0,101,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
1,102,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
2,103,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
3,104,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
4,105,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
5,106,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
6,120,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
7,121,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
8,122,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
9,123,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
10,201,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
11,202,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
12,203,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
13,224,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
14,225,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
15,226,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
16,227,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
17,228,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
18,229,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
19,230,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
20,231,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
21,232,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
22,233,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
23,234,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
24,235,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
25,236,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
26,237,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
27,238,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
28,239,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
29,240,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
30,241,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
31,242,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
32,243,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
33,244,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
34,245,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
35,246,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
36,247,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
