,id,name,user_exp,mp,ammo,mre,part,core,gem,gem_pay,gun_id,sangvis,item_ids,furniture,gift,equip_ids,coins,skin,content,send_limit,icon,bp_pay,fairy_ids,chip,commander_uniform
0,1,采购币*10,0,0,0,0,0,0,0,0,0,,41-10,,,,"1-100,2-3,3-50",0,,0,,0,,,
1,2,采购币*20,0,0,0,0,0,0,0,0,0,,41-20,,,,,0,,0,,0,,,
2,3,采购币*30,0,0,0,0,0,0,0,0,0,,41-30,,,,,0,,0,,0,,,
3,4,采购币*40,0,0,0,0,0,0,0,0,0,,41-40,,,,,0,,0,,0,,,
4,5,采购币*50,0,0,0,0,0,0,0,0,0,,41-50,,,,,0,,0,,0,,,
5,6,采购币*60,0,0,0,0,0,0,0,0,0,,41-60,,,,,0,,0,,0,,,
6,7,采购币*70,0,0,0,0,0,0,0,0,0,,41-70,,,,,0,,0,,0,,,
7,8,采购币*80,0,0,0,0,0,0,0,0,0,,41-80,,,,,0,,0,,0,,,
8,9,采购币*90,0,0,0,0,0,0,0,0,0,,41-90,,,,,0,,0,,0,,,
9,10,采购币*100,0,0,0,0,0,0,0,0,0,,41-100,,,,,0,,0,,0,,,
10,11,人形制造契约,0,0,0,0,0,0,0,0,0,,1-2,,,,,0,,0,,0,,,
11,12,快速训练契约,0,0,0,0,0,0,0,0,0,,8-2,,,,,0,,0,,0,,,
12,13,4项资源500,0,500,500,500,500,0,0,0,0,,,,,,,0,,0,,0,,,
13,14,红包掉落,0,0,0,0,0,0,0,0,0,,100001-1,,,,,0,,0,,0,,,
14,15,采购币*5,0,0,0,0,0,0,0,0,0,,41-5,,,,,0,,0,,0,,,
15,16,采购币*8,0,0,0,0,0,0,0,0,0,,41-8,,,,,0,,0,,0,,,
16,17,人力*100,0,100,0,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形行动投入的能源,0,,0,,,
17,18,人力*200,0,200,0,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形行动投入的能源,0,,0,,,
18,19,人力*300,0,300,0,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形行动投入的能源,0,,0,,,
19,20,弹药*100,0,0,100,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形作战提供的弹药。,0,,0,,,
20,21,弹药*200,0,0,200,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形作战提供的弹药。,0,,0,,,
21,22,弹药*300,0,0,300,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形作战提供的弹药。,0,,0,,,
22,23,口粮*100,0,0,0,100,0,0,0,0,0,,,,,,,0,基础资源之一//c维持人形生存的补给。,0,,0,,,
23,24,口粮*200,0,0,0,200,0,0,0,0,0,,,,,,,0,基础资源之一//c维持人形生存的补给。,0,,0,,,
24,25,口粮*300,0,0,0,300,0,0,0,0,0,,,,,,,0,基础资源之一//c维持人形生存的补给。,0,,0,,,
25,26,零件*100,0,0,0,0,100,0,0,0,0,,,,,,,0,基础资源之一//c组装人形所需的部件。,0,,0,,,
26,27,零件*200,0,0,0,0,200,0,0,0,0,,,,,,,0,基础资源之一//c组装人形所需的部件。,0,,0,,,
27,28,零件*300,0,0,0,0,300,0,0,0,0,,,,,,,0,基础资源之一//c组装人形所需的部件。,0,,0,,,
28,29,钻石*10,0,0,0,0,0,0,10,0,0,,,,,,,0,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”,0,,0,,,
29,30,钻石*15,0,0,0,0,0,0,15,0,0,,,,,,,0,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”,0,,0,,,
30,31,钻石*20,0,0,0,0,0,0,20,0,0,,,,,,,0,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”,0,,0,,,
31,32,增幅胶囊*2,0,0,0,0,0,0,0,0,0,,9-2,,,,,0,,0,,0,,,
32,33,增幅胶囊*3,0,0,0,0,0,0,0,0,0,,9-3,,,,,0,,0,,0,,,
33,34,增幅胶囊*5,0,0,0,0,0,0,0,0,0,,9-5,,,,,0,,0,,0,,,
34,35,替代核心*1,0,0,0,0,0,1,0,0,0,,,,,,,0,可作用于自律傀儡的驱动模块，经原主人的许可才能卸下。,0,,0,,,
35,36,替代核心*2,0,0,0,0,0,2,0,0,0,,,,,,,0,可作用于自律傀儡的驱动模块，经原主人的许可才能卸下。,0,,0,,,
36,37,替代核心*3,0,0,0,0,0,3,0,0,0,,,,,,,0,可作用于自律傀儡的驱动模块，经原主人的许可才能卸下。,0,,0,,,
37,38,人形制造契约*1,0,0,0,0,0,0,0,0,0,,1-1,,,,,0,,0,,0,,,
38,39,装备制造契约*1,0,0,0,0,0,0,0,0,0,,2-1,,,,,0,,0,,0,,,
39,40,快速制造契约*1,0,0,0,0,0,0,0,0,0,,3-1,,,,,0,,0,,0,,,
40,41,快速修复契约*1,0,0,0,0,0,0,0,0,0,,4-1,,,,,0,,0,,0,,,
41,42,快速训练契约*1,0,0,0,0,0,0,0,0,0,,8-1,,,,,0,,0,,0,,,
42,43,初级训练资料*25,0,0,0,0,0,0,0,0,0,,,,,,1-25,0,,0,,0,,,
43,44,初级训练资料*30,0,0,0,0,0,0,0,0,0,,,,,,1-30,0,,0,,0,,,
44,45,初级训练资料*35,0,0,0,0,0,0,0,0,0,,,,,,1-35,0,,0,,0,,,
45,46,中级训练资料*25,0,0,0,0,0,0,0,0,0,,,,,,2-25,0,,0,,0,,,
46,47,中级训练资料*30,0,0,0,0,0,0,0,0,0,,,,,,2-30,0,,0,,0,,,
47,48,中级训练资料*35,0,0,0,0,0,0,0,0,0,,,,,,2-35,0,,0,,0,,,
48,49,高级训练资料*25,0,0,0,0,0,0,0,0,0,,,,,,3-25,0,,0,,0,,,
49,50,高级训练资料*30,0,0,0,0,0,0,0,0,0,,,,,,3-30,0,,0,,0,,,
50,51,高级训练资料*35,0,0,0,0,0,0,0,0,0,,,,,,3-35,0,,0,,0,,,
51,52,M4A1,0,0,0,0,0,0,0,0,0,,,1901,,,,0,只要我们能在一起，一起胜利，或者一起倒下……对我而言，那一定是最好的结局。,0,,0,,,
52,53,HK416,0,0,0,0,0,0,0,0,0,,,1905,,,,0,那就跪下来道歉吧……这一刻我等太久了。,0,,0,,,
53,54,M16A1,0,0,0,0,0,0,0,0,0,,,1902,,,,0,感情本身就是缺陷……别指望他们会同情我们，尤其是现在。,0,,0,,,
54,55,UMP9,0,0,0,0,0,0,0,0,0,,,1906,,,,0,哈哈，有什么区别嘛，我们现在的日子不也挺好的？,0,,0,,,
55,56,AR15,0,0,0,0,0,0,0,0,0,,,1903,,,,0,我们都有各自的责任……这决定了我们有时没有选择。,0,,0,,,
56,57,G11,0,0,0,0,0,0,0,0,0,,,1907,,,,0,怪我喽，开枪的又不是你们……,0,,0,,,
57,58,M4 SOPMOD II,0,0,0,0,0,0,0,0,0,,,1904,,,,0,嘿嘿，这就是命运嘛，我们可是最好的伙伴。,0,,0,,,
58,59,UMP45,0,0,0,0,0,0,0,0,0,,,1908,,,,0,我们，是所有人的污点。,0,,0,,,
59,60,56-1式-爆竹红,0,0,0,0,0,0,0,0,0,,,,401-1,,,0,,0,,0,,,
60,61,M950A,0,0,0,0,0,0,0,0,97,,,,,,,0,,0,,0,,,
61,62,索米,0,0,0,0,0,0,0,0,115,,,,,,,0,,0,,0,,,
62,63,Kar98k,0,0,0,0,0,0,0,0,46,,,,,,,0,,0,,0,,,
63,64,FAL,0,0,0,0,0,0,0,0,106,,,,,,,0,,0,,0,,,
64,65,MG4,0,0,0,0,0,0,0,0,125,,,,,,,0,,0,,0,,,
