,id,sangvis_id,reward_type,single_num_weight
0,1001,1001,1,
1,3002,2001,3,
2,3003,2002,3,
3,3004,2003,3,
4,5005,3001,5,
5,5006,3002,5,
6,5007,3003,5,
7,5008,3004,5,
8,5009,3005,5,
9,5010,3007,5,
10,5011,3008,5,
11,12001,"1001,1002",2,"1001:5000,1002:5000"
12,13002,2001,3,
13,13003,2002,3,
14,13004,2003,3,
15,15005,3001,5,
16,15006,3002,5,
17,15007,3003,5,
18,15008,3004,5,
19,15009,3005,5,
20,15010,3007,5,
21,15011,3008,5,
22,21001,1003,1,
23,23002,2001,3,
24,23003,2002,3,
25,23004,2003,3,
26,23005,2004,3,
27,23006,2006,3,
28,25007,3001,5,
29,25008,3002,5,
30,25009,3003,5,
31,25010,3004,5,
32,25011,3005,5,
33,25012,3007,5,
34,25013,3008,5,
35,31001,1004,1,
36,33002,2001,3,
37,33003,2002,3,
38,33004,2003,3,
39,33005,2004,3,
40,33006,2006,3,
41,33007,2005,3,
42,35008,3001,5,
43,35009,3002,5,
44,35010,3003,5,
45,35011,3004,5,
46,35012,3005,5,
47,35013,3007,5,
48,35014,3008,5,
49,35015,3006,5,
50,41001,1005,1,
51,43002,2001,3,
52,43003,2002,3,
53,43004,2003,3,
54,43005,2004,3,
55,43006,2006,3,
56,43007,2005,3,
57,43008,2008,3,
58,45009,3001,5,
59,45010,3002,5,
60,45011,3003,5,
61,45012,3004,5,
62,45013,3005,5,
63,45014,3007,5,
64,45015,3008,5,
65,45016,3006,5,
66,45017,3009,5,
67,51001,1006,1,
68,53002,2001,3,
69,53003,2002,3,
70,53004,2003,3,
71,53005,2004,3,
72,53006,2006,3,
73,53007,2005,3,
74,53008,2008,3,
75,53009,2009,3,
76,55010,3001,5,
77,55011,3002,5,
78,55012,3003,5,
79,55013,3004,5,
80,55014,3005,5,
81,55015,3007,5,
82,55016,3008,5,
83,55017,3006,5,
84,55018,3009,5,
85,61001,1007,1,
86,63002,2001,3,
87,63003,2002,3,
88,63004,2003,3,
89,63005,2004,3,
90,63006,2006,3,
91,63007,2005,3,
92,63008,2008,3,
93,63009,2009,3,
94,63010,2010,3,
95,65011,3001,5,
96,65012,3002,5,
97,65013,3003,5,
98,65014,3004,5,
99,65015,3005,5,
100,65016,3007,5,
101,65017,3008,5,
102,65018,3006,5,
103,65019,3009,5,
104,71001,1008,1,
105,73002,2001,3,
106,73003,2002,3,
107,73004,2003,3,
108,73005,2004,3,
109,73006,2006,3,
110,73007,2005,3,
111,73008,2008,3,
112,73009,2009,3,
113,73010,2010,3,
114,73011,2011,3,
115,75012,3001,5,
116,75013,3002,5,
117,75014,3003,5,
118,75015,3004,5,
119,75016,3005,5,
120,75017,3007,5,
121,75018,3008,5,
122,75019,3006,5,
123,75020,3009,5,
124,81001,1009,1,
125,83002,2001,3,
126,83003,2002,3,
127,83004,2003,3,
128,83005,2004,3,
129,83006,2006,3,
130,83007,2005,3,
131,83008,2008,3,
132,83009,2009,3,
133,83010,2010,3,
134,83011,2011,3,
135,83012,2012,3,
136,85013,3001,5,
137,85014,3002,5,
138,85015,3003,5,
139,85016,3004,5,
140,85017,3005,5,
141,85018,3007,5,
142,85019,3008,5,
143,85020,3006,5,
144,85021,3009,5,
145,91001,1010,1,
146,93002,2001,3,
147,93003,2002,3,
148,93004,2003,3,
149,93005,2004,3,
150,93006,2006,3,
151,93007,2005,3,
152,93008,2008,3,
153,93009,2009,3,
154,93010,2010,3,
155,93011,2011,3,
156,93012,2012,3,
157,95013,3001,5,
158,95014,3002,5,
159,95015,3003,5,
160,95016,3004,5,
161,95017,3005,5,
162,95018,3007,5,
163,95019,3008,5,
164,95020,3006,5,
165,95021,3009,5,
166,95022,3010,5,
167,101001,1011,1,
168,103002,2001,3,
169,103003,2002,3,
170,103004,2003,3,
171,103005,2004,3,
172,103006,2006,3,
173,103007,2005,3,
174,103008,2008,3,
175,103009,2009,3,
176,103010,2010,3,
177,103011,2011,3,
178,103012,2012,3,
179,103013,2013,3,
180,105014,3001,5,
181,105015,3002,5,
182,105016,3003,5,
183,105017,3004,5,
184,105018,3005,5,
185,105019,3007,5,
186,105020,3008,5,
187,105021,3006,5,
188,105022,3009,5,
189,105023,3010,5,
190,111001,1012,1,
191,113002,2001,3,
192,113003,2002,3,
193,113004,2003,3,
194,113005,2004,3,
195,113006,2006,3,
196,113007,2005,3,
197,113008,2008,3,
198,113009,2009,3,
199,113010,2010,3,
200,113011,2011,3,
201,113012,2012,3,
