,id,sangvis_id,sangvis_level,life,sangvis_advance,sangvis_shape_n,sangvis_resolution_level,skill1,skill2,skill3,skill_advance,chip1,chip2,favor
0,1,1001,90,100,4,1,3,8,1,5,0,1003,1001,90000
1,2,2003,90,70,5,3,3,0,0,5,5,0,0,90000
2,3,3001,90,30,5,3,3,0,0,0,5,0,0,150000
3,4,3005,90,50,5,3,4,0,0,0,5,0,0,90000
4,5,3005,90,100,5,5,4,0,0,0,5,0,0,120000
5,6,3004,93,5,4,1,4,0,0,0,4,0,0,90000
6,7,1001,90,100,4,1,3,8,1,5,0,1003,1001,90000
7,8,2003,90,70,5,3,3,0,0,5,5,0,0,90000
8,9,3001,90,30,5,3,3,0,0,0,5,0,0,150000
9,10,3005,90,50,5,3,4,0,0,0,5,0,0,90000
10,11,3005,90,100,5,5,4,0,0,0,5,0,0,120000
11,12,3004,93,5,4,1,4,0,0,0,4,0,0,90000
12,13,1001,90,100,4,1,3,8,1,5,0,1003,1001,90000
13,14,2003,90,70,5,3,3,0,0,5,5,0,0,90000
14,15,3001,90,30,5,3,3,0,0,0,5,0,0,150000
15,16,3005,90,50,5,3,4,0,0,0,5,0,0,90000
16,17,3005,90,100,5,5,4,0,0,0,5,0,0,120000
17,18,3004,93,5,4,1,4,0,0,0,4,0,0,90000
18,322102,1006,100,100,5,2,4,10,10,10,10,0,0,90000
19,460501,9001,90,100,3,2,4,1,1,1,1,0,0,90000
20,461001,9001,100,100,5,2,4,10,10,10,10,0,0,90000
21,482103,1012,100,100,5,2,4,10,10,10,10,0,0,90000
22,482104,1001,100,100,5,2,4,10,10,10,10,0,0,90000
23,482105,1002,100,100,5,2,4,10,10,10,10,0,0,90000
24,482106,1003,100,100,5,2,4,10,10,10,10,0,0,90000
25,482107,2006,100,100,3,2,4,0,0,5,5,0,0,90000
26,482108,2006,100,100,3,2,4,0,0,5,5,0,0,90000
27,482109,2013,100,100,3,2,4,0,0,5,5,0,0,90000
28,482110,2013,100,100,3,2,4,0,0,5,5,0,0,90000
29,482111,2012,100,100,3,2,4,0,0,5,5,0,0,90000
30,482112,2012,100,100,3,2,4,0,0,5,5,0,0,90000
31,482113,2012,100,100,3,2,4,0,0,5,5,0,0,90000
32,482114,2014,100,100,3,2,4,0,0,5,5,0,0,90000
33,500415,1018,100,100,5,2,4,10,10,10,10,0,0,1000000
34,4110301,1006,40,100,3,1,3,2,2,2,0,0,0,90000
35,4110302,3004,40,100,2,2,2,0,0,0,0,0,0,90000
36,4110303,3004,40,100,2,2,2,0,0,0,0,0,0,90000
37,4110304,2003,40,100,2,2,2,0,0,0,0,0,0,90000
38,4110305,2003,40,100,2,2,2,0,0,0,0,0,0,90000
39,4110801,1006,50,80,3,1,3,2,2,2,0,0,0,90000
40,4110802,3004,50,70,2,2,2,0,0,0,0,0,0,90000
41,4110803,3004,50,70,2,2,2,0,0,0,0,0,0,90000
42,4110804,2003,50,80,2,2,2,0,0,0,0,0,0,90000
43,4110805,2003,50,80,2,2,2,0,0,0,0,0,0,90000
44,4140601,3003,80,100,3,2,4,0,0,0,0,0,0,90000
45,4140602,3003,80,100,3,2,4,0,0,0,0,0,0,90000
