,day,type,mp,ammo,mre,part,core,gem,gun_id,item_ids,prize_id
0,1,1,0,0,0,0,0,0,0,4-2,0
1,1,2,0,0,0,0,0,0,37,,0
2,1,3,0,0,0,0,0,0,0,,8101
3,2,1,0,0,0,0,0,0,77,,0
4,2,2,0,0,0,0,0,0,77,,0
5,2,3,0,0,0,0,0,0,0,,8102
6,3,1,0,0,0,0,0,0,58,,0
7,3,2,0,0,0,0,0,0,70,,0
8,3,3,0,0,0,0,0,0,0,,8103
9,4,1,0,0,0,0,0,0,0,3-2,0
10,4,2,0,0,0,0,0,0,0,3-3,0
11,4,3,0,0,0,0,0,0,0,,8104
12,5,1,0,0,0,0,0,0,0,1-2,0
13,5,2,0,0,0,0,0,0,0,1-3,0
14,5,3,0,0,0,0,0,0,0,,8105
15,6,1,0,0,0,0,0,0,0,8-1,0
16,6,2,500,500,500,500,0,0,0,,0
17,6,3,0,0,0,0,0,0,0,,8106
18,7,1,0,0,0,0,0,0,99,,0
19,7,2,0,0,0,0,0,0,99,,0
20,7,3,0,0,0,0,0,0,0,,8107
