,id,group_id,lv,unlock_number,assist_damage,assist_reload,assist_hit,assist_def_break,damage,atk_speed,hit,def
0,10101,101,1,5,4,0,6,0,0,0,0,0
1,10102,101,2,8,4,0,15,10,0,0,0,0
2,10103,101,3,10,9,6,15,10,0,0,0,0
3,10104,101,4,15,9,6,25,22,0,0,0,0
4,10105,101,5,20,16,6,25,37,0,0,0,0
5,10106,101,6,25,24,6,37,37,0,0,0,0
6,10107,101,7,30,24,6,51,53,0,0,0,0
7,10108,101,8,30,33,16,51,53,0,0,0,0
8,10109,101,9,30,33,16,69,71,0,0,0,0
9,10110,101,10,30,45,16,69,95,0,0,0,0
10,10201,102,1,5,2,0,5,0,0,0,0,0
11,10202,102,2,8,2,8,5,4,0,0,0,0
12,10203,102,3,10,5,8,13,4,0,0,0,0
13,10204,102,4,15,5,20,13,10,0,0,0,0
14,10205,102,5,20,8,33,13,10,0,0,0,0
15,10206,102,6,25,12,33,25,10,0,0,0,0
16,10207,102,7,30,12,45,25,20,0,0,0,0
17,10208,102,8,30,16,45,41,20,0,0,0,0
18,10209,102,9,30,16,61,41,36,0,0,0,0
19,10210,102,10,30,24,79,41,36,0,0,0,0
20,10301,103,1,5,2,0,4,0,0,0,0,0
21,10302,103,2,8,4,4,4,3,0,0,0,0
22,10303,103,3,10,7,4,10,3,0,0,0,0
23,10304,103,4,15,11,8,10,7,0,0,0,0
24,10305,103,5,20,16,13,10,7,0,0,0,0
25,10306,103,6,25,22,13,19,7,0,0,0,0
26,10307,103,7,30,29,19,19,10,0,0,0,0
27,10308,103,8,30,36,19,29,10,0,0,0,0
28,10309,103,9,30,40,28,29,15,0,0,0,0
29,10310,103,10,30,50,34,29,15,0,0,0,0
30,10401,104,1,5,2,0,4,0,0,0,0,0
31,10402,104,2,8,3,5,4,3,0,0,0,0
32,10403,104,3,10,6,5,10,3,0,0,0,0
33,10404,104,4,15,9,10,10,7,0,0,0,0
34,10405,104,5,20,13,16,10,7,0,0,0,0
35,10406,104,6,25,18,16,19,7,0,0,0,0
36,10407,104,7,30,24,24,19,9,0,0,0,0
37,10408,104,8,30,30,24,28,9,0,0,0,0
38,10409,104,9,30,33,35,28,14,0,0,0,0
39,10410,104,10,30,41,43,28,14,0,0,0,0
40,10501,105,1,5,3,0,5,0,0,0,0,0
41,10502,105,2,8,3,0,13,7,0,0,0,0
42,10503,105,3,10,7,10,13,7,0,0,0,0
43,10504,105,4,15,7,10,22,15,0,0,0,0
44,10505,105,5,20,12,10,22,25,0,0,0,0
45,10506,105,6,25,18,10,32,25,0,0,0,0
46,10507,105,7,30,18,10,44,36,0,0,0,0
47,10508,105,8,30,25,27,44,36,0,0,0,0
48,10509,105,9,30,25,27,59,48,0,0,0,0
49,10510,105,10,30,34,27,59,64,0,0,0,0
50,10601,106,1,5,3,0,3,0,0,0,0,0
51,10602,106,2,8,5,4,3,3,0,0,0,0
52,10603,106,3,10,9,4,9,3,0,0,0,0
53,10604,106,4,15,12,8,9,6,0,0,0,0
54,10605,106,5,20,17,13,9,6,0,0,0,0
55,10606,106,6,25,22,13,19,6,0,0,0,0
56,10607,106,7,30,28,19,19,10,0,0,0,0
57,10608,106,8,30,34,19,29,10,0,0,0,0
58,10609,106,9,30,38,29,29,16,0,0,0,0
59,10610,106,10,30,46,37,29,16,0,0,0,0
60,10701,107,1,5,4,0,4,0,0,0,0,0
61,10702,107,2,8,4,0,10,8,0,0,0,0
62,10703,107,3,10,10,10,10,8,0,0,0,0
63,10704,107,4,15,10,10,18,16,0,0,0,0
64,10705,107,5,20,16,10,18,22,0,0,0,0
65,10706,107,6,25,26,10,28,22,0,0,0,0
66,10707,107,7,30,26,10,38,32,0,0,0,0
67,10708,107,8,30,36,20,38,32,0,0,0,0
68,10709,107,9,30,36,20,50,44,0,0,0,0
69,10710,107,10,30,52,20,50,60,0,0,0,0
70,10801,108,1,5,3,0,8,0,0,0,0,0
71,10802,108,2,8,6,3,8,5,0,0,0,0
72,10803,108,3,10,9,3,14,5,0,0,0,0
73,10804,108,4,15,12,6,14,10,0,0,0,0
74,10805,108,5,20,15,12,14,10,0,0,0,0
75,10806,108,6,25,18,12,26,10,0,0,0,0
76,10807,108,7,30,24,18,26,16,0,0,0,0
77,10808,108,8,30,32,18,38,16,0,0,0,0
78,10809,108,9,30,40,26,38,24,0,0,0,0
79,10810,108,10,30,50,34,38,24,0,0,0,0
