,lv,exp,precise
0,1,0,20
1,2,500,22
2,3,1400,24
3,4,2700,26
4,5,4500,28
5,6,6700,30
6,7,9400,32
7,8,12600,34
8,9,16200,36
9,10,20200,38
10,11,24700,40
11,12,29700,42
12,13,35100,44
13,14,40900,46
14,15,47200,48
15,16,54000,50
16,17,61200,52
17,18,68800,54
18,19,77100,56
19,20,86100,58
20,21,95900,60
21,22,106500,62
22,23,118500,64
23,24,132000,66
24,25,147000,68
25,26,163500,70
26,27,181800,72
27,28,201900,74
28,29,223900,76
29,30,247900,78
30,31,274200,80
31,32,302500,82
32,33,333300,84
33,34,366600,86
34,35,402400,88
35,36,441000,90
36,37,482400,92
37,38,526600,94
38,39,574000,96
39,40,624600,98
40,41,678400,100
41,42,735700,102
42,43,796500,104
43,44,861000,106
44,45,929200,108
45,46,1001500,110
46,47,1077900,112
47,48,1158400,114
48,49,1243300,116
49,50,1332700,118
50,51,1426800,120
51,52,1525600,122
52,53,1629400,124
53,54,1738300,126
54,55,1852300,128
55,56,1971800,130
56,57,2096700,132
57,58,2227200,134
58,59,2363500,136
59,60,2505900,138
60,61,2654400,140
61,62,2809000,142
62,63,2970100,144
63,64,3137800,146
64,65,3312300,148
65,66,3493800,150
66,67,3682300,152
67,68,3877800,154
68,69,4080800,156
69,70,4291400,158
70,71,4509600,160
71,72,4735800,162
72,73,4970000,164
73,74,5212500,166
74,75,5463300,168
75,76,5722800,170
76,77,5990800,172
77,78,6267800,174
78,79,6553800,176
79,80,6849300,178
80,81,7154000,180
81,82,7468500,182
82,83,7792500,184
83,84,8127000,186
84,85,8471000,188
85,86,8826000,190
86,87,9191000,192
87,88,9567000,194
88,89,9954000,196
89,90,10352000,198
90,91,10761000,200
91,92,11182000,202
92,93,11614000,204
93,94,12058000,206
94,95,12514000,208
95,96,12983000,210
96,97,13464000,212
97,98,13957000,214
98,99,14463000,216
99,100,15000000,218
