,id,grid,grid_number,rank_weight,code
0,1,"1,1",1,"100,100",grid1
1,2,"1,2|1,1",2,"100,100",grid2
2,3,"1,1|1,2|1,3",3,"100,100",grid3
3,4,"2,1|1,1|1,2",3,"100,100",grid4
4,5,"4,1|3,1|2,1|1,1",4,"100,100",grid5
5,6,"2,1|1,1|2,2|1,2",4,"100,100",grid6
6,7,"3,1|2,1|1,1|1,2",4,"100,100",grid7
7,8,"1,1|1,2|1,3|2,1",4,"100,100",grid8
8,9,"2,1|1,1|3,2|2,2",4,"100,100",grid9
9,10,"3,1|2,1|2,2|1,2",4,"100,100",grid10
10,11,"1,1|2,1|2,2|3,1",4,"100,100",grid11
11,12,"2,1|1,1|2,2|1,2|1,3",5,"100,100",grid12
12,13,"1,1|1,2|2,1|2,2|2,3",5,"100,100",grid13
13,14,"1,1|2,1|3,1|4,1|5,1",5,"100,100",grid14
14,15,"1,2|1,1|2,2|3,2|3,1",5,"100,100",grid15
15,16,"1,1|1,2|2,2|3,2|3,3",5,"100,100",grid16
16,17,"1,2|1,3|2,2|3,1|3,2",5,"100,100",grid17
17,18,"1,1|1,2|1,3|2,1|3,1",5,"100,100",grid18
18,19,"1,1|1,2|1,3|1,4|2,1",5,"100,100",grid19
19,20,"1,1|2,1|2,2|2,3|2,4",5,"100,100",grid20
20,21,"1,1|1,2|2,2|2,3|3,3",5,"100,100",grid21
21,22,"1,3|1,4|2,1|2,2|2,3",5,"100,100",grid22
22,23,"1,1|1,2|1,3|2,3|2,4",5,"100,100",grid23
23,24,"1,1|1,2|1,3|1,4|2,3",5,"100,100",grid24
24,25,"1,3|2,1|2,2|2,3|2,4",5,"100,100",grid25
25,26,"1,2|2,1|2,2|2,3|3,2",5,"100,100",grid26
26,27,"1,1|2,1|2,2|2,3|3,1",5,"100,100",grid27
27,28,"1,2|1,3|2,1|2,2|3,2",5,"100,100",grid28
28,29,"1,2|2,1|2,2|3,2|3,3",5,"100,100",grid29
29,30,"1,1|1,2|1,3|2,1|2,2|2,3",6,"100,100",grid30
30,31,"1,1|1,2|1,3|2,1|2,2|3,1",6,"100,100",grid31
31,32,"1,1|2,1|2,2|3,1|3,2|4,1",6,"100,100",grid32
32,33,"1,2|2,1|2,2|3,1|3,2|4,1",6,"100,100",grid33
33,34,"1,1|2,1|2,2|3,1|3,2|4,2",6,"100,100",grid34
34,35,"1,1|1,2|2,2|2,3|3,1|3,2",6,"100,100",grid35
35,36,"1,2|2,2|3,1|3,2|3,3|4,2",6,"100,100",grid36
36,37,"1,1|2,1|3,1|4,1|5,1|6,1",6,"100,100",grid37
37,38,"1,1|1,2|2,1|3,1|4,1|4,2",6,"100,100",grid38
38,39,"1,1|1,2|2,1|2,2|2,3|3,2",6,"100,100",grid39
39,101,"3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",16,0,
40,102,"2,3|2,4|2,5|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,4|7,5|7,6",22,0,
41,103,"2,2|2,3|2,4|2,5|3,2|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|6,7|7,4|7,5|7,6|7,7",28,0,
42,104,"2,2|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|6,7|7,4|7,5|7,6|7,7",32,0,
43,105,"2,2|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,2|6,3|6,4|6,5|6,6|6,7|7,2|7,3|7,4|7,5|7,6|7,7",36,0,
44,111,"3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",16,0,
45,112,"2,4|2,5|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|7,4|7,5",24,0,
46,113,"2,4|2,5|2,6|2,7|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,2|6,3|6,4|6,5|6,6|7,2|7,3|7,4|7,5",30,0,
47,114,"1,5|1,6|2,4|2,5|2,6|2,7|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,2|6,3|6,4|6,5|6,6|7,2|7,3|7,4|7,5|8,3|8,4",34,0,
48,115,"1,5|1,6|2,4|2,5|2,6|2,7|3,3|3,4|3,5|3,6|3,7|3,8|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,1|5,2|5,3|5,4|5,5|5,6|5,7|6,1|6,2|6,3|6,4|6,5|6,6|7,2|7,3|7,4|7,5|8,3|8,4",38,0,
49,121,"3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",16,0,
50,122,"2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",24,0,
51,123,"2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6",30,0,
52,124,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|8,4|8,5",34,0,
53,125,"1,4|1,5|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",38,0,
54,131,"3,4|3,5|3,6|3,7|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5",16,0,
55,132,"2,2|2,3|2,4|3,3|3,4|3,5|3,6|3,7|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,5|7,6|7,7",24,0,
56,133,"2,2|2,3|2,4|2,7|2,8|3,3|3,4|3,5|3,6|3,7|3,8|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,1|6,2|6,3|6,4|6,5|6,6|7,1|7,2|7,5|7,6|7,7",30,0,
57,134,"1,2|1,3|2,2|2,3|2,4|2,7|2,8|3,3|3,4|3,5|3,6|3,7|3,8|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,1|6,2|6,3|6,4|6,5|6,6|7,1|7,2|7,5|7,6|7,7|8,6|8,7",34,0,
58,135,"1,1|1,2|1,3|1,8|2,2|2,3|2,4|2,7|2,8|3,3|3,4|3,5|3,6|3,7|3,8|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,1|6,2|6,3|6,4|6,5|6,6|7,1|7,2|7,5|7,6|7,7|8,1|8,6|8,7|8,8",38,0,
59,141,"2,5|2,6|3,5|3,6|3,7|4,6|4,7|4,8|5,6|5,7|5,8|6,5|6,6|6,7|7,5|7,6",16,0,
60,142,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|3,7|4,6|4,7|4,8|5,6|5,7|5,8|6,5|6,6|6,7|7,5|7,6",22,0,
