,id,force_id,ai_type,name,description,pic,color
0,1,1,-1,夜战,无法判断敌方行动轨迹。,ai_random,ffffff
1,2,1,1,待机,目标不会移动，原地待机。,ai_stand,ffffff
2,3,1,2,随机,目标会朝着随机方向移动。,ai_random,ffffff
3,4,1,3,进攻,朝着指挥部进攻。,ai_attack,ffffff
4,5,1,4,随机,目标会朝着随机方向移动。,ai_random,ffffff
5,6,1,99,离线,抱歉，当前无法联系目标。,ai_outline,ffffff
6,7,2,1,待机,目标不会移动，原地待机。,ai_stand,ffffff
7,8,2,99,离线,抱歉，当前无法联系目标。,ai_outline,ffffff
8,9,2,101,巡逻,沿着特定路线移动，且对周边1格范围进行警戒，最多偏离原定路线1格。,ai_patrol,ffffff
9,10,2,102,警戒,警戒范围内不存在非己方单位时静止不动，警戒范围内进入非己方单位后，以“最短”的“可行”路径向“最近的”非己方单位移动。,ai_guard,ffffff
10,11,2,103,扩张,随机向最近的非己方占领的路径点移动。,ai_expand,ffffff
11,12,3,0,待机,目标不会移动，原地待机。,ai_stand,ffffff
12,13,3,1,消灭,消灭最近的单位。,ai_clear,ffffff
13,14,3,2,攻占,沿“可行的”、“最短”的路径向敌人指挥部移动。,ai_attack,ffffff
14,15,3,99,离线,抱歉，当前无法联系目标。,ai_outline,ffffff
15,16,3,101,巡逻,沿着特定路线移动，且对周边1格范围进行警戒，最多偏离原定路线1格。,ai_patrol,ffffff
16,17,3,102,警戒,警戒范围内不存在非己方单位时静止不动，警戒范围内进入非己方单位后，以“最短”的“可行”路径向“最近的”非己方单位移动。,ai_guard,ffffff
17,18,3,103,扩张,随机向最近的非己方占领的路径点移动。,ai_expand,ffffff
18,19,4,0,待机,目标不会移动，原地待机。,ai_stand,ffffff
19,20,4,1,消灭,消灭最近的单位。,ai_clear,ffffff
20,21,4,2,攻占,沿“可行的”、“最短”的路径向敌人指挥部移动。,ai_attack,ffffff
21,22,1,999,驻守,目标不会移动，原地驻守。,ai_stand,ffffff
22,23,3,104,巡逻,沿着特定路线移动，不会对周围的非己方单位产生响应。,ai_patrol,ffffff
