,id,name,group_id,lv,description,code,material_rate,construction_pt,effect,area_id,material_item,material_number
0,41100,前进基地,411,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,411,47,10
1,41101,前进基地,411,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,411,47,10
2,41102,前进基地,411,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,411,47,10
3,41103,前进基地,411,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,411,47,10
4,42100,前进基地,421,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,421,47,10
5,42101,前进基地,421,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,421,47,10
6,42102,前进基地,421,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,421,47,10
7,42103,前进基地,421,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,421,47,10
8,42500,战地航管中心,425,0,妖精指令+0,TheaterConstruction0,3,0,42500,425,47,10
9,42501,战地航管中心,425,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,425,47,10
10,42502,战地航管中心,425,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,425,47,10
11,42503,战地航管中心,425,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,425,47,10
12,43100,前进基地,431,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,431,47,10
13,43101,前进基地,431,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,431,47,10
14,43102,前进基地,431,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,431,47,10
15,43103,前进基地,431,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,431,47,10
16,43400,战地航管中心,434,0,妖精指令+0,TheaterConstruction0,3,0,43400,434,47,10
17,43401,战地航管中心,434,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,434,47,10
18,43402,战地航管中心,434,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,434,47,10
19,43403,战地航管中心,434,3,妖精指令+15,TheaterConstruction32,3,30000000,43403,434,47,10
20,43600,火力阵地,436,0,重装部队使用次数+0,TheaterConstruction0,3,0,43600,436,47,10
21,43601,火力阵地,436,1,重装部队使用次数+1,TheaterConstruction21,3,6000000,43601,436,47,10
22,43602,火力阵地,436,2,重装部队使用次数+2,TheaterConstruction21,3,15000000,43602,436,47,10
23,43603,火力阵地,436,3,重装部队使用次数+3,TheaterConstruction22,3,30000000,43603,436,47,10
24,44100,前进基地,441,0,远征队梯队数量+0,TheaterConstruction0,3,0,44100,441,47,10
25,44101,前进基地,441,1,远征队梯队数量+1,TheaterConstruction11,3,40000000,44101,441,47,10
26,44102,前进基地,441,2,远征队梯队数量+2,TheaterConstruction11,3,60000000,44102,441,47,10
27,44103,前进基地,441,3,远征队梯队数量+3,TheaterConstruction12,3,90000000,44103,441,47,10
28,44200,战地航管中心,442,0,妖精指令+0,TheaterConstruction0,3,0,44200,442,47,10
29,44201,战地航管中心,442,1,妖精指令+5,TheaterConstruction31,3,30000000,44201,442,47,10
30,44202,战地航管中心,442,2,妖精指令+10,TheaterConstruction31,3,50000000,44202,442,47,10
31,44203,战地航管中心,442,3,妖精指令+15,TheaterConstruction32,3,80000000,44203,442,47,10
32,44300,火力阵地,443,0,重装部队使用次数+0,TheaterConstruction0,3,0,44300,443,47,10
33,44301,火力阵地,443,1,重装部队使用次数+1,TheaterConstruction21,3,20000000,44301,443,47,10
34,44302,火力阵地,443,2,重装部队使用次数+2,TheaterConstruction21,3,40000000,44302,443,47,10
35,44303,火力阵地,443,3,重装部队使用次数+3,TheaterConstruction22,3,70000000,44303,443,47,10
36,51100,前进基地,511,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,511,47,10
37,51101,前进基地,511,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,511,47,10
38,51102,前进基地,511,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,511,47,10
39,51103,前进基地,511,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,511,47,10
40,52100,前进基地,521,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,521,47,10
41,52101,前进基地,521,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,521,47,10
42,52102,前进基地,521,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,521,47,10
43,52103,前进基地,521,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,521,47,10
44,52500,战地航管中心,525,0,妖精指令+0,TheaterConstruction0,3,0,42500,525,47,10
45,52501,战地航管中心,525,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,525,47,10
46,52502,战地航管中心,525,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,525,47,10
47,52503,战地航管中心,525,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,525,47,10
48,53100,前进基地,531,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,531,47,10
49,53101,前进基地,531,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,531,47,10
50,53102,前进基地,531,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,531,47,10
51,53103,前进基地,531,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,531,47,10
52,53400,战地航管中心,534,0,妖精指令+0,TheaterConstruction0,3,0,43400,534,47,10
53,53401,战地航管中心,534,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,534,47,10
54,53402,战地航管中心,534,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,534,47,10
55,53403,战地航管中心,534,3,妖精指令+15,TheaterConstruction32,3,30000000,43403,534,47,10
56,53600,火力阵地,536,0,重装部队使用次数+0,TheaterConstruction0,3,0,43600,536,47,10
57,53601,火力阵地,536,1,重装部队使用次数+1,TheaterConstruction21,3,6000000,43601,536,47,10
58,53602,火力阵地,536,2,重装部队使用次数+2,TheaterConstruction21,3,15000000,43602,536,47,10
59,53603,火力阵地,536,3,重装部队使用次数+3,TheaterConstruction22,3,30000000,43603,536,47,10
60,54100,前进基地,541,0,远征队梯队数量+0,TheaterConstruction0,3,0,44100,541,47,10
61,54101,前进基地,541,1,远征队梯队数量+1,TheaterConstruction11,3,40000000,44101,541,47,10
62,54102,前进基地,541,2,远征队梯队数量+2,TheaterConstruction11,3,60000000,44102,541,47,10
63,54103,前进基地,541,3,远征队梯队数量+3,TheaterConstruction12,3,90000000,44103,541,47,10
64,54200,战地航管中心,542,0,妖精指令+0,TheaterConstruction0,3,0,44200,542,47,10
65,54201,战地航管中心,542,1,妖精指令+5,TheaterConstruction31,3,30000000,44201,542,47,10
66,54202,战地航管中心,542,2,妖精指令+10,TheaterConstruction31,3,50000000,44202,542,47,10
67,54203,战地航管中心,542,3,妖精指令+15,TheaterConstruction32,3,80000000,44203,542,47,10
68,54300,火力阵地,543,0,重装部队使用次数+0,TheaterConstruction0,3,0,44300,543,47,10
69,54301,火力阵地,543,1,重装部队使用次数+1,TheaterConstruction21,3,20000000,44301,543,47,10
70,54302,火力阵地,543,2,重装部队使用次数+2,TheaterConstruction21,3,40000000,44302,543,47,10
71,54303,火力阵地,543,3,重装部队使用次数+3,TheaterConstruction22,3,70000000,44303,543,47,10
72,61100,前进基地,611,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,611,47,10
73,61101,前进基地,611,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,611,47,10
74,61102,前进基地,611,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,611,47,10
75,61103,前进基地,611,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,611,47,10
76,62100,前进基地,621,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,621,47,10
77,62101,前进基地,621,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,621,47,10
78,62102,前进基地,621,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,621,47,10
79,62103,前进基地,621,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,621,47,10
80,62500,战地航管中心,625,0,妖精指令+0,TheaterConstruction0,3,0,42500,625,47,10
81,62501,战地航管中心,625,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,625,47,10
82,62502,战地航管中心,625,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,625,47,10
83,62503,战地航管中心,625,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,625,47,10
84,63100,前进基地,631,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,631,47,10
85,63101,前进基地,631,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,631,47,10
86,63102,前进基地,631,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,631,47,10
87,63103,前进基地,631,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,631,47,10
88,63400,战地航管中心,634,0,妖精指令+0,TheaterConstruction0,3,0,43400,634,47,10
89,63401,战地航管中心,634,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,634,47,10
90,63402,战地航管中心,634,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,634,47,10
