,id,type,prize_id,rank,theater_event_id
0,101,1,"305:40,48:500,9:100,46:500,506:500",No.1,4
1,102,1,"305:39,48:475,9:95,46:475,506:475",No.2,4
2,103,1,"305:38,48:450,9:90,46:450,506:450",No.3,4
3,104,1,"305:37,48:425,9:85,46:425,506:425",No.4,4
4,105,1,"305:36,48:400,9:80,46:400,506:400",No.5,4
5,106,1,"305:35,48:375,9:75,46:375,506:375",No.6,4
6,107,1,"305:35,48:350,9:70,46:350,506:350",No.7,4
7,108,1,"305:35,48:325,9:65,46:325,506:325",No.8,4
8,109,1,"305:35,48:300,9:60,46:300,506:300",No.9,4
9,110,1,"305:35,48:275,9:55,46:275,506:275",No.10,4
10,111,1,"305:32,48:250,9:50,46:250,506:250",No.11-100,4
11,112,1,"305:30,48:225,9:45,46:225,506:225",1%-5%,4
12,113,1,"305:25,48:200,9:40,46:200,506:200",6%-10%,4
13,114,1,"305:20,48:175,9:35,46:175,506:175",11%-15%,4
14,115,1,"305:15,48:150,9:30,46:150,506:150",16%-20%,4
15,116,1,"305:10,48:125,9:25,46:125,506:125",21%-30%,4
16,117,1,"305:5,48:100,9:20,46:100,506:100",31%-40%,4
17,118,1,"305:2,48:75,9:15,46:75,506:75",41%-50%,4
18,119,1,"48:50,9:10,46:50,506:50",51%-100%,4
19,201,2,"101:20,501:10000,502:10000,503:10000,504:10000",No.1,4
20,202,2,"101:19,501:9500,502:9500,503:9500,504:9500",No.2,4
21,203,2,"101:18,501:9000,502:9000,503:9000,504:9000",No.3,4
22,204,2,"101:17,501:8500,502:8500,503:8500,504:8500",No.4,4
23,205,2,"101:16,501:8000,502:8000,503:8000,504:8000",No.5,4
24,206,2,"101:15,501:7500,502:7500,503:7500,504:7500",No.6,4
25,207,2,"101:14,501:7000,502:7000,503:7000,504:7000",No.7,4
26,208,2,"101:13,501:6500,502:6500,503:6500,504:6500",No.8,4
27,209,2,"101:12,501:6000,502:6000,503:6000,504:6000",No.9,4
28,210,2,"101:11,501:5500,502:5500,503:5500,504:5500",No.10,4
29,211,2,"101:10,501:5000,502:5000,503:5000,504:5000",No.11-100,4
30,212,2,"101:9,501:4500,502:4500,503:4500,504:4500",1%-5%,4
31,213,2,"101:8,501:4000,502:4000,503:4000,504:4000",6%-10%,4
32,214,2,"101:7,501:3500,502:3500,503:3500,504:3500",11%-15%,4
33,215,2,"101:6,501:3000,502:3000,503:3000,504:3000",16%-20%,4
34,216,2,"101:5,501:2500,502:2500,503:2500,504:2500",21%-30%,4
35,217,2,"101:4,501:2000,502:2000,503:2000,504:2000",31%-40%,4
36,218,2,"101:3,501:1500,502:1500,503:1500,504:1500",41%-50%,4
37,219,2,"101:1,501:1000,502:1000,503:1000,504:1000",51%-100%,4
38,301,2,"101:20,501:10000,502:10000,503:10000,504:10000",No.1,5
39,302,2,"101:19,501:9500,502:9500,503:9500,504:9500",No.2,5
40,303,2,"101:18,501:9000,502:9000,503:9000,504:9000",No.3,5
41,304,2,"101:17,501:8500,502:8500,503:8500,504:8500",No.4,5
42,305,2,"101:16,501:8000,502:8000,503:8000,504:8000",No.5,5
43,306,2,"101:15,501:7500,502:7500,503:7500,504:7500",No.6,5
44,307,2,"101:14,501:7000,502:7000,503:7000,504:7000",No.7,5
45,308,2,"101:13,501:6500,502:6500,503:6500,504:6500",No.8,5
46,309,2,"101:12,501:6000,502:6000,503:6000,504:6000",No.9,5
47,310,2,"101:11,501:5500,502:5500,503:5500,504:5500",No.10,5
48,311,2,"101:10,501:5000,502:5000,503:5000,504:5000",No.11-100,5
49,312,2,"101:9,501:4500,502:4500,503:4500,504:4500",1%-5%,5
50,313,2,"101:8,501:4000,502:4000,503:4000,504:4000",6%-10%,5
51,314,2,"101:7,501:3500,502:3500,503:3500,504:3500",11%-15%,5
52,315,2,"101:6,501:3000,502:3000,503:3000,504:3000",16%-20%,5
53,316,2,"101:5,501:2500,502:2500,503:2500,504:2500",21%-30%,5
54,317,2,"101:4,501:2000,502:2000,503:2000,504:2000",31%-40%,5
55,318,2,"101:3,501:1500,502:1500,503:1500,504:1500",41%-50%,5
56,319,2,"101:1,501:1000,502:1000,503:1000,504:1000",51%-100%,5
57,401,1,"306:40,48:500,9:100,46:500,506:500",No.1,5
58,402,1,"306:39,48:475,9:95,46:475,506:475",No.2,5
59,403,1,"306:38,48:450,9:90,46:450,506:450",No.3,5
60,404,1,"306:37,48:425,9:85,46:425,506:425",No.4,5
61,405,1,"306:36,48:400,9:80,46:400,506:400",No.5,5
62,406,1,"306:35,48:375,9:75,46:375,506:375",No.6,5
63,407,1,"306:35,48:350,9:70,46:350,506:350",No.7,5
64,408,1,"306:35,48:325,9:65,46:325,506:325",No.8,5
65,409,1,"306:35,48:300,9:60,46:300,506:300",No.9,5
66,410,1,"306:35,48:275,9:55,46:275,506:275",No.10,5
67,411,1,"306:32,48:250,9:50,46:250,506:250",No.11-100,5
68,412,1,"306:30,48:225,9:45,46:225,506:225",1%-5%,5
69,413,1,"306:25,48:200,9:40,46:200,506:200",6%-10%,5
70,414,1,"306:20,48:175,9:35,46:175,506:175",11%-15%,5
71,415,1,"306:15,48:150,9:30,46:150,506:150",16%-20%,5
72,416,1,"306:10,48:125,9:25,46:125,506:125",21%-30%,5
73,417,1,"306:5,48:100,9:20,46:100,506:100",31%-40%,5
74,418,1,"306:2,48:75,9:15,46:75,506:75",41%-50%,5
75,419,1,"48:50,9:10,46:50,506:50",51%-100%,5
76,501,2,"101:20,501:10000,502:10000,503:10000,504:10000",No.1,6
77,502,2,"101:19,501:9500,502:9500,503:9500,504:9500",No.2,6
78,503,2,"101:18,501:9000,502:9000,503:9000,504:9000",No.3,6
79,504,2,"101:17,501:8500,502:8500,503:8500,504:8500",No.4,6
80,505,2,"101:16,501:8000,502:8000,503:8000,504:8000",No.5,6
81,506,2,"101:15,501:7500,502:7500,503:7500,504:7500",No.6,6
82,507,2,"101:14,501:7000,502:7000,503:7000,504:7000",No.7,6
83,508,2,"101:13,501:6500,502:6500,503:6500,504:6500",No.8,6
84,509,2,"101:12,501:6000,502:6000,503:6000,504:6000",No.9,6
85,510,2,"101:11,501:5500,502:5500,503:5500,504:5500",No.10,6
86,511,2,"101:10,501:5000,502:5000,503:5000,504:5000",No.11-100,6
87,512,2,"101:9,501:4500,502:4500,503:4500,504:4500",1%-5%,6
88,513,2,"101:8,501:4000,502:4000,503:4000,504:4000",6%-10%,6
89,514,2,"101:7,501:3500,502:3500,503:3500,504:3500",11%-15%,6
90,515,2,"101:6,501:3000,502:3000,503:3000,504:3000",16%-20%,6
91,516,2,"101:5,501:2500,502:2500,503:2500,504:2500",21%-30%,6
92,517,2,"101:4,501:2000,502:2000,503:2000,504:2000",31%-40%,6
93,518,2,"101:3,501:1500,502:1500,503:1500,504:1500",41%-50%,6
94,519,2,"101:1,501:1000,502:1000,503:1000,504:1000",51%-100%,6
