,id,type,special_spot_condition,mission_buff_condition,person_condition
0,1,1,,,
1,2,2,,1000000*>0,
2,200101,3,2001*>0,,
3,1000100,4,,10001*==0,
4,1000101,4,,10001*>0,
5,1000102,2,,10001*>0,
6,1010100,4,,10101*==0,
7,1010101,4,,10101*>0,
8,1010102,2,,10101*>0,
9,5000141,4,,50001*>0,
10,9337201,3,9337201*>0,,
11,9337202,3,9337202*>0,,
12,9337203,3,9337203*>0,,
13,9337204,3,9337204*>0,,
14,9337205,3,9337205*>0,,
15,36300100,4,,363001*==0,
16,36300200,4,,363002*==0,
17,36301101,3,363001*>0,,
18,36301201,3,363002*>0,,
19,41030000,3,410300*==0,,
20,41031201,3,410312*>0,,
21,41035101,3,410351*>0,,
22,41035201,3,410352*>0,,
23,41036101,3,410361*>0,,
24,41036201,3,410362*>0,,
25,42011101,3,420111*>0,,
26,42020201,3,420202*>0,,
27,42021101,3,420211*>0,,
28,42021300,3,420213*==0,,
29,42021301,3,420213*>0,,
30,42030101,3,420301*>0,,
31,42031100,3,420311*==0,,
32,42031101,3,420311*>0,,
33,42031200,3,420312*==0,,
34,42031201,3,420312*>0,,
35,42031300,3,420313*==0,,
36,42031301,3,420313*>0,,
37,42031400,3,420314*==0,,
38,42031401,3,420314*>0,,
39,42031500,3,420315*==0,,
40,42031501,3,420315*>0,,
41,42031600,3,420316*==0,,
42,42031601,3,420316*>0,,
43,42040101,3,420401*>0,,
44,42050101,3,420501*>0,,
45,42050201,3,420502*>0,,
46,42050301,3,420503*>0,,
47,42050401,3,420504*>0,,
48,42051200,3,420512*==0,,
49,42051201,3,420512*>0,,
50,42051300,3,420513*==0,,
51,42051301,3,420513*>0,,
52,42051400,3,420514*==0,,
53,42051401,3,420514*>0,,
54,42060101,3,420601*>0,,
55,42060201,3,420602*>0,,
56,42060301,3,420603*>0,,
57,42060401,3,420604*>0,,
58,42060501,3,420605*>0,,
59,42060601,3,420606*>0,,
60,42060701,3,420607*>0,,
61,42061300,3,420613*==0,,
62,42061301,3,420613*>0,,
63,42061400,3,420614*==0,,
64,42061401,3,420614*>0,,
65,42061500,3,420615*==0,,
66,42061501,3,420615*>0,,
67,44000000,4,,440000*==0,
68,44000001,4,,440000*>0,
69,44000300,4,,440003*==0,
70,44000400,4,,440004*==0,
71,44000500,4,,440005*==0,
72,44000601,4,,440006*>0,
73,44001001,3,440010*>0,,
74,44002001,3,440020*>0,,
75,44003001,3,440030*>0,,
76,44004001,3,440040*>0,,
77,44005001,3,440050*>0,,
78,44006001,3,440060*>0,,
79,44007001,3,440070*>0,,
80,44008001,3,440080*>0,,
81,44009001,3,440090*>0,,
82,44050101,3,440501*>0,,
83,44050201,3,440502*>0,,
84,44050301,3,440503*>0,,
85,44050401,3,440504*>0,,
86,44050501,3,440505*>0,,
87,44051000,3,440510*==0,,
88,44051001,3,440510*>0,,
89,44051100,3,440511*==0,,
90,44051101,3,440511*>0,,
91,44052100,3,440521*==0,,
92,44052101,3,440521*>0,,
93,44080001,3,440800*>0,,
94,44090201,3,440902*>0,,
95,44090301,3,440903*>0,,
96,44090701,3,440907*>0,,
97,44090801,3,440908*>0,,
98,44090901,3,440909*>0,,
99,44201100,3,442011*==0,,
100,44201101,3,442011*>0,,
101,44201200,3,442012*==0,,
102,44201201,3,442012*>0,,
103,44201300,3,442013*==0,,
104,44201301,3,442013*>0,,
105,44201400,3,442014*==0,,
106,44201401,3,442014*>0,,
107,44201500,3,442015*==0,,
108,44201501,3,442015*>0,,
109,46050101,4,,460501*>0,
110,48000001,6,,,480001*>0
111,48010101,3,480101*>0,,
112,48010200,4,,480102*==0,
113,48010201,4,,480102*>0,
114,48010401,3,480104*>0,,
115,48010501,3,480105*>0,,
116,48010801,3,480108*>0,,
117,48010804,3,480108*==4,,
118,48010807,3,480108*==7,,
119,48013101,3,480131*>0,,
120,48013201,3,480132*>0,,
121,48013301,3,480133*>0,,
122,48013401,3,480134*>0,,
123,48013501,3,480135*>0,,
124,48013601,3,480136*>0,,
125,48140201,3,481402*>0,,
126,48140301,3,481403*>0,,
127,48180201,3,481802*>0,,
128,48180301,3,481803*>0,,
129,48181300,3,481813*==0,,
130,48181301,3,481813*>0,,
131,48181400,3,481814*==0,,
132,48190101,3,481901*>0,,
133,48190201,3,481902*>0,,
134,48190301,3,481903*>0,,
135,48190401,3,481904*>0,,
136,48190501,3,481905*>0,,
137,48190600,6,,,481901*==0
138,48190601,6,,,481901*>0
139,48190602,6,,,481902*>0
140,48190603,6,,,481904*>0
141,48191301,3,481913*>0,,
142,48200101,6,,,482001*>0
143,48200301,3,482003*>0,,
144,48220201,3,482202*>0,,
145,48220401,3,482204*>0,,
146,48220501,3,482205*>0,,
147,48220601,3,482206*>0,,
148,48220701,3,482207*>0,,
149,48220801,3,482208*>0,,
150,48220900,3,482209*==0,,
151,48220901,3,482209*>0,,
152,48221500,3,482215*==0,,
153,48221501,3,482215*>0,,
154,48221600,3,482216*==0,,
155,48221601,3,482216*>0,,
156,48221700,3,482217*==0,,
157,48221701,3,482217*>0,,
158,48221810,3,482218*==5,,
159,48230100,4,,482301*==0,
160,48230101,3,482301*>0,,
161,48230201,3,482302*>0,,
162,48230301,3,482303*>0,,
163,48230401,3,482304*>0,,
164,48231100,3,482311*==0,,
165,48231101,3,482311*>0,,
166,48231200,3,482312*==0,,
167,48231201,3,482312*>0,,
168,48231300,3,482313*==0,,
169,48231301,3,482313*>0,,
170,48231400,3,482314*==0,,
171,48231401,3,482314*>0,,
172,48240101,3,482401*>0,,
173,48240201,3,482402*>0,,
174,48240301,3,482403*>0,,
175,48241101,3,482411*>0,,
176,48241201,3,482412*>0,,
177,48242101,3,482421*>0,,
178,48242201,3,482422*>0,,
179,48243001,4,,482430*>0,
180,48243002,4,,482430*>1,
181,48244101,3,482441*>0,,
182,48244201,3,482442*>0,,
183,48244301,3,482443*>0,,
184,48244401,3,482444*>0,,
185,48244501,3,482445*>0,,
186,48250102,3,482501*>1,,
187,48250201,3,482502*>0,,
188,48250301,3,482503*>0,,
189,48250401,3,482504*>0,,
190,48250801,3,482508*>0,,
191,48350100,4,,483501*==0,
192,48350101,4,,483501*>0,
193,48350301,3,483503*>0,,
194,48361100,3,483611*==0,,
195,48390300,4,,483903*==0,
196,48390301,4,,483903*>0,
197,48400101,3,484001*>0,,
198,48400201,3,484002*>0,,
199,48400301,3,484003*>0,,
200,48410101,3,484101*>0,,
201,48410201,3,484102*>0,,
202,48410301,3,484103*>0,,
203,48410401,3,484104*>0,,
204,48410501,3,484105*>0,,
205,48410601,3,484106*>0,,
206,48410701,3,484107*>0,,
207,48411100,3,484111*==0,,
208,48411101,3,484111*>0,,
209,48411200,3,484112*==0,,
210,48411201,3,484112*>0,,
211,48411301,3,484113*>0,,
212,48411401,3,484114*>0,,
213,48412301,3,484123*>0,,
214,48412401,3,484124*>0,,
215,48413301,3,484133*>0,,
216,48413401,3,484134*>0,,
217,50000000,3,500000*==0,,
218,50000001,3,500000*>0,,
219,50001000,3,500010*==0,,
220,50001001,3,500010*>0,,
221,50001100,3,500011*==0,,
222,50001101,3,500011*>0,,
223,50001200,3,500012*==0,,
224,50001201,3,500012*>0,,
225,50001300,3,500013*==0,,
226,50001301,3,500013*>0,,
227,50001400,3,500014*==0,,
228,50001401,3,500014*>0,,
229,50001500,3,500015*==0,,
230,50001501,3,500015*>0,,
231,50001600,3,500016*==0,,
232,50001601,3,500016*>0,,
233,50001700,3,500017*==0,,
234,50001701,3,500017*>0,,
235,50001800,3,500018*==0,,
236,50001801,3,500018*>0,,
237,50001900,3,500019*==0,,
238,50001901,3,500019*>0,,
239,50002000,4,,500020*==0,
240,50002001,4,,500020*>0,
241,50002002,3,500020*>0,,
242,50002100,4,,500021*==0,
243,50002101,4,,500021*>0,
244,50002102,3,500021*>0,,
245,50002200,4,,500022*==0,
246,50002201,4,,500022*>0,
247,50002202,3,500022*>0,,
248,50002300,4,,500023*==0,
249,50002301,4,,500023*>0,
250,50002302,3,500023*>0,,
251,50002400,4,,500024*==0,
252,50002401,4,,500024*>0,
253,50002402,3,500024*>0,,
254,50002500,4,,500025*==0,
255,50002501,4,,500025*>0,
256,50002502,3,500025*>0,,
257,50002600,4,,500026*==0,
258,50002601,4,,500026*>0,
