,type,count,identity,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,title,content,function_control_id,prize_id
0,win_normal,100,1,100,500,1000,1000,200,1,0,0,4-3,每周绩效：嗜战追击者,战斗胜利情况下消灭100个普通单位。,0,0
1,win_normal,300,2,150,1000,1500,1500,500,1,0,0,4-3,每周绩效：连胜捍卫者,战斗胜利情况下消灭200个普通单位。,0,0
2,win_boss,10,3,100,500,1000,1000,200,1,0,0,"4-3,41-2",每周绩效：王牌猎人,战斗胜利情况下消灭10个首领单位。,0,0
3,operation,50,4,50,200,200,200,200,0,0,0,"1-3,3-3",每周绩效：王牌支援,完成50次后勤支援。,0,0
4,s_win,100,5,100,1000,1000,1000,1000,0,0,0,"1-1,41-2",每周绩效：战斗大师,以S评价完成100场战斗。,0,0
5,eat,20,6,50,200,200,200,200,0,0,0,"3-1,4-1",每周绩效：改造能手,进行20次战术少女强化。,0,0
6,develop_gun,20,7,50,300,300,300,300,2,0,0,"1-5,3-1",每周绩效：人偶竞赛,进行20次战术少女制造。,0,0
7,upgrade,5,8,50,200,200,200,200,0,0,0,"3-1,4-1,41-1",每周绩效：严格教官,进行5次技能训练（包括人形/妖精/重装部队/融合势力单位）。,4,0
8,coin_mission,20,9,100,500,500,500,200,0,0,0,"3-2,4-2",每周绩效：电子战士,完成20次模拟作战。（不包括融合演习）,0,0
9,develop_equip,20,10,50,150,150,150,150,0,0,0,"2-5,3-2",每周绩效：武装阵线,进行20次装备建造。,2,0
10,win_armor,100,11,100,500,1000,1000,200,0,0,0,2-2,每周绩效：破甲能手,战斗胜利情况下消灭100个装甲单位。,0,0
11,win_armor,300,12,150,1000,1500,1500,500,0,0,0,2-2,每周绩效：装甲杀手,战斗胜利情况下消灭200个装甲单位。,0,0
12,special_develop_gun,1,13,50,200,200,200,200,1,0,0,"1-1,3-1",每周绩效：重装扩展,进行1次人形重型建造。,3,0
13,adjust_equip,5,14,50,150,150,150,150,0,0,0,"2-2,3-1,44-20",每周绩效：武装革新,进行5次装备校准,6,0
14,eat_equip,20,15,50,200,200,200,200,0,0,0,"3-1,4-1",每周绩效：武装强化,进行20次装备强化,5,0
15,special_develop_equip,3,16,100,300,300,300,300,0,0,0,2-2,每周绩效：自动化尝试,进行3次装备重型建造。,1,0
16,eat_fairy,1,17,100,500,500,500,500,0,0,0,"2-1,3-1",每周绩效：支援专家,进行1次妖精强化。,1,0
17,squad_data_analyse,20,18,0,0,0,0,0,0,0,0,"14-30,15-10",每周绩效：数据精算师,进行20次情报解析。,15,0
18,squad_eat_chip,20,19,0,0,0,0,0,0,0,0,"14-30,15-10,16-3",每周绩效：芯片修补匠,累计通过强化消耗20个芯片。,15,0
19,complete_squad_daily,10,20,50,300,300,300,100,0,0,0,"14-100,15-30",每周绩效：数据分析师,累计完成10次情报任务。,15,0
20,retire_gun,50,21,100,500,500,500,300,0,0,0,4-5,每周绩效：核心收集家,累计回收50个人形。,0,0
21,explore,3,22,100,1000,1000,1000,300,0,0,0,6009-1,每周绩效：小小探险家,进行3次前进营地探索。,17,0
22,sangvis_daily_retrieval,8,23,100,200,200,200,200,0,0,0,605-1,每周绩效：混沌收编者,完成8次收归行动常规回收。,21,0
23,sangvis_exercise,15,24,100,200,200,200,200,0,0,0,"4-1,10604-1",每周绩效：虚数推算人,完成15次融合演习。,21,0
